model_name,fold_number,accuracy,precision,recall,f1-score
LegalBERT,1,0.84,0.82,0.83,0.83
LegalBERT,2,0.84,0.82,0.84,0.82
LegalBERT,3,0.86,0.84,0.85,0.84
LegalBERT,4,0.83,0.81,0.83,0.82
LegalBERT,5,0.83,0.81,0.83,0.82
LegalBERT,6,0.84,0.82,0.83,0.83
LegalBERT,7,0.84,0.83,0.83,0.83
LegalBERT,8,0.82,0.81,0.83,0.81
LegalBERT,9,0.81,0.79,0.81,0.79
LegalBERT,10,0.84,0.82,0.83,0.82
BERT,1,0.84,0.83,0.8,0.81
BERT,2,0.84,0.82,0.82,0.82
BERT,3,0.84,0.83,0.82,0.82
BERT,4,0.84,0.82,0.83,0.83
BERT,5,0.84,0.82,0.82,0.82
BERT,6,0.85,0.83,0.82,0.83
BERT,7,0.82,0.8,0.8,0.8
BERT,8,0.84,0.82,0.82,0.82
BERT,9,0.81,0.79,0.79,0.79
BERT,10,0.83,0.81,0.82,0.81
