text,label
The Commission and DAI seek a declaration by the Court that the main appeal is clearly inadmissible since it does no more than repeat or reproduce verbatim the pleas in law relied on before the Court of First Instance and contains no specific legal argument for having the judgment under appeal set aside.,prem
"According to settled case-law, where an appeal merely repeats or reproduces verbatim the pleas in law and arguments previously submitted to the Court of First Instance, including those based on facts expressly rejected by that Court, it fails to satisfy the requirements under Article 51 of the EC Statute of the Court of Justice and Article 112(1)(c) of the Rules of Procedure.",prem
"In reality, such an appeal amounts to no more than a request for re-examination of the application submitted to the Court of First Instance, which, under Article 49 of the EC Statute of the Court of Justice, falls outside the jurisdiction of the Court of Justice (see, in particular, the order of 25 March 1998 in Case C-174/97 P FFSA and Others v Commission [1998] ECR I-1303, paragraph 24).",prem
"However, provided that the appellant challenges the interpretation or application of Community law by the Court of First Instance, the points of law examined at first instance may be discussed again in the course of an appeal (Case C-210/98 P Salzgitter v Commission [2000] ECR I-5843, paragraph 43).",prem
"Indeed, if an appellant could not thus base his appeal on pleas in law and arguments already relied on before the Court of First Instance, an appeal would be deprived of part of its purpose.",prem
"In the present case the main appeal, taken as a whole, specifically seeks to challenge the position adopted by the Court of First Instance on various points of law raised before it at first instance.",prem
It indicates clearly the aspects of the judgment under appeal which are criticised and the pleas in law and arguments on which it is based.,prem
"First, it is clear from reading paragraphs 35 and 36 of the judgment under appeal that they are not vitiated by any contradiction, contrary to the contention of the Commission.",prem
"To begin with, in paragraph 35, the Court of First Instance rejected the objection of inadmissibility raised by the Commission.",prem
In paragraph 36 it set out the reasons why it considered that the objection could not be upheld.,prem
"Whilst, at the end of paragraph 36, it deferred consideration of one question of admissibility, that question concerned the more specific allegation by the Commission that the objection that the decision of 3 July 1991 was illegal was itself inadmissible.",prem
The Court of First Instance analysed that separate question at paragraphs 44 to 50 of the judgment under appeal.,prem
The argument alleging a contradiction in the grounds thus cannot be upheld.,prem
"Second, as regards the appellants' interest in bringing proceedings against the part of the contested decision relating to tax reliefs, it is clear from the case-law of the Court of Justice, as the Commission points out, that individual grants of aid under a general aid scheme approved by the Commission which meet the conditions of that scheme constitute existing aid which does not need to be notified  (Italy v Commission, cited above, paragraphs 21 to 26).",prem
"Since it is not notified before it is implemented, such aid does not require an express decision by the Commission and its legality can only be assessed by the national courts (TWD Textilwerke Deggendorf, cited above, paragraphs 15 to 18).",prem
"However, the background to the present dispute is not the same.",prem
"It is clear from the documents on the Court file that the individual tax reliefs at issue were examined by the Commission, which had received complaints about them from the appellants.",prem
"The Commission took the view that those measures did comply with the two conditions laid down by the decision of 3 July 1991 for them to be classified as existing aid, exempt as such from formal notification and from examination of their compatibility with Articles 92 and 93 of the Treaty.",prem
"In taking that position, the Commission did not confine itself to recording that the individual measures at issue were in the nature of existing aid.",prem
"Taking the view that those measures were covered by the decision of 3 July 1991, it also decided not to open the procedure provided for by Article 93(2) of the Treaty.",prem
"The appellants, who could have intervened as complainants in such a procedure if the Commission had opened it, would be deprived of that guarantee if they did not have the option of challenging before the Court of First Instance the assessment made by the Commission (see, to that effect, Case C-198/91 Cook v Commission [1993] ECR I-2487, paragraphs 20 to 24).",prem
