text,label
"As a preliminary point, it must be observed that the Commission has abandoned its claims made in the alternative for the contested judgment to be set aside in so far as it partially annulled the contested decision.",prem
"It must be recalled that Article 173 of the Treaty, by virtue of which the Court of Justice is to review the legality of Community acts, provides that any natural or legal person may on grounds of lack of competence, infringement of an essential procedural requirement, infringement of this Treaty or of any rule of law relating to its application, or misuse of powers institute proceedings against a decision addressed to that person or against a decision which, although in the form of a regulation or a decision addressed to another person, is of direct and individual concern to the former.",prem
"Where a decision is not of individual concern to a natural or legal person within the meaning of that provision, which is an essential condition for having locus standi in proceedings seeking judicial review of a Community act, such proceedings are inadmissible and that inadmissibility therefore constitutes a ground involving a question of public policy which may, and even must, be raised of its own motion by the Community judicature (see, with regard to a party having no interest in bringing or in maintaining an appeal, Case C‑19/93 P Rendo and Others v Commission [1995] ECR I‑3319, paragraph 13).",prem
"According to settled case‑law, persons other than those to whom a decision is addressed may only claim to be individually concerned if that decision affects them by reason of certain attributes which are peculiar to them or by reason of circumstances in which they are differentiated from all other persons and by virtue of these factors distinguishes them individually just as in the case of the person addressed (see, inter alia, judgments in Case 25/62 Plaumann v Commission [1963] ECR 95; Case C‑321/95 P Greenpeace Council and Others v Commission [1998] ECR I‑1651, paragraphs 7 and 28, and Italy and Sardegna Lines v Commission, cited above, paragraph 32).",prem
"The Court has thus held that an undertaking cannot, in principle, contest a Commission decision prohibiting a sectoral aid scheme if it is concerned by that decision solely by virtue of belonging to the sector in question and being a potential beneficiary of the scheme.",prem
"Such a decision is, vis-à-vis the undertaking should it seek to contest the decision, a measure of general application covering situations which are determined objectively and entails legal effects for a class of persons envisaged in a general and abstract manner (Van der Kooy and Others v Commission, cited above, paragraph 15; Case C-6/92 Federmineraria and Others v Commission [1993] ECR I‑6357, paragraph 14, and Italy and Sardegna Lines v Commission, paragraph 33).",prem
"However, it is appropriate to recall the position adopted by the Court in the judgment in Italy and Sardegna Lines v Commission with regard to Commission Decision 98/95/EC of 21 October 1997 concerning aid granted by the Region of Sardinia (Italy) to shipping companies in Sardinia (OJ 1998 L 20, p. 30), which required the Italian Republic to recover from each beneficiary of the loans and leases in question the element of aid which they contained.",prem
"In paragraphs 34 and 35 of that judgment, the Court held that, since Sardegna Lines was not only concerned by Decision 98/95 by virtue of being an undertaking in the shipping sector in Sardinia and a potential beneficiary of the aid scheme for Sardinian shipowners, but also by virtue of being an actual beneficiary of individual aid granted under that scheme, the recovery of which had been ordered by the Commission, it was individually concerned by that decision and its action directed against that decision was admissible.",prem
"Contrary to what the Commission claims, that is precisely the case here, since the applicants are in a different position from that of applicants for whom a Commission decision is in the nature of a measure of general application.",prem
"The former are not only concerned by the contested decision by virtue of being undertakings in the road haulage sector in the region and potential beneficiaries of the aid scheme in question, but also by virtue of being actual recipients of individual aid granted under that scheme, the recovery of which has been ordered by the Commission .",prem
"As paragraphs 10 and 11 of the contested judgment show, the number of applications accepted and the amount budgeted for the aid in question during the periods from 1981 to 1985 and from 1985 to 1995 were specified in section II of the reasons for the contested decision and the Commission must therefore have known of the existence of those actual recipients.",prem
"Since it follows from the foregoing that, in this case, the actions brought by the applicants were admissible, the Court of First Instance did not err in law by not raising of its own motion, as a ground of inadmissibility, the point that those applicants were not individually concerned by the contested decision.",prem
"It must be noted in that regard that Article 92(1) of the Treaty defines the aid regulated by it as being any aid granted by a Member State or through State resources in any form whatsoever which distorts or threatens to distort competition by favouring certain undertakings or the production of certain goods, in so far as it affects trade between Member States.",prem
The procedural rules laid down by the Treaty vary depending on whether aid is existing aid or new aid.,prem
"With regard to existing aid, under the provisions of Article 93(1) and (2) of the Treaty and in accordance with the principle of legal certainty, in the context of its constant review of such aid, if, after giving notice to the parties concerned to submit their comments, the Commission finds that that aid is not compatible with the common market having regard to Article 92 of the Treaty, or that such aid is being misused, it is to decide that the State concerned must abolish or alter such aid within a period of time to be determined by the Commission.",prem
"Such aid may therefore be lawfully put into effect as long as the Commission has not found it to be incompatible (see judgments in Italy v Commission, cited above, paragraphs 23 and 25, and Banco Exterior de España, cited above, paragraph 20).",prem
"With regard to new aid, Article 93(3) of the Treaty provides that the Commission is to be informed, in sufficient time to enable it to submit its comments, of any plans to grant or alter aid.",prem
It then undertakes an initial examination of the planned aid.,prem
"If, following that examination, it considers that any such plan is not compatible with the common market, it must without delay initiate the procedure provided for in paragraph 2 of that article.",prem
"In such circumstances, the Member State concerned must not put its proposed measures into effect until the procedure has resulted in a final decision.",prem
"New aid is therefore subject to a precautionary review by the Commission and may not, in principle, be put into effect until such time as the latter has declared it compatible with the Treaty.",prem
"As the Court of First Instance held inter alia, in paragraphs 77 to 79 of the contested judgment, in the course of the Commission’s assessment of new aid which, pursuant to Article 93(3) of the Treaty, is to be notified to it before being put into effect, the Commission is required to establish, not whether such aid has a real impact on trade between Member States and on competition, but whether that aid could affect that trade.",prem
"If the Commission had to demonstrate in its decision the real effect of aid already granted, such a requirement would have the effect of favouring Member States which grant aid in breach of the obligation to notify laid down in Article 93(3) of the Treaty, to the detriment of those which do notify aid at the planning stage (Case C-301/87 France v Commission [1990] ECR I-307, ‘Boussac Saint Frères’, paragraphs 32 and 33).",prem
"Consequently, the Court of First Instance was fully entitled to hold, in paragraph 95 of the contested judgment, that it was not necessary to establish that certain Community undertakings had been adversely affected by the granting of the aid in dispute.",prem
