text,label
"As the General Court recalled in paragraph 26 of the judgment under appeal, persons other than those to whom a decision is addressed may claim to be individually concerned within the meaning of the fourth paragraph of Article 263 TFEU only if that decision affects them by reason of certain attributes which are peculiar to them or by reason of circumstances in which they are differentiated from all other persons and by virtue of these factors distinguishes them individually just as in the case of the person addressed(judgments of 15 July 1963, Plaumann v Commission, 25/62, EU:C:1963:17, 107; of 3 October 2013, Inuit Tapiriit Kanatami and Others v Parliament and Council, C‑583/11 P, EU:C:2013:625, paragraph 72; and of 19 December 2013, Telefónica v Commission, C‑274/12 P, EU:C:2013:852, paragraph 46).",prem
"In the present instance, in holding the decision at issue to be of individual concern to FL, the General Court found, in paragraph 34 of the judgment under appeal, that inasmuch as that decision relates to the 2006 schedule, it affects a measure of which FL is one of the authors and prevents FL from exercising its own powers as it sees fit.",prem
"In so determining, the General Court pointed out in particular, in paragraph 29 of that judgment, that, whilst it was true that Paragraph 43a(1) of the LuftVZO provided that the supervisory authority of the Land, in this instance the aviation authority of the Land of Schleswig-Holstein, had to approve the schedule concerning the charges applicable to an airport, it was, however, clear from that provision that the schedule had to be proposed by the operator of the airport in question and that the supervisory authority had no power of its own to set the charges itself, as it could only authorise or reject the proposed schedule.",prem
"The General Court also noted, in paragraphs 30 and 31 of the judgment under appeal, that it was clear from the decision at issue and the 2006 schedule that the possibility of applying reduced charges, within the framework of discounts provided for by that schedule, was dependent on an agreement concluded directly between the operator of Lübeck Airport and an airline, without intervention on the part of the supervisory authority, and that it was indeed by means of agreements concluded directly between FL and Ryanair that special charges, derogating from those laid down by the 2006 schedule, had been applied to that airline.",prem
"The General Court inferred therefrom, in paragraph 32 of the judgment under appeal, that FL was vested, in its capacity as the operator of Lübeck Airport, with a power of its own in respect of the setting of the airport charges applicable to that airport and was not acting solely as an extension of the State by exercising powers conferred solely upon the latter.",prem
"Thus, according to the General Court, the power to adopt the 2006 schedule lay with FL and not the State authorities, notwithstanding the requirement that the supervisory authority approve that schedule.",prem
"It is apparent that the General Court thus, in the light of the applicable national law, took the view that FL had — beyond the power to propose to the supervisory authority the schedule setting the airport charges applicable to Lübeck Airport — a power of its own to adopt that schedule.",prem
"As the Commission challenges that view by its line of argument set out in paragraph 13 of the present judgment, it should be pointed out that, in the case of an interpretation of national law by the General Court, the Court of Justice has jurisdiction, on appeal, only to determine whether that law was distorted, and the distortion must be obvious from the documents on its file (see, to that effect, judgments of 5 July 2011, Edwin v OHIM, C‑263/09 P, EU:C:2011:452, paragraph 53, and of 3 April 2014, France v Commission, C‑559/12 P, EU:C:2014:217, paragraphs 79 and 80 and the case-law cited).",prem
"In the present instance, the Commission has not pleaded and, a fortiori, has not demonstrated such distortion of national law.",prem
"Indeed, it has neither contended nor established that the General Court developed reasoning running manifestly counter to the content of the provisions of German law at issue or ascribed to one of those provisions a scope that it manifestly does not have in the light of other material in the file (see, to that effect, judgment of 3 April 2014, France v Commission, C‑559/12 P, EU:C:2014:217, paragraph 81).",prem
