text,label
"It must be held, first, that while Article 4(c) CS prohibits the granting of State aid to steel and coal undertakings, without drawing a distinction between individual aid or aid disbursed under a State aid scheme, Article 67 CS refers expressly to State aid only in respect of protective measures that the Commission may authorise, pursuant to the first indent of paragraph 2 of that article, in favour of coal or steel undertakings where they suffer competitive disadvantages because of general economic policy measures.",prem
"Also, it is clear from consistent case-law that Articles 4 CS and 67 CS concern two distinct areas, the first abolishing and prohibiting certain actions by Member States in the field which the ECSC Treaty places under Community jurisdiction, the second intended to prevent the distortion of competition which exercise of the residual powers of the Member States inevitably entails (see Banks, paragraph 88, and the case-law cited there).",prem
"The Court deduces from this that Article 67 CS covers general measures which Member States may adopt in the context of their economic and social policy and measures taken by Member States which apply to industries other than coal and steel but which are capable of having significant repercussions on the conditions of competition in those industries (see Banks, paragraph 88).",prem
"The Court has also held that action taken under Article 67 CS cannot be what, in any other form whatsoever, Article 4 CS declares to be incompatible with the common market for coal and steel and abolished and prohibited (De Gezamenlijke Steenkolenmijnen in Limburg v High Authority, p. 22).",prem
"The Court has held, in particular, that it is inconceivable that the authors of the ECSC Treaty decided in Article 4(c) CS that subsidies and aids granted by Member States in any form whatsoever should be abolished and prohibited and then declared in Article 67 CS that, without even having been authorised by the Commission, that aid could be allowed subject to the measures recommended by the Commission to mitigate or remedy its effects (De Gezamenlijke Steenkolenmijnen in Limburg v High Authority, p. 21).",prem
"The Court has also held that the first indent of Article 67(2) CS, which, by derogation from Article 4 CS, allows the granting of State aid in respect of protective measures to undertakings referred to in Article 80 CS, does not distinguish between aid specific to the coal and steel industry and aid which applies to it as the result of a general measure (Commission v France, paragraph 43).",prem
"The Court accordingly held that a preferential rediscount rate for exports constitutes aid which, in the case in point, had to be authorised by the Commission under Article 67(2) CS in so far as it concerned the industry covered by the ECSC Treaty (see Commission v France, paragraph 44).",prem
"Finally, State aid granted to an undertaking falling within the scope of the ECSC Treaty has identical anti-competitive effects, regardless of whether it constitutes individual aid or aid granted under a State aid scheme that is not specific to the coal and steel sector.",prem
"In the light of the foregoing, it must consequently be held that Article 4(c) CS applies to State aid paid to coal and steel undertakings under a State aid scheme that is not specific to the coal and steel sector.",prem
"Contrary to what the German Government claims, that interpretation does not undermine the effectiveness of Article 67 CS.",prem
"General policy measures are liable to have appreciable repercussions on conditions of competition in the coal or steel industry within the meaning of Article 67(1) CS, without constituting State aid.",prem
"In the present case, it is not contested that Salzgitter is an undertaking that falls within the scope of the ECSC Treaty and that the aid covered by the contested decision does not constitute protective measures falling within the scope of the first indent of Article 67(2) CS.",prem
"It follows that the Court of First Instance did not commit an error of law in finding that the Commission was entitled to hold that Article 4(c) CS, and not Article 67 CS, applied to the aid covered by the contested decision.",prem
