model_name,fold_number,accuracy,precision,recall,f1-score
LegalBERT,1,0.9324,0.4662,0.5,0.4825
LegalBERT,2,0.9324,0.4662,0.5,0.4825
LegalBERT,3,0.9324,0.4662,0.5,0.4825
LegalBERT,4,0.9324,0.4662,0.5,0.4825
LegalBERT,5,0.3292,0.5458,0.6403,0.303
LegalBERT,6,0.0676,0.0338,0.5,0.0633
LegalBERT,7,0.9448,0.7821,0.7752,0.7786
LegalBERT,8,0.9377,0.9687,0.5395,0.557
LegalBERT,9,0.9324,0.4662,0.5,0.4825
LegalBERT,10,0.9324,0.4662,0.5,0.4825
InCaseLawBERT,1,0.7758,0.6129,0.8676,0.6168
InCaseLawBERT,2,0.8007,0.6238,0.8809,0.6392
InCaseLawBERT,3,0.7794,0.6144,0.8695,0.6199
InCaseLawBERT,4,0.8915,0.6826,0.893,0.7329
InCaseLawBERT,5,0.8665,0.6603,0.8918,0.7031
InCaseLawBERT,6,0.6548,0.5789,0.8027,0.5247
InCaseLawBERT,7,0.6299,0.5713,0.7771,0.5053
InCaseLawBERT,8,0.7972,0.6221,0.879,0.6359
InCaseLawBERT,9,0.8203,0.6281,0.867,0.6517
BERT,1,0.9466,0.7792,0.947,0.8383
BERT,2,0.9626,0.845,0.8701,0.857
BERT,3,0.9573,0.8209,0.8673,0.8421
BERT,4,0.9626,0.8544,0.8457,0.85
BERT,5,0.9306,0.7423,0.914,0.7986
BERT,6,0.9093,0.7097,0.9269,0.7672
BERT,7,0.9591,0.8568,0.795,0.8224
BERT,8,0.9199,0.7258,0.9327,0.7853
BERT,9,0.9609,0.8692,0.796,0.8278
BERT,10,0.8363,0.6377,0.8756,0.6682
