text,label
"It is apparent from the judgment under appeal and the documents included in the file that the appellants submitted before the General Court that, contrary to what the Commission stated in point 97 of the grounds of the contested decision, the normal tax rules for company profits could not be used as a valid basis for comparison and thus as a reference framework for the assessment of the selectivity of the tax scheme at issue.",prem
"The appellants then stated that, even if those rules were able to be used as a reference framework, the tax scheme at issue had not conferred any economic advantage on them.",prem
"The appellants lastly claimed that the general realignment scheme could not be used as a reference framework either, since its characteristics were totally different from those of the tax scheme at issue.",prem
"Even if that were the case, the tax scheme at issue did not confer any economic advantage as against the general realignment scheme.",prem
"It is apparent from those submissions that, according to the appellants, neither the normal tax rules for profits nor the general realignment scheme could be used as a reference framework and that, even if that were the case, the tax scheme at issue did not confer any economic advantage as against one or other of those schemes.",prem
"In order to respond to those arguments, the General Court, in paragraph 161 of the judgment under appeal, first of all duly reiterated the Court of Justice’s case-law on the determination of the reference framework for the purpose of checking whether a measure is selective in the following terms:",prem
"‘The Court of Justice has stated that the determination of the reference framework for the purpose of determining whether a measure is selective has a particular importance in the case of tax measures, since the very existence of an advantage may be established only when compared with “normal” taxation ([Case C-88/03] Portugal v Commission [[2006] ECR I-7115], paragraph 56), that is to say, the taxation normally applicable to undertakings which are, in the light of the objective pursued by the scheme in question, in a factual and legal situation that is comparable to that of the undertakings benefiting from the scheme ([Case C-143/99] Adria-Wien Pipeline and Wietersdorfer Peggauer Zementwerke [[2001] ECR I-8365], paragraph 41).’",prem
"The General Court then, in paragraphs 165 to 167 of the judgment under appeal, made the following observations:

‘165


It is necessary, first, to consider the [appellants’] complaints relating to the Commission’s choice of normal [corporation] tax as the reference framework and the finding made by that institution, within that framework, that there was a selective economic advantage.",prem
"166


In the present case, the Commission found that, although the system of fiscal neutrality established by Law … 218/1990 resembled, as regards gains realised but not recognised, the system of fiscal neutrality under Article 4 of … Decree … 358/1997 [the second sentence of point 99 of the grounds of the contested decision] — a finding which dictated that any realignment scheme that may be introduced by the legislature should be applied without distinction, under the same conditions, to gains realised in the context of either of those two systems [point 88 of the grounds of the contested decision] — the Italian Republic had limited the benefit of the realignment scheme under Article 2(26) of Law … 350/2003 to undertakings reorganised under Law … 218/1990 [point 90 of the grounds of the contested decision].",prem
"On the basis of those considerations, the Commission concluded that the Italian Republic had conferred a selective advantage on those undertakings, corresponding to the difference between the tax actually paid pursuant to Article 2(26) of Law … 350/2003 and the normal tax that would have been paid if the realignment had taken place in the absence of the preferential scheme [point 91 of the grounds of the contested decision].’",prem
