model_name,fold_number,task,accuracy,precision,recall,f1-score
MultiTaskRoberta,1,Relation,0.74,0.56,0.57,0.55
MultiTaskRoberta,1,Source,0.72,0.75,0.71,0.71
MultiTaskRoberta,1,Target,0.74,0.67,0.69,0.67
MultiTaskRoberta,2,Relation,0.8,0.52,0.52,0.52
MultiTaskRoberta,2,Source,0.76,0.77,0.73,0.74
MultiTaskRoberta,2,Target,0.74,0.58,0.6,0.59
MultiTaskRoberta,3,Relation,0.73,0.58,0.76,0.56
MultiTaskRoberta,3,Source,0.77,0.75,0.74,0.72
MultiTaskRoberta,3,Target,0.84,0.76,0.83,0.79
MultiTaskRoberta,4,Relation,0.74,0.5,0.5,0.5
MultiTaskRoberta,4,Source,0.74,0.66,0.78,0.7
MultiTaskRoberta,4,Target,0.77,0.61,0.77,0.65
MultiTaskRoberta,5,Relation,0.77,0.47,0.49,0.48
MultiTaskRoberta,5,Source,0.67,0.67,0.67,0.67
MultiTaskRoberta,5,Target,0.68,0.65,0.65,0.65
MultiTaskRoberta,6,Relation,0.7,0.58,0.82,0.63
MultiTaskRoberta,6,Source,0.67,0.71,0.76,0.71
MultiTaskRoberta,6,Target,0.74,0.69,0.82,0.71
MultiTaskRoberta,7,Relation,0.76,0.5,0.51,0.5
MultiTaskRoberta,7,Source,0.73,0.78,0.75,0.76
MultiTaskRoberta,7,Target,0.75,0.61,0.83,0.67
MultiTaskRoberta,8,Relation,0.72,0.57,0.54,0.55
MultiTaskRoberta,8,Source,0.7,0.74,0.72,0.73
MultiTaskRoberta,8,Target,0.77,0.83,0.72,0.76
MultiTaskRoberta,9,Relation,0.77,0.64,0.62,0.61
MultiTaskRoberta,9,Source,0.84,0.81,0.86,0.82
MultiTaskRoberta,9,Target,0.81,0.67,0.79,0.69
MultiTaskRoberta,10,Relation,0.65,0.6,0.55,0.55
MultiTaskRoberta,10,Source,0.71,0.64,0.7,0.65
MultiTaskRoberta,10,Target,0.79,0.66,0.71,0.66
