model_name,fold_number,accuracy,macro_precision,macro_recall,f1_score_macro_avg
legalBERT_processed_GNN,1,0.9684,0.9807,0.8706,0.9142
legalBERT_processed_GNN,2,0.9793,0.9029,0.9827,0.9351
legalBERT_processed_GNN,3,0.9855,0.9253,0.9362,0.9306
legalBERT_processed_GNN,4,0.9811,0.8580,0.9655,0.8973
legalBERT_processed_GNN,5,0.9807,0.9123,0.9613,0.9332
legalBERT_processed_GNN,6,0.9765,0.8217,0.9493,0.8640
legalBERT_processed_GNN,7,0.9979,0.9697,0.9984,0.9833
legalBERT_processed_GNN,8,1.0000,1.0000,1.0000,1.0000
legalBERT_processed_GNN,9,0.9915,0.8320,0.9122,0.8637
legalBERT_processed_GNN,10,0.9757,0.8887,0.9087,0.8981
Average,Average,0.9837,0.9091,0.9485,0.9220
