model_name,fold_number,accuracy,macro_precision,macro_recall,f1_score_macro_avg
legalBERT_raw_MLP,1,0.9346,0.6221,0.6424,0.6302
legalBERT_raw_MLP,2,0.9585,0.6353,0.6621,0.6479
legalBERT_raw_MLP,3,0.6425,0.6839,0.6421,0.4558
legalBERT_raw_MLP,4,0.9732,0.6471,0.6654,0.6561
legalBERT_raw_MLP,5,0.7211,0.7121,0.7158,0.5342
legalBERT_raw_MLP,6,0.9789,0.6517,0.6667,0.6591
legalBERT_raw_MLP,7,0.9786,0.6511,0.6667,0.6587
legalBERT_raw_MLP,8,0.9980,0.6653,0.6667,0.6660
legalBERT_raw_MLP,9,0.9915,0.6609,0.6667,0.6638
legalBERT_raw_MLP,10,0.6786,0.6954,0.6637,0.4836
Average,Average,0.8855,0.6625,0.6658,0.6055
