model_name,fold_number,task,accuracy,precision,recall,f1-score
LegalBERT_final,1,Relation,0.72,0.48,0.51,0.48
LegalBERT_final,1,Source,0.71,0.63,0.59,0.59
LegalBERT_final,1,Target,0.72,0.73,0.69,0.7
LegalBERT_final,2,Relation,0.76,0.49,0.5,0.5
LegalBERT_final,2,Source,0.76,0.57,0.84,0.6
LegalBERT_final,2,Target,0.74,0.6,0.72,0.63
LegalBERT_final,3,Relation,0.79,0.54,0.53,0.53
LegalBERT_final,3,Source,0.81,0.87,0.68,0.74
LegalBERT_final,3,Target,0.79,0.75,0.83,0.78
LegalBERT_final,4,Relation,0.69,0.52,0.53,0.52
LegalBERT_final,4,Source,0.76,0.5,0.48,0.49
LegalBERT_final,4,Target,0.75,0.61,0.64,0.62
LegalBERT_final,5,Relation,0.73,0.44,0.47,0.45
LegalBERT_final,5,Source,0.69,0.61,0.65,0.63
LegalBERT_final,5,Target,0.74,0.7,0.82,0.74
LegalBERT_final,6,Relation,0.71,0.46,0.48,0.46
LegalBERT_final,6,Source,0.66,0.47,0.46,0.44
LegalBERT_final,6,Target,0.68,0.65,0.53,0.54
LegalBERT_final,7,Relation,0.77,0.55,0.56,0.55
LegalBERT_final,7,Source,0.71,0.81,0.81,0.81
LegalBERT_final,7,Target,0.69,0.63,0.79,0.68
LegalBERT_final,8,Relation,0.69,0.65,0.55,0.55
LegalBERT_final,8,Source,0.74,0.76,0.64,0.67
LegalBERT_final,8,Target,0.75,0.74,0.81,0.75
LegalBERT_final,9,Relation,0.7,0.82,0.52,0.51
LegalBERT_final,9,Source,0.79,0.54,0.49,0.5
LegalBERT_final,9,Target,0.78,0.73,0.77,0.74
LegalBERT_final,10,Relation,0.68,0.59,0.6,0.59
LegalBERT_final,10,Source,0.72,0.52,0.67,0.53
LegalBERT_final,10,Target,0.72,0.59,0.75,0.63
