text,label
"The Commission first recalls that the guarantees in paras. 2 and
3 (Art. 6-2, 6-3)are specific aspects of the right to a fair trial set
forth in para. 1 (Art. 6-1)",premise
"(cf. e.g., Eur. Court H.R., Unterpertinger
judgment of 24 November 1986, Series A no. 110, p. 14, para. 29).",premise
"Accordingly, the Commission will have regard to them when examining the
facts under Article 6 para. 1 (Art. 6-1).",conclusion
,
"(Eur. Court H.R., Klaas judgment of 22 September 1993,
Series A no. 269-A, pp. 17-18, paras. 29-30).",premise
"As a general rule, however, it is for the
domestic courts to assess the evidence before them, in particular since
they have the benefit of hearing witnesses and assessing their
credibility",conclusion
,
"(e.g., Eur. Court H.R., Cardot
judgment of 19 March 1991, Series A no. 200, p. 18, para. 34).",premise
"A complaint to the Commission must
therefore have been made at least in substance in the proceedings
before the competent domestic organs",conclusion
,
"A complaint to the Commission must
therefore have been made at least in substance in the proceedings
before the competent domestic organs",premise
"In the present case that the Commission finds that the first
applicant has not shown that complaints 1(a) to (g), (i) to (n) and (p)
were raised at least in substance before the domestic courts.",premise
"He has
not therefore exhausted the remedies available to him under Swedish law
in respect of these complaints.",conclusion
,
"He has
not therefore exhausted the remedies available to him under Swedish law
in respect of these complaints.",premise
"Moreover, the Commission finds no
special circumstance which might have absolved this applicant,
according to the generally recognised rules of international law, from
exhausting the domestic remedies at his disposal.",premise
"It follows
that it cannot examine whether or not the first applicant was guilty
or innocent.",conclusion
,
" Limiting its examination of the fairness of the proceedings to
the first applicant's complaints 1 (h) and (o), the Commission observes
that he availed himself of his right to challenge Ms. Ekberg's report
by making a request to hear another expert.",premise
"There is thus no indication
that there was in this respect a lack of ""equality of arms"" between the
first applicant and the prosecution.",conclusion
,
"Accordingly, the Commission will have regard to them when examining the
facts under Article 6 para. 1 (Art. 6-1).",premise
"It follows
that it cannot examine whether or not the first applicant was guilty
or innocent.",premise
"It follows that these
complaints must be rejected for non-exhaustion of domestic remedies
under Article 27 para. 3 (Art. 27-3) of the Convention.",premise
"There is thus no indication
that there was in this respect a lack of ""equality of arms"" between the
first applicant and the prosecution.",premise
"In conclusion, there is no indication that the first
applicant was denied a fair trial in this respect.",conclusion
,
" In conclusion, there is no indication that the first
applicant was denied a fair trial in this respect.",premise
"Accordingly, as
there is no appearance of a violation of Article 6 para. 1
(Art. 6-1), these complaints must be rejected as being manifestly ill-
founded within the meaning of Article 27 para. 2 (Art. 27-2) of the
Convention.
",conclusion
,
"in that, as a result, the second
applicant was kept in public care.",premise
"The first applicant complains that his conviction violated
Article 3 (Art. 3) of the Convention",conclusion
,
"The Commission finds no appearance
of such a violation.",premise
"It follows that this complaint must be rejected
as being manifestly ill-founded within the meaning of Article 27 para.
2 (Art. 27-2) of the Convention.
",conclusion
,
"The first and the second applicant complain that the first
applicant was prohibited from taking the second applicant home on his
release from his pre-trial detention,",premise
"this prohibition violating the
first applicant's rights under Article 6 para. 2 (Art. 6-2) of the
Convention as well as both applicants' rights under Article 8 (Art. 8).",conclusion
,
"The Commission recalls that under Article 26 (Art. 26) of the
Convention it may only deal with a complaint within a period of six
months from the date on which the final decision was taken.",premise
"It observes
that the prohibition complained of was issued on 28 January 1991 and
became obsolete at the latest on 20 June 1991, when the County
Administrative Court ordered the second applicant's placement in public
care.",premise
"The present application, however, was lodged on 16 November 1992,
that is more than six months later.",premise
"Furthermore, an examination of the
case does not disclose the existence of any special circumstances which
might have interrupted or suspended the running of that period.",premise
"It
follows that this complaint has been introduced out of time and must
be rejected in accordance with Article 27 para. 3 (Art. 27-3) of the
Convention.",conclusion
,
"The Commission observes that the refusal at issue dates back to
28 January 1991.",premise
"Reiterating its conclusion with regard to complaint
no. 3, the Commission considers that these complaints have also been
introduced out of time and must be rejected in accordance with Article
27 para. 3 (Art. 27-3)of the Convention.",conclusion
,
"Examining the complaint under Article 6 para. 2 (Art. 6-2) of the
Convention, the Commission finds no appearance of a violation of these
applicants' rights.",premise
"It follows that this complaint must be rejected as
being manifestly ill-founded within the meaning of Article 27 para. 2
(Art. 27-2) of the Convention.
",conclusion
,
"The Commission finds this complaint
unsubstantiated.",premise
"It follows that it must be rejected as being
manifestly ill-founded within the meaning of Article 27 para. 2
(Art. 27-2) of the Convention.",conclusion
,
"The Commission recalls that ""family life"" within the meaning of
Article 8 (Art. 8) may include at least the ties between near relatives
such as grandparents and grandchildren (e.g., Eur. Court H.R., Marckx
judgment of 13 June 1979, Series A no. 31, p. 21, para. 45).",premise
"However,
the existence of ""family life"" will depend on a number of factors and
on the particular circumstances of each case (cf., e.g., No. 12763/87,
Dec. 14.7.88, D.R. 57 p. 216).",premise
"The second applicant is the child of the first applicant in his
marriage to S. The first and the second applicant therefore constitute
a ""family"" ipso jure",premise
"(e.g., Eur. Court H.R., Hokkanen judgment of
23 September 1994, Series A no. 299-A, para. 54).",premise
