text,label
"According to the applicant, the order has a chilling effect on the likelihood of sources communicating information to journalists such as himself, and his right to impart information to the public has also been impaired thereby.",argumentative
The applicant submits that the disclosure order made by the High Court and confirmed on appeal constituted an interference with his freedom of expression guaranteed by Article 10 (Art. 10) of the Convention.,argumentative
"Article 10 (Art. 10) of the Convention provides: ""1. Everyone has the right to freedom of expression. This right shall include freedom to hold opinions and to receive and impart information and ideas without interference by public authorities and regardless of frontiers...",argumentative
"The applicant contends that the disclosure order breached his duty of confidentiality to his source and was not ""prescribed by law"",",argumentative
"Further, the applicant considers that there was no pressing social need for the restraint,",argumentative
"The restraint was also not proportionate to the aim,",argumentative
"According to the applicant, the order has a chilling effect on the likelihood of sources communicating information to journalists such as himself, and his right to impart information to the public has also been impaired thereby.",argumentative
since the law permitting such orders is not formulated with sufficient precision to enable the individual to foresee with reasonable certainty when it will be applied.,argumentative
"In particular, he argues that the criterion of the ""interests of justice"" is insufficiently certain and renders impossible the task of a journalist in assessing whether or not he can give a source an undertaking not to reveal his identity.",argumentative
"The applicant contends that the disclosure order breached his duty of confidentiality to his source and was not ""prescribed by law"",",argumentative
since X Ltd. was already protected by the injunction against publication of confidential information in the press and had made no use of alternative means of identifying the source.,argumentative
"Further, the applicant considers that there was no pressing social need for the restraint,",argumentative
since it included the threat to the applicant of up to two years' imprisonment and has cast a disproportionate chilling effect on the free flow of information to the public generally.,argumentative
"The restraint was also not proportionate to the aim,",argumentative
"refer to domestic case-law as indicating that the relevant principle is well-established, accessible and foreseeable in its application and consequences.",argumentative
"The Government submit however that the interference was ""prescribed by law"" within the meaning of the second paragraph,",argumentative
for the purpose of protecting the rights of others and for preventing the disclosure of information received in confidence.,argumentative
They submit that Section 10 of the 1981 Act gives recognition to the high public importance of protecting the free flow of information to the press and provides a heavy presumption against ordering disclosure.,argumentative
"The interest of protecting journalistic sources cannot however outweigh all others and, they argue, in the assessment of whether ""the interests of justice"" required disclosure in this particular case, the domestic courts gave full and reasoned consideration to all the competing interests.",argumentative
"The Government contend that having regard to the margin of appreciation, accorded to Contracting States, there is no ground on which the Commission in its supervisory jurisdiction can substitute its own opinion for that of the courts.",argumentative
"The Government further submit that the interference was ""necessary in a democratic society""",argumentative
"The Government submit however that the interference was ""prescribed by law"" within the meaning of the second paragraph,",argumentative
"The Government further submit that the interference was ""necessary in a democratic society""",argumentative
The Government accept that the action of the courts amounted to a restriction on the applicant's freedom of expression within the scope of the first paragraph of Article 10 (Art. 10).,argumentative
"The Commission considers that the applicant's complaints under Article 10 (Art. 10) of the Convention raise complex issues of fact and law, the determination of which should depend on a full examination of the merits.",argumentative
These complaints cannot therefore be regarded as manifestly ill-founded within the meaning of Article 27 para. 2 (Art. 27-2) of the Convention.,argumentative
"At the hearing, which took place on 7 September 1993, the Government were represented as follows:",non-argumentative
"The facts of the present case, as submitted by the parties and which may be deduced from documents lodged with the application, may be summarised as follows.",non-argumentative
"The applicant is a journalist. In August 1989, he began working for the publication ""The Engineer"".",non-argumentative
"On 2 November 1989, the applicant was telephoned by a source, which gave him information about a company, X Ltd..",non-argumentative
"The information was unsolicited, was not in exchange for payment and the applicant alleges that he had no reason to believe that the information was derived from a stolen or confidential document.",non-argumentative
The information was given on an unattributable basis.,non-argumentative
"On 6 and 7 November 1989, the applicant telephoned X Ltd. to check the facts and seek their comments on the information which he had been given.",non-argumentative
"He prepared a draft article for publication in ""The Engineer"" to the effect that the company was in the process of raising a £5 million loan and had financial problems as a result of an expected loss of £2.1 million for 1989.",non-argumentative
X Ltd. alleged that the information was derived from a draft of its confidential Corporate Plan which had gone missing on 1 November 1989.,non-argumentative
"On 7 November 1989 X Ltd. applied for and obtained an ex parte interim injunction to restrain the publishers of ""The Engineer"" publishing any information derived from the Corporate Plan.",non-argumentative
"On 8 November 1989, a writ was issued against the publishers claiming an injunction and a notice of motion was served seeking, inter alia, an order that the publishers disclose the identity of their source.",non-argumentative
"On 10 November 1989, the publishers submitted their evidence for the motion, including an affidavit by the applicant in which he referred to notes of his conversation with his source.",non-argumentative
"On 14 November 1989, at the hearing of the motion, X Ltd. obtained an order that the publishers should disclose the applicant's notes, which identified his source, pursuant to Section 10 of the Contempt of Court Act 1981 (""the 1981 Act"").",non-argumentative
"On 15 November 1989, X Ltd. were given leave to join the applicant and his employer to the proceedings.",non-argumentative
"He also granted interim injunctions against the two additional defendants, the applicant and his employer.",non-argumentative
"The judge gave all three defendants until 3,00 p.m. on 16 November 1989 to deliver up the notes.",non-argumentative
"On 16 November 1989, X Ltd. informed all national newspapers and relevant journals of the injunction.",non-argumentative
"On 17 November 1989, the High Court made an order that the applicant represented all persons who received the plan or information derived from it without the authority of X Ltd. and that such persons should, inter alia, deliver up any copies of the plan in their possession.",non-argumentative
The motion was then adjourned for the applicant to bring this order to the attention of his source.,non-argumentative
The applicant declined to do so however.,non-argumentative
"On 22 November 1989, the applicant was again ordered to disclose his notes: this time by the deadline of 3.00 pm on 23 November 1989.",non-argumentative
"Mr. Justice Hoffman stated that it was necessary ""in the interests of justice"" for the purposes of Section 10 of the 1981 Act for the source's identity to be disclosed to enable X Ltd. to bring proceedings against the source to recover the document, to obtain an injunction preventing further publication or to seek damages for the expenses to which they had been put.",non-argumentative
"Although the applicant was an innocent recipient of the information, the judge concluded that the source who had telephoned the applicant had probably seen the stolen document and indeed was probably the thief.",non-argumentative
He was satisfied that there was strong prima facie evidence that X Ltd. had suffered a serious wrong by the theft of its confidential file and that it would suffer serious commercial damage if the information was disclosed.,non-argumentative
