text,label
"(see the Artico v. Italy judgment of 13 May 1980, Series A no. 37, pp. 12-13, paras. 24 and 27).",premise
The Court therefore has jurisdiction to entertain it,conclusion
,
not having applied for judicial review either of the Inspectors’ conduct of the inquiry or of their decision to submit their report to the Secretary of State;,premise
by not having applied for judicial review of the Secretary of State’s decision to publish the Inspectors’ report;,premise
"by not having pursued the libel proceedings commenced against The Observer newspaper.",premise
"According to the Government, the applicants failed to exhaust their domestic remedies",conclusion
,
"The grounds on which judicial review may be sought (see paragraphs 44 and 45 above) are such that it would not have ensured access to a court for determination of the truth of statements made about the applicants in the Inspectors’ report, the absence of such access being the essence of their complaints under the Convention.",premise
"Nor would the libel actions against The Observer, although to some extent concerned with the same subject-matter (see paragraph 11 above), have provided a remedy against the Inspectors or the Secretary of State as regards the publication of the damaging statements contained in the Inspectors’ report.",premise
"The Court therefore agrees with the Delegate of the Commission and the applicants that the plea of non-exhaustion of domestic remedies has not been made out by the Government.",conclusion
,
" The applicants contended that the Inspectors’ investigation and, above all, the publication of the Inspectors’ report gave rise to a violation of Article 6 para. 1 (art. 6-1), which, in so far as relevant, provides:",premise
"In their submission, the making and the subsequent publication of the Inspectors’ report in its entirety seriously damaged their reputations, thereby determining their civil right to honour and reputation, and the state of English law was such that they were denied effective access to the courts to challenge the resultant interference with that civil right.",conclusion
,
"The first stage of the applicants’ argument, which was disputed by the Government and not accepted by the Commission, was that",premise
"Article 6 para. 1 (art. 6-1) was applicable to the investigation by the Inspectors.",conclusion
,
" In order for an individual to be entitled to a hearing before a tribunal, there must exist a ""dispute"" (""contestation"") over one of his or her civil rights or obligations.",premise
"It follows, so the Court’s case-law has explained, that the result of the proceedings in question must be directly decisive for such a right or obligation, mere tenuous connections or remote consequences not being sufficient to bring Article 6 para. 1 (art. 6-1) into play ",conclusion
,
"(see, inter alia, the Le Compte, Van Leuven and De Meyere v. Belgium judgment of 23 June 1981, Series A no. 43, pp. 20-22, paras. 44-50).",premise
" It follows, so the Court’s case-law has explained, that the result of the proceedings in question must be directly decisive for such a right or obligation, mere tenuous connections or remote consequences not being sufficient to bring Article 6 para. 1 (art. 6-1) into play ",conclusion
,
"the respondent Government did not dispute the existence and ""civil"" character of the right under English law to a good reputation.",premise
"The principal purpose of the investigation and report of the Inspectors, they maintained, was to acquire, marshal and set down factual information which would enable the various competent authorities - such as the Director General of Fair Trading, the prosecuting authorities, the Bank of England, the Takeover Panel and the Secretary of State (see paragraphs 23, 27, 30 and 34 above) - to decide what action, if any, to take. ",premise
"Four further purposes also existed, none of which, however, included ascertaining whether the applicants merited their good reputation. These additional purposes were dispelling public speculation about the events surrounding the takeover, enabling those concerned in takeovers to learn lessons, laying the foundations for reform of company law and practice, and providing information to HOF’s employees, shareholders and creditors.",premise
"However, they submitted that neither the investigation by the Inspectors nor the publication of the report ""determined"" the applicants’ civil right to a good reputation or, indeed, any right at all.",conclusion
,
"The Commission, after analysing the purposes served by the preparation and publication of the Inspectors’ report, came to the conclusion that the Inspectors had an ""investigative rather than determinative"" role (paragraph 64 of the Commission’s report).",premise
"The Commission was therefore of the opinion that Article 6 para. 1 (art. 6-1) was not applicable to the proceedings conducted by Inspectors because those proceedings did not determine any civil right or obligation of the applicants.",conclusion
,
