text,label
"As has been noted in several previous judgments by the Court, the campaign of terrorism waged in Northern Ireland over the last quarter of a century has taken a terrible toll, especially in terms of human life and suffering (see paragraph 35 above).",premise
The Court sees no reason to depart from the general approach it has adopted in previous cases of a similar nature.,premise
"(see, inter alia, the Fox, Campbell and Hartley v. the United Kingdom judgment of 30 August 1990, Series A no. 182, p. 15, para. 28, citing the Brogan and Others v. the United Kingdom judgment of 29 November 1988, Series A no. 145-B, p. 27, para. 48).",premise
"Accordingly, for the purposes of interpreting and applying the relevant provisions of the Convention, due account will be taken of the special nature of terrorist crime, the threat it poses to democratic society and the exigencies of dealing with it",conclusion
"They also pointed to a number of other facts capable of supporting, albeit indirectly, the reasonableness of the suspicion, including notably the findings made by the domestic courts in the proceedings brought by Mrs Murray, the very recent conviction of her brothers in the USA of offences connected with the purchase of weapons for the Provisional IRA, her own visits to the USA and her contacts with her brothers there (see especially paragraphs 10, 19, 24, 25, 28 and 29 above).",premise
They submitted that all these matters taken together provided sufficient facts and information to satisfy an objective observer that there was a reasonable suspicion in the circumstances of the case.,conclusion
"Any other conclusion by the Court would, they feared, prohibit arresting authorities from effecting an arrest of a person suspected of being a terrorist based primarily on reliable but secret information and would inhibit the arresting authorities in taking effective measures to counter organised terrorism.",premise
They submitted that all these matters taken together provided sufficient facts and information to satisfy an objective observer that there was a reasonable suspicion in the circumstances of the cas,conclusion
"As in the case of Fox, Campbell and Hartley, the Government’s explanation did not meet the minimum standards set by Article 5 para. 1 (c) (art. 5-1-c) for judging the reasonableness of her arrest and detention.",premise
She did not accept that the reason advanced for non-disclosure was a genuine or valid one.,premise
She in her turn pointed to circumstances said to cast doubt on the reasonableness of the suspicion.,premise
"In reply to the Government the first applicant contended that the issue which the domestic courts inquired into was not the objective reasonableness of any suspicion but the subjective state of mind of the arresting officer, Corporal D. 54. For the Commission, the Government’s explanation in the present case was not materially distinguishable from that provided in the case of Fox, Campbell and Hartley.",premise
It took the view that no objective evidence to corroborate the unrevealed information had been adduced in support of the suspicion that the first applicant had been involved in collecting money for Provisional IRA arms purchases other than her kinship with her convicted brothers.,premise
"The first applicant, on the other hand, considered that the Government had failed to discharge the onus of disclosing sufficient facts to enable the Convention institutions to conclude that the suspicion grounding her arrest was reasonable or anything more than the ""honest"" suspicion required under Northern Ireland law.",conclusion
