text,label
The Government submitted that the applicant’s allegations were based on the assumption that the judges had been involved in the matter as complainants and had therefore had a personal interest in the subsequent proceedings.,premise
They stated that such an assumption betrayed a fundamental misunderstanding of the nature and function of proceedings for contempt in the face of the court in common-law jurisdictions.,premise
They were not proceedings brought by one of the parties or by a complainant.,premise
hey constituted a sui generis procedure aimed at securing the unimpeded functioning of the courts and safeguarding the authority of the judiciary.,premise
The proceedings were not adversarial in the sense that one person was opposed to another; they concerned the integrity of the judicial system.,premise
No single judge had any interest in them.,premise
The long-established power granted to common-law courts to sanction improper conduct committed in their face was a necessary and indispensable element of a fair trial itself.,premise
The Assize Court’s own duty to ensure a fair trial of the persons accused of murder in the present case required it to possess the summary power to deal with any contempt before it.,premise
The applicant had not insulted the judges in their individual capacity but had sought to undermine the authority of the judicial system itself.,conclusion
"The Government further maintained that, in order to be effective, the judicial power to sanction attempts by any person in the courtroom to dominate the court and determine the course of the trial had to be exercised immediately.",premise
Otherwise the person in contempt would in effect have achieved his purpose.,premise
"Moreover, if contempt proceedings had been brought before a different bench, there would have been certain undesirable consequences that could not have been overlooked: the members of the bench would have had to testify about the events which had taken place before their eyes.",premise
Their credibility in connection with the facts of which they had become aware while performing their functions would have had to have been tested by other judges and the very integrity of the judiciary would accordingly have been unnecessarily questioned.,premise
"According to the Government, the applicant would have been entitled to allege a breach of the impartiality rule only on the (incorrect) assumption that the Assize Court had been acting in a personal capacity in trying him.",premise
"There was no basis for a finding of objective bias, if both the context and the fact that there was no complainant were borne in mind.",conclusion
"Furthermore, the fact that the applicant had been able to appeal to the Supreme Court, a judicial body with full jurisdiction to review facts and law, cured any possible breach of the impartiality requirement.",premise
"The Supreme Court had independently found that the applicant had been guilty of the offence of contempt, and had upheld the sentence imposed by the Assize Court.",premise
"The requirements of Article 6 had been satisfied, if not by the Assize Court, then by the Supreme Court.",conclusion
"Applying the criteria established by the case-law of the Court (see Engel and others v. the Netherlands, judgment of 8 June 1976, Series A no. 22, §§ 82-83; Öztürk v. Germany, judgment of 21 February 1984, Series A no. 73, §§ 48-50), namely a)",premise
"the domestic classification of the offence, b) the nature of the offence, and c) the degree of severity of the penalty that the person concerned risks incurring,",premise
it is clear that the offence in question was criminal.,conclusion
"The offence was classified in domestic law as criminal, it was not confined to the applicant’s status as a lawyer, the maximum possible sentence was one month’s imprisonment and the sentence actually imposed on the applicant was 5 days’ imprisonment",premise
"(see Ezeh and Connors v. the United Kingdom [GC], nos. 39665/98 and 40086/98, §§ 82-86, ECHR 2003-X).",premise
"Therefore, the requirements of Article 6 of the Convention in respect of the determination of any criminal charge, and the defence rights of everyone charged with a criminal offence, apply fully in the present case.",conclusion
The Court considers that the decisive feature of the case is that the judges of the court which convicted the applicant were the same judges before whom the contempt was allegedly committed.,premise
"This in itself is enough to raise legitimate doubts, which are objectively justified, as to the impartiality of the court - nemo judex in causa sua.",conclusion
"The Government’s assertion that the judges who convicted the applicant cannot be considered complainants in the proceedings and had no personal interest in the relevant offence but were simply defending the authority and standing of the court is, in the opinion of the Court, theoretical.",premise
The reality is that courts are not impersonal institutions but function through the judges who compose them.,premise
It is the judges who interpret a certain act or type of conduct as contempt of court.,premise
"Whether a contempt has been committed must be assessed on the basis of the particular judges’ own personal understanding, feelings, sense of dignity and standards of behaviour.",premise
Justice is offended if the judges feel that it has been.,premise
Their personal feelings are brought to bear in the process of judging whether there has been a contempt of court.,premise
Their own perception and evaluation of the facts and their own judgment are engaged in this process.,premise
"For that reason, they cannot be considered to be sufficiently detached, in order to satisfy the conditions of impartiality, to determine the issues pertaining to the question of contempt in the face of their own court.",conclusion
The Court endorses in this respect the statement of the Supreme Court of the United States in the case of Offutt v. USA (348 U.S. 11. 75 S.Ct.11):,premise
