model_name,fold_number,accuracy,precision_macro_avg,recall_macro_avg,f1_score_macro_avg
Joint RGCN,1,0.9100,0.6800,0.9500,0.7400
Joint RGCN,2,1.0000,1.0000,1.0000,1.0000
Joint RGCN,3,0.9900,0.9000,0.9900,0.9400
Joint RGCN,4,1.0000,1.0000,0.9700,0.9900
Joint RGCN,5,1.0000,1.0000,1.0000,1.0000
Joint RGCN,6,1.0000,1.0000,1.0000,1.0000
Joint RGCN,7,1.0000,1.0000,1.0000,1.0000
Joint RGCN,8,1.0000,1.0000,1.0000,1.0000
Joint RGCN,9,1.0000,1.0000,1.0000,1.0000
Joint RGCN,10,1.0000,0.9700,1.0000,0.9800
Joint RGCN,Avg,0.9900,0.9550,0.9910,0.9650
