model_name,fold_number,accuracy,macro_precision,macro_recall,f1_score_macro_avg
LEGALBERT_GNN_PROCESSED_UCREAT,1,0.9641,0.9140,0.8673,0.8882
LEGALBERT_GNN_PROCESSED_UCREAT,2,0.9922,0.9955,0.9935,0.9945
LEGALBERT_GNN_PROCESSED_UCREAT,3,0.9855,0.9548,0.8948,0.9209
LEGALBERT_GNN_PROCESSED_UCREAT,4,0.9826,0.8642,0.9872,0.9083
LEGALBERT_GNN_PROCESSED_UCREAT,5,0.9702,0.8741,0.9834,0.9139
LEGALBERT_GNN_PROCESSED_UCREAT,6,0.9859,0.8667,0.9906,0.9120
LEGALBERT_GNN_PROCESSED_UCREAT,7,0.9893,0.9920,0.8333,0.8849
LEGALBERT_GNN_PROCESSED_UCREAT,8,0.9980,0.8333,0.9987,0.8882
LEGALBERT_GNN_PROCESSED_UCREAT,9,0.9979,0.9986,0.9167,0.9517
LEGALBERT_GNN_PROCESSED_UCREAT,10,0.9800,0.9045,0.9329,0.9176
Average,Average,0.9846,0.9198,0.9398,0.9180
