model_name,fold_number,accuracy,macro_precision,macro_recall,f1_score_macro_avg
LEGALBERT_GNN_PROCESSED_UPDATED,1,0.9684,0.9807,0.8706,0.9142
LEGALBERT_GNN_PROCESSED_UPDATED,2,0.9715,0.8685,0.9762,0.9070
LEGALBERT_GNN_PROCESSED_UPDATED,3,0.9868,0.9562,0.8956,0.9219
LEGALBERT_GNN_PROCESSED_UPDATED,4,0.9842,0.8718,0.9885,0.9148
LEGALBERT_GNN_PROCESSED_UPDATED,5,0.9947,0.9857,0.9745,0.9800
LEGALBERT_GNN_PROCESSED_UPDATED,6,0.9765,0.8246,0.9845,0.8731
LEGALBERT_GNN_PROCESSED_UPDATED,7,0.9957,0.9444,0.9967,0.9681
LEGALBERT_GNN_PROCESSED_UPDATED,8,0.9980,0.8333,0.9987,0.8882
LEGALBERT_GNN_PROCESSED_UPDATED,9,0.9915,0.8333,0.9945,0.8861
LEGALBERT_GNN_PROCESSED_UPDATED,10,0.9743,0.8822,0.9056,0.8928
Average,Average,0.9842,0.8981,0.9585,0.9146
