model_name,fold_number,accuracy,macro_precision,macro_recall,f1_score_macro_avg
LEGALBERT_GNN_PROCESSED_UCREAT,1,0.8776,0.5918,0.6003,0.5958
LEGALBERT_GNN_PROCESSED_UCREAT,2,0.7021,0.4972,0.5043,0.4760
LEGALBERT_GNN_PROCESSED_UCREAT,3,0.7665,0.5624,0.5666,0.5525
LEGALBERT_GNN_PROCESSED_UCREAT,4,0.8675,0.5778,0.5966,0.5850
LEGALBERT_GNN_PROCESSED_UCREAT,5,0.8842,0.5813,0.6200,0.5992
LEGALBERT_GNN_PROCESSED_UCREAT,6,0.8216,0.5635,0.5686,0.5536
LEGALBERT_GNN_PROCESSED_UCREAT,7,0.8376,0.5616,0.5752,0.5643
LEGALBERT_GNN_PROCESSED_UCREAT,8,0.9466,0.6312,0.6323,0.6317
LEGALBERT_GNN_PROCESSED_UCREAT,9,0.8326,0.5989,0.6440,0.5969
LEGALBERT_GNN_PROCESSED_UCREAT,10,0.8071,0.5406,0.5742,0.5482
Average,Average,0.8343,0.5706,0.5882,0.5703
