model_name,fold_number,accuracy,macro_precision,macro_recall,f1_score_macro_avg
LEGALBERT_GNN_PROCESSED_UCREAT,1,0.9135,0.6173,0.6285,0.6209
LEGALBERT_GNN_PROCESSED_UCREAT,2,0.7668,0.6033,0.5868,0.5827
LEGALBERT_GNN_PROCESSED_UCREAT,3,0.7889,0.6030,0.5633,0.5764
LEGALBERT_GNN_PROCESSED_UCREAT,4,0.9085,0.6064,0.6240,0.6135
LEGALBERT_GNN_PROCESSED_UCREAT,5,0.9175,0.6044,0.6481,0.6238
LEGALBERT_GNN_PROCESSED_UCREAT,6,0.8122,0.5573,0.5625,0.5472
LEGALBERT_GNN_PROCESSED_UCREAT,7,0.8226,0.6033,0.6022,0.5872
LEGALBERT_GNN_PROCESSED_UCREAT,8,0.9783,0.6539,0.6533,0.6534
LEGALBERT_GNN_PROCESSED_UCREAT,9,0.9428,0.6297,0.6343,0.6318
LEGALBERT_GNN_PROCESSED_UCREAT,10,0.7729,0.5762,0.5569,0.5573
Average,Average,0.8624,0.6055,0.6060,0.5994
