model_name,fold_number,accuracy,macro_precision,macro_recall,f1_score_macro_avg
RoBERTa_GNN_RAW_UPDATED,1,0.9684,0.9807,0.8706,0.9142
RoBERTa_GNN_RAW_UPDATED,2,0.9845,0.9310,0.9889,0.9567
RoBERTa_GNN_RAW_UPDATED,3,0.9617,0.8147,0.9601,0.8566
RoBERTa_GNN_RAW_UPDATED,4,0.9826,0.8642,0.9872,0.9083
RoBERTa_GNN_RAW_UPDATED,5,0.9772,0.8990,0.9579,0.9230
RoBERTa_GNN_RAW_UPDATED,6,0.9906,0.9231,0.9223,0.9227
RoBERTa_GNN_RAW_UPDATED,7,0.9957,0.9444,0.9967,0.9681
RoBERTa_GNN_RAW_UPDATED,8,1.0000,1.0000,1.0000,1.0000
RoBERTa_GNN_RAW_UPDATED,9,0.9936,0.8653,0.9137,0.8867
RoBERTa_GNN_RAW_UPDATED,10,0.9743,0.8732,0.9737,0.9110
Average,Average,0.9829,0.9096,0.9571,0.9247
