text,class,events
"Reports of Cases JUDGMENT OF THE COURT (Grand Chamber) 6 November 2018 * (Appeal — State aid — Decision declaring the recovery of State aid incompatible with the internal market to be impossible — Decision finding that there is no State aid — Actions for annulment brought by competitors of beneficiaries of State aid — Admissibility — Regulatory act not entailing implementing measures — Direct concern — Concept of ‘absolute impossibility’ of recovery of State aid incompatible with the internal market — Concept of ‘State aid’ — Concepts of ‘undertaking’ and ‘economic activity’) In Joined Cases C-622/16 P to C-624/16 P, THREE APPEALS under Article 56 of the Statute of the Court of Justice of the European Union, brought on 25 November 2016, Scuola Elementare Maria Montessori Srl, established in Rome (Italy), represented by E. Gambaro and F. Mazzocchi, avvocati, appellant, the other parties to the proceedings being: European Commission, represented by D. Grespan, P. Stancanelli and F. Tomat, acting as Agents, defendant at first instance, Italian Republic, represented by G. Palmieri, acting as Agent, and G. De Bellis and S. Fiorentino, avvocati dello Stato, intervener at first instance (C-622/16 P), European Commission, represented by P. Stancanelli, D. Grespan and F. Tomat, acting as Agents, appellant, the other parties to the proceedings being: Scuola Elementare Maria Montessori Srl, established in Rome, represented by E. Gambaro and F. Mazzocchi, avvocati, applicant at first instance, * Language of the case: Italian.",0,['there be State aid action']
EN ECLI:EU:C:2018:873 1 JUDGMENT OF 6.,0,[]
"8 — JOINED CASES C-622/16 P TO C-624/16 P SCUOLA ELEMENTARE MARIA MONTESSORI V COMMISSION, COMMISSION V SCUOLA ELEMENTARE MARIA MONTESSORI AND COMMISSION V FERRACCI Italian Republic, represented by G. Palmieri, acting as Agent, and G. De Bellis and S. Fiorentino, avvocati dello Stato, intervener at first instance (C-623/16 P), and European Commission, represented by P. Stancanelli, D. Grespan and F. Tomat, acting as Agents, appellant, the other parties to the proceedings being: Pietro Ferracci, residing in San Cesareo (Italy), applicant at first instance, Italian Republic, represented by G. Palmieri, acting as Agent, and G. De Bellis and S. Fiorentino, avvocati dello Stato, intervener at first instance (C-624/16 P), THE COURT (Grand Chamber), composed of K. Lenaerts, President, R. Silva de Lapuerta, Vice-President, J.-C.",0,[]
"Bonichot, A. Arabadjiev, A. Prechal, T. von Danwitz (Rapporteur) and C. Toader, Presidents of Chambers, D. Šváby, M. Berger, C.G.",0,[]
"Fernlund and C. Vajda, Judges, Advocate General: M. Wathelet, Registrar: V. Giacobbo-Peyronnel, Administrator, having regard to the written procedure and further to the hearing on 6 February 2018, after hearing the Opinion of the Advocate General at the sitting on 11 April 2018, gives the following Judgment 1 By their appeals in Cases C-622/16 P and C-623/16 P Scuola Elementare Maria Montessori Srl and the European Commission seek to have set aside the judgment of the General Court of the European Union of 15 September 2016, Scuola Elementare Maria Montessori v Commission (T-220/13, not published, EU:T:2016:484), dismissing as unfounded the action brought by Scuola Elementare Maria Montessori for the annulment of Commission Decision 2013/284/EU of 19 December 2012 on State aid SA.20829 (C 26/2010, ex NN 43/2010 (ex CP 71/2006)) Scheme concerning the municipal real estate tax exemption granted to real estate used by non-commercial entities for specific purposes implemented by Italy (OJ 2013 L 166, p.",0,['<NAME> give judgment']
", ‘the decision at issue’).",0,[]
"By its appeal in Case C-624/16 P the Commission seeks to have set aside the judgment of the General Court of 15 September 2016, Ferracci v Commission (T-219/13, EU:T:2016:485), dismissing as unfounded the action brought by Mr Pietro Ferracci for the annulment of the decision at issue.",0,[]
ECLI:EU:C:2018:873 2 JUDGMENT OF 6.,0,[]
"8 — JOINED CASES C-622/16 P TO C-624/16 P SCUOLA ELEMENTARE MARIA MONTESSORI V COMMISSION, COMMISSION V SCUOLA ELEMENTARE MARIA MONTESSORI AND COMMISSION V FERRACCI Legal context 3 Article 1(d) of Council Regulation (EC) No 659/1999 of 22 March 1999 laying down detailed rules for the application of Article [108 TFEU] (OJ 1999 L 83, p.",0,[]
") defines ‘aid scheme’ as ‘any act on the basis of which, without further implementing measures being required, individual aid awards may be made to undertakings defined within the act in a general and abstract manner and any act on the basis of which aid which is not linked to a specific project may be awarded to one or several undertakings for an indefinite period of time and/or for an indefinite amount’.",0,['aid award make to']
"Article 14(1) of that regulation states: ‘Where negative decisions are taken in cases of unlawful aid, the Commission shall decide that the Member State concerned shall take all necessary measures to recover the aid from the beneficiary (hereinafter referred to as a “recovery decision”).",0,['Member State company take measure']
"The Commission shall not require recovery of the aid if this would be contrary to a general principle of Community law.’ Background to the disputes 5 For the purposes of the present proceedings, the background to the disputes, as set out in paragraphs 1 to 20 of the judgments of the General Court of 15 September 2016, Scuola Elementare Maria Montessori v Commission (T-220/13, not published, EU:T:2016:484), and of 15 September 2016, Ferracci v Commission (T-219/13, EU:T:2016:485), (together ‘the judgments under appeal’) may be summarised as follows.",0,['<ORG> require recovery']
Mr Ferracci is the owner of a tourist bed and breakfast establishment consisting of two bedrooms.,0,[]
Scuola Elementare Maria Montessori is a private educational establishment.,0,[]
"In 2006 and 2007 they brought complaints to the Commission, claiming that, first, the amendment to the scope of the national scheme of the Imposta comunale sugli immobili (municipal tax on real property, ‘ICI’) by the Italian Republic and, second, Article 149(4) of the Testo unico delle imposte sui redditi (single text of taxes on income, ‘the TUIR’) constituted State aid that was not compatible with the internal market.",0,"['they bring company plaint', 'company stitute state aid']"
"The amendment to the scope of ICI aimed essentially to establish that the exemption from that tax enjoyed from 1992 by non-commercial entities carrying on, on their real property, exclusively social assistance, welfare, health care, educational, accommodation, cultural, recreational, sports and religious activities should be understood as also applicable to those activities ‘even if they were of a commercial nature’.",0,[]
Article 149(4) of the TUIR essentially exempted ecclesiastical bodies recognised as legal persons governed by civil law and amateur sports clubs from the application of the criteria laid down in that provision for all other entities for the purpose of determining the loss of the status of non-commercial entity.,0,['article exempt body']
On 12 October 2010 the Commission decided to open the formal investigation procedure under Article 108(2) TFEU concerning the exemption from ICI and Article 149(4) of the TUIR.,0,[]
"On 15 February 2012 the Italian authorities informed the Commission that they intended to adopt new rules on the municipal tax on real property and announced that the exemption from ICI would be replaced as from 1 January 2012 by the exemption under the new rules on the Imposta municipale unica (single municipal tax, ‘IMU’).",0,['authority inform <ORG>']
Those rules were adopted on 19 November 2012.,0,[]
"On 19 December 2012 the Commission adopted the decision at issue, in which it found, first, that the exemption granted under the ICI rules to non-commercial entities carrying on specific activities on their real property constituted State aid that was incompatible with the internal market and had been unlawfully implemented by the Italian Republic, in breach of Article 108(3) TFEU.",0,"['Commission adopt decision', 'exemption stitute state aid']"
"Next, the Commission considered that, in view of the particular circumstances of the case, it would be ECLI:EU:C:2018:873 3 JUDGMENT OF 6.",0,[]
"8 — JOINED CASES C-622/16 P TO C-624/16 P SCUOLA ELEMENTARE MARIA MONTESSORI V COMMISSION, COMMISSION V SCUOLA ELEMENTARE MARIA MONTESSORI AND COMMISSION V FERRACCI absolutely impossible for the Italian Republic to recover the unlawful aid, so that the Commission did not order it to do so in the decision at issue.",0,['Italian Republic recover aid']
"Finally, the Commission found that neither Article 149(4) of the TUIR nor the exemption under the new IMU scheme constituted State aid within the meaning of Article 107(1) TFEU.",0,['number stitute state aid']
"The actions before the General Court and the judgments under appeal By applications lodged with the Registry of the General Court on 16 April 2013, Mr Ferracci and Scuola Elementare Maria Montessori each brought an action for the annulment of the decision at issue, in so far as the Commission had found in that decision that it would be impossible for the Italian authorities to recover the aid considered to be unlawful and incompatible with the internal market (‘the first part of the decision at issue’), that Article 149(4) of the TUIR did not constitute State aid (‘the second part of the decision at issue’), and that the same applied to the new IMU scheme (‘the third part of the decision at issue’).",0,"['<NAME> bring action', 'authority recover part']"
"By documents lodged with the Registry of the General Court on 17 July 2013, the Commission raised objections of inadmissibility, which were joined to the substance by orders of the General Court of 29 October 2014.",0,['<ORG> raise objection']
"In the judgments under appeal the General Court declared both actions admissible under the third limb of the fourth paragraph of Article 263 TFEU, taking the view that the decision at issue was a regulatory act of direct concern to Mr Ferracci and Scuola Elementare Maria Montessori which did not entail implementing measures with respect to them.",0,[]
The General Court dismissed both actions on the substance.,0,['<ORG> dismiss action']
"Procedure before the Court of Justice and forms of order sought By its appeal in Case C-622/16 P, Scuola Elementare Maria Montessori asks the Court to: –  set aside the judgment of the General Court of 15 September 2016, Scuola Elementare Maria Montessori v Commission (T-220/13, not published, EU:T:2016:484), and consequently annul the decision at issue in so far as the Commission decided not to order recovery of the aid granted by means of the exemption from ICI and found that the measures relating to the exemption from IMU did not fall within the scope of Article 107(1) TFEU; –  in any event, set aside those parts of that judgment covered by such grounds of appeal as the Court may find valid and well founded; and –  order the Commission to pay the costs at first instance and on appeal.",0,"['<ORG> ask Court', '<ORG> decide number', '<ORG> find valid']"
"The Commission, supported by the Italian Republic, contends that the Court should: –  dismiss the appeal in its entirety; and –  order the applicant to pay the costs of the present proceedings and those at first instance.",0,['Court dismiss appeal']
"By its appeals in Cases C-623/16 P and C-624/16 P, the Commission, supported by the Italian Republic, asks the Court to: –  set aside the judgments under appeal in so far as the General Court declared the actions at first instance admissible on the basis of the third limb of the fourth paragraph of Article 263 TFEU; ECLI:EU:C:2018:873 4 JUDGMENT OF 6.",0,['<ORG> ask Court']
