text,label,events
"Frucona Košice alleges, essentially, that the General Court merely reviewed whether the analysis carried out by the Commission included manifest errors of assessment and that it failed to ascertain whether that analysis had been made from the point of view of a private creditor.",prem,['analysis include error']
"In particular, it contends, the General Court failed to review whether the available information relating to the duration of a bankruptcy might have influenced the decision-making process of a private creditor and whether the Commission had taken that information into account.",prem,"['information influence decision make process', '<ORG> take information']"
"Instead of carrying out that review, Frucona Košice argues, the General Court justified the failure to examine those factors in the contested decision on the basis of its own reasons.",prem,['<ORG> justify failure']
"Under Article 107(1) TFEU, save as otherwise provided in the Treaties, any aid granted by a Member State or through State resources in any form whatsoever which distorts or threatens to distort competition by favouring certain undertakings or the production of certain goods is, in so far as it affects trade between Member States, incompatible with the internal market.",prem,['it affect trade']
"The concept of aid embraces not only positive benefits, such as subsidies, but also measures which, in various forms, mitigate the charges which are normally included in the budget of an undertaking and which, therefore, without being subsidies in the strict sense of the word, are similar in character and have the same effect (Case C-200/97 Ecotrade [1998] ECR I-7907, paragraph 34, and Case C-6/97 Italy v Commission [1999] ECR I-2981, paragraph 15).",prem,"['company cept embrace benefit', 'which mitigate charge']"
"However, the conditions which a measure must meet in order to be treated as ‘aid’ for the purposes of Article 107 TFEU are not met if the recipient undertaking could, in circumstances which correspond to normal market conditions, have obtained the same advantage as that which has been made available to it through State resources (see, to that effect, judgment of 5 June 2012 in Case C-124/10 P Commission v EDF, paragraph 78 and the case-law cited).",prem,"['recipient obtain advantage', 'which make available', '<ORG> see judgment']"
"That assessment is made when a public creditor grants payment facilities in respect of a debt payable to it by an undertaking, by applying, in principle, the private creditor test.",prem,['creditor grant payment facility']
"That test, where applicable, is among the factors which the Commission is required to take into account for the purposes of establishing whether such aid exists (see, to that effect, Case C-342/96 Spain v Commission [1999] ECR I-2459, paragraph 46; Case C-256/97 DM Transport [1999] ECR I-3913, paragraph 24; and Commission v EDF, paragraphs 78 and 103).",prem,[]
"Such  payment facilities constitute State aid for the purposes of Article 107(1) TFEU where, taking account of the significance of the economic advantage thereby granted, the recipient undertaking would manifestly not have obtained comparable facilities from a private creditor in a situation as close as possible to that of the public creditor and seeking to recover sums due to it by a debtor in financial difficulty  (see, to that effect, Spain v Commission, paragraph 46; DM Transport, paragraph 30, and Commission v EDF, paragraph 79).",prem,"['payment facility stitute state aid', 'recipient undertaking obtain facility']"
"It is therefore for the Commission to carry out an overall assessment, taking into account all relevant evidence in the case enabling it to determine whether the recipient company would manifestly not have obtained comparable facilities from such a private creditor (see, to that effect, Commission v EDF, paragraph 86).",prem,"['<ORG> carry assessment', 'recipient company obtain facility']"
"It is common ground that  the Commission is required to make a complex economic assessment when it examines whether particular measures can be described as State aid because the public authorities did not act in the same way as a private creditor  (see Case C-525/04 P Spain v Lenzing [2007] ECR I-9947, paragraph 59).",prem,[]
"In this connection, it must be observed that, in the context of the review conducted by the European Union Courts on complex economic assessments made by the Commission in the field of State aid, it is not for those Courts to substitute their own economic assessment for that of the Commission (see, to that effect, Case C-290/07 P Commission v Scott [2010] ECR I-7763, paragraphs 64 and 66 and the case-law cited).",prem,"['<ORG> substitute assessment', '<ORG> substitute Case']"
"However,  the European Union Courts must, inter alia, establish not only whether the evidence relied on is factually accurate, reliable and consistent but also whether that evidence contains all the relevant information which must be taken into account in order to assess a complex situation and whether it is capable of substantiating the conclusions drawn from it (Case C-12/03 P Commission v Tetra Laval [2005] ECR I-987, paragraph 39, and Commission v Scott, paragraph 65).",prem,"['<ORG> establish number', '<ORG> establish Case', 'evidence company tain information']"
"It follows from the foregoing that, having regard to the arguments put forward by Frucona Košice at first instance, the General Court had to establish, inter alia, whether the available information relating to the duration of a bankruptcy was relevant in the present case for the purposes of an assessment from the point of view of the private creditor test and, if so, whether the Commission took account of it.",prem,['<ORG> take account']
"In that regard, all information liable to have a significant influence on the decision-making process of a normally prudent and diligent private creditor, in a situation as close as possible to that of the public creditor and seeking to recover sums due to it by a debtor experiencing difficulty in making the payments, must be regarded as being relevant.",prem,[]
"In the present case, it is common ground that, for the purposes of recovering the sums owed to it, a normally prudent and diligent private creditor in a situation as close as possible to that of the local Tax Office would have had to make the choice, inter alia, between the proposed arrangement and the bankruptcy of Frucona Košice.",prem,[]
"It follows that, in order to identify the more advantageous alternative, such a creditor would have had to weigh up the advantages and disadvantages of each of those procedures.",prem,[]
"As Frucona Košice correctly argues, however, since the duration of the abovementioned procedures postponed the recovery of the sums due and might thus have affected, in the case of lengthy procedures, inter alia, their value, this is clearly a factor which is liable to have a significant influence on the decision-making process of a normally prudent and diligent private creditor in a situation as close as possible to that of the local Tax Office.",prem,['duration postpone recovery']
"Consequently, the onus was on the General Court to establish whether the Commission had taken into account, in its assessment of the private creditor test, the available information relating to, inter alia, the duration of a bankruptcy procedure.",prem,['<ORG> take information']
"In this connection, it is apparent from paragraph 123 of the judgment under appeal, cited in paragraph 35 above, that the General Court found that the Commission had indicated, in recital 54 of the contested decision, the position of the Slovak Republic as regards the duration of such a procedure, and that it referred, in recital 40 of that decision, to that of Frucona Košice.",prem,['<ORG> indicate position']
From this it concluded that the Commission had not ‘ignored that question’.,prem,['<ORG> ignore question']
"However, first, the recitals to which the General Court referred are included, as Frucona Košice has correctly pointed out, in Titles IV and V of the contested decision, which summarise the observations of the interested parties and of the Slovak Republic, and not in Title VI, which contains the Commission’s assessment.",prem,"['which summarise observation', 'company tain <ORG>']"
"Next, as has been observed in paragraph 82 of this judgment, the onus was on the General Court to establish, not whether the Commission had or had not ignored the available information relating to the duration of a bankruptcy procedure, but whether it had taken that information into account in its assessment of the private creditor test.",prem,['it take information']
"It follows that the General Court ought to have established whether the Commission had devoted part of its reasoning reproduced under Title VI of the contested decision, and in particular under Section 2.1 thereof, relating to the comparison of the arrangement and the bankruptcy, to the duration of a bankruptcy procedure.",prem,['<ORG> devote part']
"It is, however, not apparent from the judgment under appeal that any such examination was carried out.",prem,[]
