text,label,events
"First, it must be recalled that, according to the Court’s settled case-law, classification of a national measure as ‘State aid’, within the meaning of Article 107(1) TFEU, requires all the following conditions to be fulfilled.",prem,[]
"First, there must be an intervention by the State or through State resources.",prem,[]
"Second, the intervention must be liable to affect trade between the Member States.",prem,[]
"Third, it must confer a selective advantage on the recipient.",prem,['it fer advantage']
"Fourth, it must distort or threaten to distort competition (see, inter alia, judgment of 16 July 2015, BVVG, C‑39/14, EU:C:2015:470, paragraph 24).",prem,[]
"So far as concerns the condition relating to the selectivity of the advantage, which is a constituent factor in the concept of ‘State aid’, within the meaning of Article 107(1) TFEU, it is clear from equally settled case-law of the Court that  the assessment of that condition requires a determination whether, under a particular legal regime, a national measure is such as to favour ‘certain undertakings or the production of certain goods’ over other undertakings which, in the light of the objective pursued by that regime, are in a comparable factual and legal situation and who accordingly suffer different treatment that can, in essence, be classified as discriminatory  (see, inter alia, judgments of 28 July 2011, Mediaset v Commission, C‑403/10 P, not published, EU:C:2011:533, paragraph 36; of 15 November 2011, Commission and Spain v Government of Gibraltar and United Kingdom, C‑106/09 P and C‑107/09 P, EU:C:2011:732, paragraphs 75 and 101; and of 14 January 2015, Eventech, C‑518/13, EU:C:2015:9, paragraphs 53 to 55; and of 4 June 2015, Commission v MOL, C‑15/14 P, EU:C:2015:362, paragraph 59).",prem,"['company cern company dition', 'assessment require determination', 'who suffer treatment']"
"Further, where the measure at issue is conceived as an aid scheme and not as individual aid, it is for the Commission to establish that that measure, although it confers an advantage of general application, confers the benefit of that advantage exclusively on certain undertakings or certain sectors of activity (see, to that effect, inter alia, judgment of 30 June 2016, Belgium v Commission, C‑270/15 P, EU:C:2016:489, paragraphs 49 and 50).",prem,"['it fer advantage', 'company fer benefit']"
"As regards, in particular,  national measures that confer a tax advantage, it must be recalled that a measure of that nature which, although not involving the transfer of State resources, places the recipients in a more favourable position than other taxpayers is capable of procuring a selective advantage for the recipients and, consequently, of constituting State aid, within the meaning of Article 107(1) TFEU.",prem,"['company fer tax advantage', 'number involve transfer', 'which place recipient', 'company stitute <ORG>']"
"On the other hand, a tax advantage resulting from a general measure applicable without distinction to all economic operators does not constitute such aid  (see to that effect, inter alia, judgment of 18 July 2013, P,C‑6/12, EU:C:2013:525, paragraph 18).",prem,"['tax advantage stitute aid', 'company stitute aid']"
"In that context, in order to classify a national tax measure as ‘selective’, the Commission must begin by identifying the ordinary or ‘normal’ tax system applicable in the Member State concerned, and thereafter demonstrate that the tax measure at issue is a derogation from that ordinary system, in so far as it differentiates between operators who, in the light of the objective pursued by that ordinary tax system, are in a comparable factual and legal situation (see to that effect, inter alia, judgment of 8 September 2011, Paint Graphos and Others, C‑78/08 to C‑80/08, EU:C:2011:550, paragraph 49).",prem,[]
