text,label,events
"Under the fourth paragraph of Article 263 TFEU, any natural or legal person may, under the conditions laid down in the first and second paragraphs of that article, institute proceedings against an act addressed to that person or which is of direct and individual concern to them, and against a regulatory act which is of direct concern to them and does not entail implementing measures.",prem,['person institute proceeding']
"In the present case, first, it is common ground that, as the General Court observed in paragraph 57 of the judgment under appeal, the contested decision is addressed solely to the Federal Republic of Germany.",prem,[]
"Moreover, as is apparent from paragraphs 58 to 79 of that judgment, whereas HBH was directly and individually concerned by that decision, and thus by virtue of the second situation referred to in that provision, the General Court held that HBH had locus standi.",prem,['<ORG> have standi']
"By the first part of its single ground of appeal, the Commission submits, in essence, that, in paragraphs 62, 63, 70 and 74 to 77 of the judgment under appeal, the General Court erred in law in assessing the condition of admissibility of HBH’s action in the light of the latter’s factual and legal situation, whereas the only relevant criterion was whether it was an actual or potential recipient of the aid scheme in question.",prem,[]
"According to the settled case-law of the Court, persons other than those to whom a decision is addressed may claim to be individually concerned only if the decision affects them by reason of certain attributes peculiar to them or by reason of circumstances in which they are differentiated from all other persons and if, by virtue of those factors, it distinguishes them individually in the same way as the person addressed (judgments of 15 July 1963, Plaumann v Commission, 25/62, EU:C:1963:17, p. 107, and of 27 February 2014, Stichting Woonpunt and Others v Commission, C‑132/12 P, EU:C:2014:100, paragraph 57).",prem,"['decision affect they', 'it distinguish they']"
"The possibility of determining more or less precisely the number, or even the identity, of the persons to whom a measure applies by no means implies that it must be regarded as being of individual concern to them as long as that measure is applied by virtue of an objective legal or factual situation defined by it (judgments of 16 March 1978, Unicme and Others v Council, 123/77, EU:C:1978:73, paragraph 16, and of 19 December 2013, Telefónica v Commission, C‑274/12 P, EU:C:2013:852, paragraph 47 and the case-law cited).",prem,[]
"Thus, the Court stated that an undertaking cannot, as a general rule, contest a decision of the Commission which prohibits a sectoral aid scheme if it is concerned by that decision solely by virtue of belonging to the sector in question and being a potential beneficiary of the scheme.",prem,['which prohibit aid scheme']
"Such a decision is, vis-à-vis such an undertaking, a measure of general application covering situations which are determined objectively and entails legal effects for a class of persons envisaged in a general and abstract manner (see judgments of 19 October 2000, Italy and Sardegna Lines v Commission, C‑15/98 and C‑105/99, EU:C:2000:570, paragraph 33 and the case-law cited, and of 19 December 2013, Telefónica v Commission, C‑274/12 P, EU:C:2013:852, paragraph 49).",prem,[]
"In contrast, where the decision affects a group of persons who were identified or identifiable when that measure was adopted by reason of criteria specific to the members of the group, those persons might be individually concerned by that measure inasmuch as they form part of a limited class of traders (judgments of 13 March 2008, Commission v Infront WM, C‑125/06 P, EU:C:2008:159, paragraph 71 and the case-law cited, and of 27 February 2014, Stichting Woonpunt and Others v Commission, C‑132/12 P, EU:C:2014:100, paragraph 59).",prem,"['decision affect group', 'they form part']"
"Thus, the actual recipients of individual aid granted under an aid scheme of which the Commission has ordered the recovery are, accordingly, individually concerned within the meaning of the fourth paragraph of Article 263 TFEU (see, to that effect, judgment of 19 October 2000, Italy and Sardegna Lines v Commission, C‑15/98 and C‑105/99, EU:C:2000:570, paragraphs 34 and 35; see, also, judgment of 9 June 2011, Comitato Venezia vuole vivere and Others v Commission, C‑71/09 P, C‑73/09 P and C‑76/09 P, EU:C:2011:368, paragraph 53).",prem,"['<ORG> order recovery', 'Italy see judgment', 'Italy see p']"
"Admittedly, as argued by the Commission, it follows from that case-law that the Court, on the one hand, acknowledges that the actual recipients of individual aid granted under an aid scheme incompatible with the internal market are individually concerned by a Commission decision declaring that scheme incompatible with the internal market and ordering its recovery, and, on the other hand, precludes an applicant from being regarded as individually concerned merely because it is a potential beneficiary of the scheme.",prem,[]
"However, it cannot be inferred, as the Commission claims, that, where a Commission decision declaring an aid scheme incompatible with the internal market is at issue, the only relevant criterion for the purpose of determining whether an applicant is individually concerned, within the meaning of the fourth paragraph of Article 263 TFEU, by such a decision, is whether the applicant is an actual or potential recipient of aid granted under the scheme.",prem,[]
"As also noted, in essence, by the Advocate General in points 57, 59, 67 and 68 of his Opinion, the case-law cited in paragraphs 43 and 45 of the present judgment, in the specific context of State aid, is merely a specific expression of the relevant legal test for assessing individual concern, within the meaning of the fourth paragraph of Article 263 TFEU, stemming from the judgment of 15 July 1963, Plaumann v Commission (25/62, EU:C:1963:17).",prem,[]
