text,label,events
Both Italy and Wam contest the admissibility of the appeal.,prem,['Italy test admissibility']
Italy argues that the Commission’s contention that the judgment of the Court of First Instance is inconsistent with the case-law of the Court of Justice is a ground of appeal which does not relate to a point of law.,prem,[]
"In that respect, it should be borne in mind that, pursuant to Article 58 of the Statute of the Court of Justice, an appeal to the Court of Justice is to be limited to points of law and is to lie on grounds, in particular, of infringement of Community law by the Court of First Instance.",prem,[]
"As the Advocate General states in point 20 of her Opinion, the Commission’s appeal is based, precisely, upon the allegation that the Court of First Instance has infringed Community law by failing to follow and apply the interpretation of Articles 87 EC and 253 EC laid down in the case-law of the Court of Justice.",prem,['<ORG> infringe Community law']
It follows that the Italian Republic’s argument that the appeal is not based on a point of law must be rejected.,prem,[]
"Regarding Wam’s argument that the Commission’s appeal invites the Court of Justice, first, to review the substance of the judgment under appeal rather than being limited to a review of an ‘essential procedural requirement’ as laid down in Article 230 EC, and, second, to carry out a review of the substance over which the Court of Justice has no jurisdiction at the appeal stage, it should be noted that Article 230 EC gives the Court of Justice jurisdiction to review acts of Community institutions other than the Court of First Instance.",prem,"['<ORG> invite <ORG>', '<ORG> have number jurisdiction', 'EC give <ORG>', 'EC give jurisdiction']"
"Appeals against the judgments of the Court of First Instance are governed, however, by the terms of Article 225(1) EC and the Statute of the Court of Justice.",prem,[]
"Next, it must be noted that the obligation to provide a statement of reasons is an essential procedural requirement which must be distinguished from the question whether the reasoning is well founded, the latter being concerned with the substantive legality of the measure at issue (see to that effect, Case C‑310/99 Italy v Commission [2002] ECR I‑2289, paragraph 48).",prem,[]
"Since the objective of the Commission’s single ground of appeal is precisely to contest the legal analysis of the obligation of the Court of First Instance to provide a statement of reasons, the Commission cannot be criticised for inviting the Court of Justice to re-examine the substance of the contested decision.",prem,[]
It follows that Wam’s argument concerning the admissibility of the Commission’s single ground of appeal must be dismissed.,prem,[]
"According to settled case-law, the statement of reasons required by Article 253 EC must be appropriate to the measure at issue and must disclose in a clear and unequivocal fashion the reasoning followed by the institution which adopted that measure in such a way as to enable the persons concerned to ascertain the reasons for it and to enable the Court to carry out its review.",prem,['which adopt measure']
"It is not necessary for the reasoning to go into all the relevant facts and points of law, since the question whether the statement of reasons meets the requirements of Article 253 EC must be assessed with regard not only to its wording but also to its context and to all the legal rules governing the matter in question (Case C‑88/03 Portugal v Commission [2006] ECR I‑7115, paragraph 88 and the case-law cited).",prem,['statement meet requirement']
"Applied to the classification of a measure as aid, that principle requires a statement of the reasons for which the Commission considers that the measure concerned falls within the scope of Article 87(1) EC.",prem,['principle require statement']
"In that regard, even in cases where it is apparent from the circumstances under which it was granted that the aid is liable to affect trade between Member States and to distort or threaten to distort competition, the Commission must at least set out those circumstances in the statement of reasons for its decision (see Portugal v Commission , paragraph 89 and the case-law cited).",prem,['<ORG> set circumstance']
"In that context, it should be noted that, also according to settled case-law, for the purpose of categorising a national measure as State aid, it is not necessary to demonstrate that the aid has a real effect on trade between Member States and that competition is actually being distorted, but only to examine whether that aid is liable to affect such trade and distort competition (Case C-222/04 Cassa di Risparmio di Firenze and Others [2006] ECR I‑289, paragraph 140 and the case-law cited).",prem,['aid have effect']
"With regard more specifically to the condition that trade between Member States be affected, it follows from the case-law that the grant of aid by a Member State, in the form of a tax relief, to some of its taxable persons must be regarded as likely to have an effect on trade and, consequently, as meeting that condition, where those taxable persons perform an economic activity in the field of such trade or it is conceivable that they are in competition with operators established in other Member States  (see Portugal v Commission , paragraph 91, and Case C‑172/03 Heiser [2005] ECR I‑1627, paragraph 35).",prem,['person perform activity']
