text,label,events
"With regard to the first part of the first ground of appeal, it should be recalled, in the first place, as regards the argument that the General Court distorted the facts, that it follows from the second subparagraph of Article 256(1) TFEU and the first paragraph of Article 58 of the Statute of the Court of Justice of the European Union that the General Court has exclusive jurisdiction, first, to find the facts, except where the substantive inaccuracy of its findings is apparent from the documents in the file submitted to it, and, second, to assess those facts (judgments in General Motors v Commission, C‑551/03 P, EU:C:2006:229, paragraph 51, and ThyssenKrupp Nirosta v Commission, C‑352/09 P, EU:C:2011:191, paragraph 179).",prem,['<ORG> distort fact']
"Therefore, the appraisal of the facts by the General Court does not constitute, save where the clear sense of the evidence produced before it is distorted, a question of law which is subject, as such, to review by the Court of Justice (judgments in Archer Daniels Midland and Archer Daniels Midland Ingredients v Commission, C‑397/03 P, EU:C:2006:328, paragraph 85, and ThyssenKrupp Nirosta v Commission, C‑352/09 P, EU:C:2011:191, paragraph 180).",prem,[]
"Where an appellant alleges distortion of the evidence by the General Court, he must, under Article 256 TFEU, the first paragraph of Article 58 of the Statute of the Court of Justice of the European Union and Article 168(1)(d) of the Rules of Procedure of the Court, indicate precisely the evidence alleged to have been distorted by the General Court and show the errors of appraisal which, in his view, led to such distortion.",prem,"['appellant allege distortion', 'he indicate evidence']"
"In addition, it is settled case-law of the Court that distortion must be obvious from the documents in the Court’s file, without there being any need to carry out a new assessment of the facts and the evidence (judgments in Lafarge v Commission, C‑413/08 P, EU:C:2010:346, paragraph 16 and the case-law cited, and Austria v Scheucher-Fleisch and Others, C‑47/10 P, EU:C:2011:698, paragraph 59 and the case-law cited).",prem,['it settle case law']
"In the present case, the General Court found as follows in paragraphs 122 to 128 and 130 to 132 of the judgment under appeal:",prem,[]
"The Commission recalled in the contested decision, that the Court had already held in the judgment in Freskot [(C‑355/00, EU:C:2003:298)] that “the national legislation at issue clearly establishe[d] that the benefits provided by ELGA [were] granted through State resources and [were] imputable to the State within the meaning of the Court’s case-law (see, in particular, France v Commission, [C‑482/99, EU:C:2002:294], paragraph 24)” (recital 58).",prem,[]
"The Commission found that:

“... under Article 5(a) of Law … 1790/1988 ... and other provisions of Greek legislation in force, ELGA’s income from the special contribution was collected by the tax authorities, entered in the State budget as State revenue and paid to ELGA from the budget of the Ministry of Agriculture (now the Ministry of Rural Development and Food).",prem,[]
"Consequently, the fact that the contributions in question are entered into the accounts as State revenue is sufficient to consider that the payments made by ELGA were financed by State resources” (recital 58).",prem,[]
"Those findings, which are not disputed by the Hellenic Republic, suffice to conclude that the compensation payments that correspond to the contributions by farmers are State resources and are imputable to the State.",prem,[]
"Therefore, contrary to what the Hellenic Republic claims, the part of the payments corresponding to the contributions by farmers may not be regarded as being private funds.",prem,[]
