text,label,events
"As regards the admissibility of the arguments and evidence submitted in support of the part of the single ground of appeal under consideration – that admissibility being contested by the Commission on the ground that the arguments advanced in support of the appellant’s claims concerning the determination of the reference framework are new arguments – it should be borne in mind that, under Article 170(1) of the Rules of Procedure of the Court of Justice, the subject matter of the proceedings before the General Court may not be changed in the appeal.",prem,['company cerne determination']
"Thus, according to settled case-law, the jurisdiction of the Court of Justice in an appeal is limited to review of the findings of law on the pleas and arguments debated before the General Court.",prem,[]
"A party cannot, therefore, put forward for the first time before the Court of Justice a plea in law which it has not raised before the General Court since that would allow that party to bring before the Court of Justice, whose jurisdiction in appeal proceedings is limited, a wider case than that heard by the General Court (judgment of 29 July 2019, Bayerische Motoren Werke and Freistaat Sachsen v Commission, C‑654/17 P, EU:C:2019:634, paragraph 69 and the case-law cited).",prem,"['party not put plea', 'party not put case law', 'party bring case']"
"That said, an appellant is entitled to lodge an appeal relying, before the Court of Justice, on grounds and arguments which arise from the judgment under appeal itself and seek to criticise, in law, its correctness (judgments of 29 November 2007, Stadtwerke Schwäbisch Hall and Others v Commission, C‑176/06 P, not published, EU:C:2007:730, paragraph 17, and of 4 March 2021, Commission v Fútbol Club Barcelona, C‑362/19 P, EU:C:2021:169, paragraph 47).",prem,[]
"In the present case, it is apparent from paragraphs 82 to 131 of the judgment under appeal that the General Court examined whether the Commission had correctly identified the reference tax regime in the context of the first stage of the analysis of selectivity.",prem,['<ORG> identify reference tax regime']
"In those circumstances, the appellant is entitled to challenge, on appeal, the grounds of the judgment under appeal relating to that first stage, notwithstanding the fact that it did not put forward at first instance arguments specifically aimed at challenging the decision at issue on that point.",prem,"['number withstand fact', 'it put argument']"
"Furthermore, as the Advocate General observed in point 35 of his Opinion in Joined Cases World Duty Free Group and Spain v Commission (C‑51/19 P and C‑64/19 P, EU:C:2021:51), it is clear that the appellant’s arguments include a detailed and specific criticism of the grounds of the judgment under appeal and seek, to a large extent, to challenge the observance by the General Court of the limits and the detailed rules governing the exercise of its review, and could not, in any event, have been raised before it.",prem,['appellant argument include criticism']
"The determination of the reference framework is of particular importance in the case of tax measures, since the existence of an economic advantage for the purposes of Article 107(1) TFEU may be established only when compared with ‘normal’ taxation.",prem,[]
"Thus, determination of the set of undertakings which are in a comparable factual and legal situation depends on the prior definition of the legal regime in the light of whose objective it is necessary, where applicable, to examine whether the factual and legal situation of the undertakings favoured by the measure in question is comparable with that of those which are not (judgments of 21 December 2016, Commission v Hansestadt Lübeck, C‑524/14 P, EU:C:2016:971, paragraphs 55 and 60, and of 28 June 2018, Andres (insolvency of Heitkamp BauHolding) v Commission, C‑203/16 P, EU:C:2018:505, paragraphs 88 and 89).",prem,[]
"For the purposes of assessing the selective nature of a tax measure of general application, it is, therefore, necessary that the common tax regime or the reference system applicable in the Member State concerned be correctly identified in the Commission decision and examined by the court hearing a dispute concerning that identification.",prem,[]
"Since the determination of the reference system constitutes the starting point for the comparative examination to be carried out in the context of the assessment of the selectivity of an aid scheme, an error made in that determination necessarily vitiates the whole of the analysis of the condition relating to selectivity (see, to that effect, judgments of 28 June 2018, Andres (insolvency of Heitkamp BauHolding) v Commission, C‑203/16 P, EU:C:2018:505, paragraph 107, and of 16 March 2021, Commission v Poland, C‑562/19 P, EU:C:2021:201, paragraph 46).",prem,"['determination stitute point', 'error vitiate whole']"
"In that context, it must be stated, as a preliminary point, that the determination of the reference framework, which must be carried out following an exchange of arguments with the Member State concerned, must follow from an objective examination of the content, the structure and the specific effects of the applicable rules under the national law of that State.",prem,[]
"In that regard, the selectivity of a tax measure cannot be assessed on the basis of a reference framework consisting of some provisions of the national law of the Member State concerned that have been artificially taken from a broader legislative framework (judgment of 28 June 2018, Andres (insolvency of Heitkamp BauHolding) v Commission, C‑203/16 P, EU:C:2018:505, paragraph 103).",prem,[]
"Consequently, as the Advocate General observed, in essence, in point 49 of his Opinion in Joined Cases World Duty Free Group and Spain v Commission (C‑51/19 P and C‑64/19 P, EU:C:2021:51), where the tax measure in question is inseparable from the general tax system of the Member State concerned, reference must be made to that system.",prem,[]
"On the other hand, where it appears that such a measure is clearly severable from that general system, it cannot be ruled out that the reference framework to be taken into account may be more limited than that general system, or even that it may equate to the measure itself, where the latter appears as a rule having its own legal logic and it is not possible to identify a consistent body of rules external to that measure.",prem,[]
"Next, since outside the spheres in which EU tax law has been harmonised, it is the Member State concerned which defines, by exercising its exclusive competence in the matter of direct taxation, the characteristics constituting the tax, the determination of the reference system or the ‘normal’ tax regime, from which it is necessary to analyse the condition relating to selectivity, must take account of those characteristics (see, to that effect, judgment of 16 March 2021, Commission v Poland, C‑562/19 P, EU:C:2021:201, paragraphs 38 and 39).",prem,['characteristic company take account']
"It must also be borne in mind that, in so far as the determination of the reference framework must be based on an objective examination of the content and structure of the applicable rules under national law, it is not necessary, during that first stage of the examination of selectivity, to take account of the objectives pursued by the legislature when adopting the measure under examination.",prem,[]
"In that regard, the Court has held on numerous occasions that the objective pursued by measures of State intervention is not sufficient to exclude those measures outright from classification as ‘aid’ for the purposes of Article 107 TFEU, since that provision does not distinguish between measures of State intervention by reference to their causes or their aims but defines them in relation to their effects (see, to that effect, judgments of 22 December 2008, British Aggregates v Commission, C‑487/06 P, EU:C:2008:757, paragraphs 84 and 85, and of 21 December 2016, Commission v Hansestadt Lübeck, C‑524/14 P, EU:C:2016:971, paragraph 48).",prem,[]
"Lastly, the rules which must make up the reference system should be identified according to objective criteria, in particular to enable judicial review of the assessments on which that identification is based.",prem,['which make reference system']
"It is for the Commission to take into account any factors put forward by the Member State concerned and, more generally, to carry out its examination in a rigorous and sufficiently reasoned manner in order to enable full judicial review.",prem,['<ORG> take factor']
It is in the light of those considerations that the Court must assess the merits of the appellant’s arguments relating to the determination of the reference system as the first stage and necessary premiss for the analysis of selectivity.,prem,['<ORG> assess merit']
"As is apparent from paragraphs 32 to 35 above, the appellant submits, in essence, that the General Court erred in law, first, by substituting the grounds of the decision at issue as regards the definition of the reference system adopted, secondly, by excluding the measure at issue from being regarded on its own as an autonomous reference system and by substituting grounds in that regard and, thirdly, by defining that system in an arbitrary manner.",prem,[]
It is appropriate to examine those three complaints in turn.,prem,[]
"The appellant, by the first complaint in the first part of its single ground of appeal, submits that the General Court erred in law in determining the reference system by substituting its own reference system for that used by the Commission in the decision at issue.",prem,[]
"While the Commission had designated the rules relating to the tax treatment of financial goodwill as constituting the reference system, the General Court, relying on a substantially different analysis, also included in that system the tax treatment of ‘non-financial’ goodwill.",prem,"['<ORG> designate rule', '<ORG> include tax treatment']"
The appellant refers in particular to paragraphs 82 and 130 of the judgment under appeal.,prem,[]
"In that regard, the Court of Justice points out that, in reviewing the legality of acts under Article 263 TFEU, the Court of Justice and the General Court have jurisdiction in actions brought on grounds of lack of competence, infringement of an essential procedural requirement, infringement of the Treaty or of any rule of law relating to its application, or misuse of powers.",prem,['<ORG> have jurisdiction']
"Article 264 TFEU provides that if the action is well founded, the act concerned must be declared void.",prem,['act company declare void']
"The Court of Justice and the General Court cannot, therefore, under any circumstances, substitute their own reasoning for that of the author of the contested act (judgments of 27 January 2000, DIR International Film and Others v Commission, C‑164/98 P, EU:C:2000:48, paragraph 38, and of 4 June 2020, Hungary v Commission, C‑456/18 P, EU:C:2020:421, paragraph 70 and the case-law cited).",prem,['<ORG> not substitute reasoning']
"Nonetheless, except where there is no material factor to justify that course of action, the General Court may be led, in proceedings for annulment, to interpret the reasoning of the contested measure in a manner which differs from that of its author, and even, in certain circumstances, to reject the latter’s formal statement of reasons (see, to that effect, judgments of 27 January 2000, DIR International Film and Others v Commission, C‑164/98 P, EU:C:2000:48, paragraph 42, and of 22 December 2008, British Aggregates v Commission, C‑487/06 P, EU:C:2008:757, paragraph 142).",prem,['there be number material factor']
"In the present case, as is apparent from paragraphs 57, 82, 113 and 130 of the judgment under appeal, the General Court found that the Commission had used the tax treatment of ‘goodwill’ as the reference system, for the purposes of its assessment of the selectivity of the measure at issue.",prem,['<ORG> use tax treatment']
"In particular, the General Court noted, in paragraph 82 of the judgment under appeal, that the Commission ‘[had] not limit[ed] that framework to the tax treatment of financial goodwill only’.",prem,['<ORG> limit framework']
"As the appellant has rightly pointed out, the Commission had stated, in recital 118 of the decision at issue, that the appropriate framework for the assessment of the measure at issue was constituted by the rules on the tax treatment of ‘financial goodwill’.",prem,[]
"However, although the terminology used in the judgment under appeal does indeed differ from that of the decision at issue, it cannot be concluded that the General Court thereby identified a reference system that was substantively different from that identified by the Commission or that it relied on a different reasoning from that of the Commission in the decision at issue in order to find that the tax treatment of goodwill constituted the relevant reference system in the present case.",prem,"['<ORG> identify reference system', 'tax treatment stitute reference system']"
"As the Commission contends, in the circumstances of the present case, the treatment of goodwill may be fully assimilated to the treatment of financial goodwill.",prem,[]
"In that regard, as the General Court noted in paragraph 57 of the judgment under appeal, the Commission expressly ruled out, in the decision at issue – in response inter alia to the arguments put forward by the Spanish authorities regarding the identification of the reference system – the limitation of that system to the tax treatment of goodwill resulting from the acquisition of a shareholding in a company established in a country other than Spain.",prem,[]
"The General Court thus emphasised that, as is clear from recital 118 of the decision at issue, the Commission had considered that the relevant reference framework or system was the general Spanish corporate tax system and, more precisely, the rules on the tax treatment of financial goodwill in the Spanish tax system, and that the Commission thus confirmed the reference system adopted in the decision of 28 October 2009.",prem,['<ORG> firm reference system']
"However, in recital 89 of that decision, the Commission had stated that the measure at issue had to be assessed in the light of the general provisions of the corporate tax system as applicable to situations in which the emergence of goodwill leads to a fiscal benefit.",prem,[]
"The Commission clarified, in that decision, that its position could be explained by the finding that the situations in which financial goodwill can be amortised do not cover the whole category of taxpayers placed in a similar factual or legal situation.",prem,['situation number category']
"In that context, it should be noted that, as is apparent from paragraph 58 of the judgment under appeal, for the purposes of identifying the reference system, the General Court relied, inter alia, on the Commission’s findings in recitals 28, 29, 123 and 124 of the decision at issue, according to which the reference system provided for the amortisation of goodwill only in the event of a business combination, with the result that, by allowing the goodwill that would have been booked, if the businesses had combined, to appear even in the absence of a business combination, the measure at issue constituted an exception to that reference system.",prem,['company stitute exception']
"In addition, referring also to recital 124 of the decision at issue, the General Court additionally relied on the Commission’s findings that, since the amortisation of goodwill deriving from the simple acquisition of shareholdings was allowed only in the case of cross-border shareholding acquisitions and not in the case of the acquisition of domestic shareholdings, the measure at issue thereby introduced a difference in treatment between domestic transactions and cross-border transactions, with the result that it could not be considered a new general rule in its own right.",prem,['measure introduce difference']
"It is clear from those passages of the decision at issue, to which the judgment under appeal relates, that, as the General Court held, when the Commission designated the ‘rules on the tax treatment of financial goodwill’ as the reference system, it intended to refer not only to the rules specifically applicable to the amortisation of goodwill in the event of the acquisition of shareholdings, but also to the rules of the general Spanish corporate tax system governing the amortisation of goodwill in general, since those general rules do indeed provide a relevant assessment framework for those more specific rules.",prem,"['<ORG> designate rule', 'rule provide assessment framework']"
"It follows that, in paragraphs 57, 82, 113 and 130 of the judgment under appeal, the General Court confined itself to interpreting the decision at issue as regards the definition of the reference system in a manner consistent with the particulars of that decision and did not, therefore, substitute the grounds of that decision within the meaning of the case-law referred to in paragraph 53 of the present judgment.",prem,['<ORG> fine itself']
"Accordingly, the General Court did not err in law in determining the reference system.",prem,['<ORG> do number']
"The first complaint in the first part of the single ground of appeal must, therefore, be rejected as unfounded.",prem,[]
The appellant complains that the General Court substituted its own reasoning for that of the decision at issue in ruling out the possibility that the measure at issue might constitute a reference system in its own right.,prem,"['<ORG> substitute reasoning', 'measure stitute reference system']"
"In essence, although the Commission had in that decision dismissed the possibility of there being an autonomous reference system constituted by the measure at issue solely because of the alleged absence of legal obstacles to cross-border mergers, the General Court is argued to have relied on a different argument in paragraphs 117 to 130 of the judgment under appeal.",prem,['<ORG> dismiss possibility']
