text,label,events
"Under the fourth paragraph of Article 230 EC, a natural or legal person may institute proceedings against a decision addressed to another person only if that decision is of direct and individual concern to the former.",prem,"['person may institute proceeding', ' address person']"
"In relation to the first condition set out therein, it is settled case-law that, for a person to be directly concerned by a Community measure, that measure must directly affect the legal situation of the individual and leave no discretion to its addressees who are entrusted with the task of implementing it, such implementation being purely automatic and resulting from Community rules without the application of other intermediate rules (Case C‑386/96 P Dreyfus v Commission [1998] ECR I‑2309, paragraph 43 and the case‑law cited).",prem,"['it be settle law', 'person to be cerne measure', 'measure must affect situation', 'measure leave discretion', 'measure leave addressee', 'who be entrust task', ' implement it', 'implementation result rule']"
"In the present case, as the Court of First Instance held in paragraph 94 of the judgment under appeal, it is clear from Article 2 of the contested decision that the Netherlands Authorities were obliged, without having any discretion whatsoever in the matter, to reject any pending request for first GFA authorisation, as the undertakings which were not beneficiaries of the GFA scheme at the time of the 11 July 2001 decision could not benefit from the transitional scheme.",prem,"['court hold paragraph', 'authorities be oblige ', ' have discretion', ' to reject request']"
"In those circumstances, the Court of First Instance was correct to hold that the contested decision affected KFC directly.",prem,['decision affect kfc']
"As regards the second condition set out in Article 230 EC, it should be borne in mind that the fact that  a disputed provision is, by its nature and scope, a provision of general application inasmuch as it applies to the traders concerned in general, does not of itself prevent it being of individual concern to some  ( Belgium and Forum 187 v Commission , paragraph 58 and the case‑law cited).",prem,"[' regard dition', ' set ec', 'it should be bear mind', 'it apply trader', 'fact do prevent ', 'number do prevent ']"
"However,  natural or legal persons may claim that a contested provision is of individual concern to them only if it affects them by reason of certain attributes which are peculiar to them or by reason of circumstances in which they are differentiated from all other persons  ( Belgium and Forum 187 v Commission , paragraph 59).",prem,"['person may claim ', 'it affect they', 'it affect reason', 'they be differentiate person']"
"An undertaking cannot, in principle, contest a Commission decision prohibiting a sectoral aid scheme if it is concerned by that decision solely by virtue of belonging to the sector in question and being a potential beneficiary of the scheme.",prem,"['undertaking can not test decision', ' prohibit scheme', ' belong sector']"
"Such a decision is, vis-à-vis that undertaking, a measure of general application covering situations which are determined objectively and entails legal effects for a class of persons envisaged in a general and abstract manner (Joined Cases 67/85, 68/85 and 70/85 Kwekeriij van der Kooy and Others v Commission [1988] ECR 219, paragraph 15; Case C‑6/92 Federmineraria and Others v Commission [1993] ECR I‑6357, paragraph 14; and Joined Cases C‑15/98 and C‑105/99 Italy and Sardegna Lines v Commission [2000] ECR I‑8855, paragraph 33).",prem,"['which be determine ', 'which entail effect', ' envisage manner']"
"By contrast, the Court has held that, where a contested measure affects a group of persons who were identified or identifiable when that measure was adopted by reason of criteria specific to the members of the group, those persons might be individually concerned by that measure inasmuch as they form part of a limited class of traders  (see Case 11/82 Piraiki-Patraiki and Others v Commission [1985] ECR 207, paragraph 31; Case C-152/88 Sofrimport v Commission [1990] ECR I‑2477, paragraph 11; and Belgium and Forum 187 v Commission , paragraph 60).",prem,"['court have hold ', 'measure affect group', 'who be identify ', 'measure be adopt reason', 'person might be cerne measure', 'they form part', ' see case']"
"It is not in dispute, first, that the contested decision had the effect that requests for first GFA authorisation, which were pending on the date of notification of the contested decision, were rejected without being examined and, second, that the undertakings concerned were easily identifiable, owing to the very existence of such a request, at the time when that decision was adopted.",prem,"['decision have effect', 'which be pende date', 'request be reject ', ' owe existence', 'decision be adopt ']"
