text,label,events
"Contrary to what Ireland contends, the Commission’s single ground of appeal is admissible since, in accordance with Article 113 of the Rules of Procedure of the Court of Justice, it seeks to set aside the judgment under appeal without seeking to change the subject-matter of the proceedings before the General Court.",prem,"['company tend ', 'it seek ', ' to set judgment', ' to change matter']"
"To that end, the Commission complains that the General Court infringed Article 87 EC in that it wrongly held that none of the three elements identified in the contested decision as being selective confers selective advantages.",prem,"['company plain ', 'court infringe ec', 'it hold ', ' identify decision']"
"It is necessary to reject from the outset the Commission’s complaint, contained in the second part of its single ground of appeal, by which it alleges that the General Court wrongly relied on the notice relating to State aid in the field of taxation, the content of which it misconstrued.",prem,"[' to reject plaint', ' to reject outset', ' taine part', 'it allege ', 'court rely ice', ' relate aid', ' relate field', 'it misconstrue ']"
"Having regard to the reference, in paragraphs 143 and 146 of the judgment under appeal, to that notice, suffice it to state that the General Court did not draw any factual or legal conclusion from it, as is apparent from the use of the words ‘[a]s the Commission itself states’ and ‘[f]urthermore’ in those paragraphs, but relied, in order to substantiate its approach as set out in paragraphs 143 to 146 of the judgment under appeal, on the case-law of the Court of Justice and the allocation of competence in tax matters between the European Union and the Member States.",prem,"[' have regard', 'court do draw clusion', 'court do draw it', 'commission state ', 'court rely law', ' to substantiate approach', ' set paragraph']"
"In those circumstances, the Commission’s complaint against that reference to the notice relating to State aid in the field of taxation is ineffective (see, to that effect, Case C-182/99 P Salzgitter v Commission [2003] ECR I-10761, paragraphs 54 and 55), and so it is unnecessary to consider the content and scope of that notice at this stage.",prem,"[' relate aid', ' see ecr', ' see effect', ' to sider tent']"
In order to examine the Commission’s single ground of appeal and the Kingdom of Spain’s eighth ground of appeal it is appropriate to recall the case-law of the Court of Justice relating to the concept of selective advantage in tax matters.,prem,"[' to examine ground', ' to recall law', ' relate cept']"
"According to settled case-law, the definition of aid is more general than that of a subsidy, given that it includes not only positive benefits, such as subsidies themselves, but also State measures which, in various forms, mitigate the charges which are normally included in the budget of an undertaking and which thus, without being subsidies in the strict sense of the word, are similar in character and have the same effect (see Case C-143/99 Adria-Wien Pipeline and Wietersdorfer Peggauer Zementwerke [2001] ECR I-8365, paragraph 38, and Joined Cases C‑78/08 to C-80/08 Paint Graphos and Others [2011] ECR I‑0000, paragraph 45 and the case-law cited).",prem,"[' accord law', 'it include benefit', 'which mitigate charge', 'which be include budget', 'which have effect', ' see c-143/99', ' see pipeline']"
"Consequently, a measure by which the public authorities grant certain undertakings favourable tax treatment which, although not involving the transfer of State resources, places the recipients in a more favourable financial position than other taxpayers amounts to State aid within the meaning of Article 87(1) EC (see Case C-387/92 Banco Exterior de España [1994] ECR I-877, paragraph 14, and Paint Graphos and Others, paragraph 46 and the case-law cited).",prem,"['authority grant treatment', 'number involve transfer', 'which place recipient', 'which place position', 'measure amount aid', 'measure amount meaning', ' see case']"
"On the other hand, advantages resulting from a general measure applicable without distinction to all economic operators do not constitute State aid within the meaning of Article 87 EC (see, to that effect, Case C‑156/98 Germany v Commission [2000] ECR I‑6857, paragraph 22, and Joined Cases C‑393/04 and C‑41/05 Air Liquide Industries Belgium [2006] ECR I‑5293, paragraph 32 and the case-law cited).",prem,"[' result measure', 'advantage do number stitute', 'advantage do number meaning', ' see germany', ' see effect']"
"It is therefore necessary to determine whether the proposed tax reform is selective, selectivity being a constituent factor in the concept of State aid (see Case C‑88/03 Portugal v Commission [2006] ECR I‑7115, paragraph 54).",prem,[' see portugal']
