text,label,events
"It follows from the rules governing the procedure before the Courts of the European Union, in particular Article 21 of the Statute of the Court and Article 44(1) of the Rules of Procedure of the General Court, that the dispute is in principle determined and circumscribed by the parties and that the Courts of the European Union may not rule ultra petita.",prem,"['it follow rule', ' govern procedure', 'dispute be determine ', 'dispute circumscribe party', 'courts may number ']"
"While certain pleas may, and indeed must, be raised by the courts of their own motion, such as the question whether a statement of reasons for the decision at issue is lacking or is inadequate, which falls within the scope of essential procedural requirements, a plea going to the substantive legality of that decision, which falls within the scope of infringement of the Treaties or of any rule of law relating to their application, within the meaning of Article 263 TFEU, can, by contrast, be examined by the Courts of the European Union only if it is raised by the applicant (see, to that effect, Case C-367/95 P Commission v Sytraval and Brink’s France [1998] ECR I-1719, paragraph 67; Case C-265/97 P VBA v Florimex and Others [2000] ECR I-2061, paragraph 114; and Commission v Ireland and Others, paragraph 40).",prem,"['plea may must be raise rt', 'plea may must be raise motion', 'plea may must be raise question', 'which fall scope', ' go legality', 'which fall scope', ' relate application', 'plea can be examine courts', 'it be raise see', ' see effect']"
"Consequently, a plea based on an infringement of Article 87(1) EC because of the non‑attributability of the measure in question to the State cannot be raised by a court of its own motion.",prem,"[' base infringement', ' base attributability', 'plea can be not raise rt', 'plea can be not raise motion']"
"In this case, after stating in paragraphs 73 and 74 of the judgment under appeal that, before advantages can be classified as State aid within the meaning of Article 87(1) EC, they must, in particular, be attributable to the State, the General Court, in paragraphs 98 and 99 of the judgment under appeal, rejected the Commission’s arguments that the authorisation decisions could not, in any event, have the effect of relieving Ireland, the French Republic and the Italian Republic of their obligation to comply with State aid rules and procedures and that the Council was not entitled, in exercising its own powers in the area of fiscal harmonisation, to encroach on the Commission’s powers in the area of State aid.",prem,"[' state paragraph', 'advantage can be classify aid', 'advantage can be classify meaning', 'court reject argument', 'decision have effect', ' relieve ireland', ' relieve obligation', ' to ply rule', ' exercise power', ' to encroach power']"
"The General Court held that the advantages which the exemptions at issue might have conferred on their beneficiaries had been granted in accordance with the authorisation decisions, and consequently they were attributable not to the Member States but to the European Union and, accordingly, the Commission was not entitled, even in the exercise of its almost exclusive powers under Articles 87 EC and 88 EC, to classify those exemptions as State aid.",prem,"['court hold ', 'exemption might have ferre beneficiary', 'advantage have be grant accordance', ' to classify exemption', ' to classify aid']"
"In paragraph 104 of the judgment under appeal, the General Court concluded that the authorisation decisions precluded the Commission being able to attribute the exemptions at issue to the Member States concerned and, therefore, being able to classify them as State aid within the meaning of Article 87(1) EC and ordering their partial recovery to the extent that it regarded them as not compatible with the internal market, within the meaning of Article 87(3) EC.",prem,"['company clude ', 'decision preclude ', ' to attribute exemption', ' to attribute company', ' to classify they', ' to classify aid', ' to classify meaning', ' order recovery', ' order extent', 'it regard they', 'it regard company', 'it regard meaning']"
"Consequently, in paragraph 110 and in the operative part of the judgment under appeal, the General Court annulled the contested decision ‘in so far as it finds, or is based on the finding, that the exemptions [at issue] constituted State aid, within the meaning of Article 87(1) EC’ and in so far as it orders the recovery of those exemptions from their beneficiaries.",prem,"['court annul decision', 'it find ', 'it be base finding', 'exemption stitute aid', 'it order recovery']"
"By holding that the exemptions at issue were attributable to the European Union, the General Court, rather than raising a plea based on an infringement of essential procedural requirements, as suggested by Ireland and the Italian Republic, instead raised a plea going to the substantive legality of the contested decision, which falls within the scope of an infringement of the EC Treaty.",prem,"[' raise plea', ' base infringement', ' suggest ireland', 'court raise plea', ' go legality', 'which fall scope']"
"Yet, as submitted by the Commission and as stated by the Advocate General in points 57 to 63 of his Opinion, none of the applicants before the General Court relied on such a plea.",prem,"[' submit commission', ' state general', ' state point', 'number rely plea']"
"It is clear from the General Court’s file that the question of attributability of the exemptions at issue, merely alluded to by the Commission in its defence in Case T‑56/06, and by Eurallumina in its reply in Case T‑62/06, where however it stated that ‘[h]owever … it is not necessary to address this issue’, was introduced into the debate by the General Court by sending a written question to the parties, and, it may be added, it is also clear from paragraph 98 of the judgment under appeal.",prem,"['question allude commission', 'question allude eurallumina', 'it state ', ' to address issue', ' be introduce debate', ' be introduce court', ' send question', 'it may be add ']"
"Contrary to what is maintained by the French Republic, Eurallumina and AAL, it cannot be held that the General Court engaged in an amplification of the pleas raised by the parties.",prem,"['what be maintain republic', 'it can be not hold ', 'court engage amplification', ' raise party']"
"Although the General Court may have linked the question of the attributability of the exemptions at issue with the pleas relied on by the parties, alleging infringement of the principles of the presumption of legality attaching to European Union measures and legal certainty, it remains the case, first, that that question derives from a plea in law which is distinct and different in kind, its subject being not an infringement of general principles of European Union law but an infringement of the EC Treaty and, secondly, that the parties, as is clear from, in particular, the account of the parties’ pleas set out in paragraphs 53 to 56 of the judgment under appeal, did not plead those principles with a view to the court finding that the exemptions at issue did not constitute State aid.",prem,"['court may have link question', 'court may have link plea', ' rely party', ' allege infringement', ' attach measure', 'it remain case', 'question derive plea', ' set paragraph', 'number do plead principle', 'number do plead view', 'rt find aid']"
"It follows that, by raising of its own motion the plea that the exemptions at issue were attributable not to the Member States but to the European Union, and, for that reason, did not constitute State aid within the meaning of Article 87(1) EC, the General Court caused the judgment under appeal to be vitiated by an error in law.",prem,"['it follow ', ' raise plea', ' raise motion', 'company do stitute aid', 'company do stitute meaning', 'court cause ', 'judgment to be vitiate error']"
"However, the reasoning relating to the attributability of the exemptions at issue, dealt with only in paragraphs 73, 74, 98, 99 and 104 of the judgment under appeal, constitutes only one element of the grounds stated in that judgment.",prem,"[' relate attributability', ' deal appeal', 'reasoning stitute element', 'company stitute element', ' state judgment']"
It is therefore necessary to examine whether that judgment remains well founded on the basis of the other grounds stated.,prem,['judgment remain basis']
"The General Court, in addition to the considerations relating to the non‑attributability of the exemptions at issue to the Member States, based the judgment under appeal on the following grounds.",prem,"[' relate attributability', 'court base judgment', 'court base appeal', 'court base ground']"
"In paragraphs 63 to 72 of the judgment under appeal, the General Court held, first, that, in the light of the fact that the rules governing the harmonisation of national fiscal legislation and the rules on State aid have a shared objective, namely to promote the proper functioning of the internal market, by combating, inter alia, distortions of competition, the concept of distortion of competition had to be regarded as having the same scope and the same meaning in both those areas, in order to ensure the consistent implementation of those rules.",prem,"['court hold ', ' govern harmonisation', ' to promote functioning', 'cept have ', ' have scope', ' to ensure implementation']"
"The General Court stated, in that regard, that Article 8(4) and (5) of Directive 92/81 confers in particular on the Commission, which submits a proposal, and the Council, which enacts a measure, the responsibility for assessing whether there is any distortion of competition, in order to decide whether or not to authorise a Member State to apply or continue to apply an exemption from the harmonised excise duty and that, if the assessments differ, the Commission has the option of bringing an action for annulment of the Council’s decision.",prem,"['court state regard', 'article fer commission', 'article fer order', 'company fer commission', 'company fer order', 'which submit proposal', 'which enact measure', 'there be distortion', ' to decide whether', 'state to apply ', ' to apply exemption', 'assessment differ ', 'commission have option', ' bring action']"
"The General Court then found, in paragraphs 76 to 97 of the judgment under appeal, that, in this case, it was not in dispute that Ireland, the French Republic and the Italian Republic had, in order to apply or continue to apply the exemptions at issue until 31 December 2003, relied on the authorisation decisions and that they had fully complied with those decisions which, in so far as restrictive conditions of a geographical and temporal nature were attached to them, were binding on those Member States.",prem,"['court find paragraph', ' to apply exemption', ' to apply december', 'ireland have rely decision', 'they have ply decision', 'dition be attach they', 'which be bind states']"
"In that context, in paragraphs 79 to 96 of the judgment under appeal, the General Court discounted the Commission’s arguments that the authorisation decisions, first, were a necessary, but not sufficient, condition of the Member States being able to grant the exemptions at issue and, second, did not alter the fact that, if those exemptions constituted State aid, within the meaning of Article 87(1) EC, they had to be notified to the Commission and be authorised by it, in accordance with Article 88 EC, as stated in recital 5 in the preamble to Decision 2001/224.",prem,"['court discount argument', ' to grant exemption', ' to grant issue', 'number do alter fact', ' stitute aid', ' stitute meaning', ' to be ifie commission', ' be authorise it', ' state recital']"
"The General Court observed, in that regard, that the authorisation decisions prior to Decision 2001/224 contained no such qualification and held that recital 5 could not be construed as a manifestation of the Council’s intention to make the effects of its authorisation conditional on compliance with any subsequent procedures and decisions of the Commission in the area of State aid.",prem,"['court observe regard', 'decision taine qualification', 'court hold ', 'number be strue manifestation']"
"According to the General Court, the Commission’s interpretation of recital 5 in the preamble to Decision 2001/224 is rebutted by the Council’s reply to questions put by the General Court.",prem,"[' accord court', 'interpretation be rebut reply', ' put court']"
"Further, that interpretation could not, in any event, be accepted since it would result, in the circumstances of the case, in an inconsistent implementation of the rules governing the harmonisation of fiscal legislation and the rules on State aid, since, first, the authorisation decisions, adopted unanimously by the Council on a proposal from the Commission, were based on those two institutions’ shared assessment that the exemptions at issue did not give rise to a distortion of competition and did not impede the proper functioning of the internal market;",prem,"['number be accept ', 'it would result circumstance', 'it would result implementation', ' govern harmonisation', ' adopt council', ' adopt proposal', 'decision be base assessment', 'exemption do give rise', 'exemption do give distortion', 'exemption do impede functioning']"
"secondly, the fact that those exemptions were regionally selective was a direct consequence of those decisions and, thirdly, those decisions authorised full exemptions from excise duties.",prem,['decision authorise exemption']
"Last, after finding, in paragraphs 100 to 103 of the judgment under appeal, that the Commission had never used the powers available to it, under Article 8(5) of Directive 92/81 or Articles 230 EC and 241 EC, in order to secure the abolition or alteration of the authorisation decisions, an annulment of those decisions or a declaration that Directive 92/81 was invalid, the General Court stated, in paragraphs 104 and 105 of the judgment under appeal, that, when the contested decision was adopted, Decision 2001/224 remained valid and that that decision, the decisions which had preceded it and Directive 92/81 were entitled to the presumption of legality attaching to European Union measures and produced all their legal effects.",prem,"[' find paragraph', 'commission have never use power', 'commission have never use article', 'commission have never use order', ' to secure abolition', 'court state paragraph', 'decision be adopt ', 'decision remain ', 'which have precede it', ' attach measure', ' produce effect']"
"The General Court held that, consequently, Ireland, the French Republic and the Italian Republic were entitled to rely on those decisions in order to continue to apply the exemptions at issue.",prem,"['court hold ', 'ireland be entitle ', ' to rely decision', ' to apply exemption']"
"The General Court concluded that, in the particular circumstances of the case, the contested decision directly called into question the validity of the exemptions at issue and also, indirectly, but necessarily, the validity of the authorisation decisions and the effects arising from those decisions, thereby infringing the principles of legal certainty and the presumption of legality attaching to European Union measures.",prem,"['company clude ', 'decision call validity', 'decision call question', ' arise decision', ' infringe principle', ' attach measure']"
