text,label,events
"Contrary to what the Commission and the Irish Government claim, the first part of Ryanair’s single ground of appeal is not ineffective.",prem,['commission claim ']
"Ryanair stated, in its appeal, that that part concerns not only paragraph 74 but also paragraphs 75 and 76 of the Ryanair judgment.",prem,"['ryanair state appeal', 'cern number paragraph', 'cern number judgment']"
"Moreover, those three paragraphs develop, essentially, one and the same line of reasoning, based on the fact that, during the period covered by the decision at issue, the EUR 3 rate did not apply and could not therefore be used as the reference rate.",prem,"['paragraph develop line', ' base fact', 'company ere decision', 'rate do apply ', 'number be use rate']"
"However, as regards the substance, Ryanair’s arguments cannot succeed.",prem,"[' regard substance', 'argument can not succeed ']"
"It is the Court’s established case-law that, when appraising the requirement of selectivity, Article 107(1) TFEU requires assessment of whether, under a particular legal regime, a national measure is such as to favour ‘certain undertakings or the production of certain goods’ in comparison with others which, in the light of the objective pursued by that regime, are in a comparable factual and legal situation (judgment of 15 November 2011, Commission and Spain v Government of Gibraltar and United Kingdom, C‑106/09 P and C‑107/09 P, EU:C:2011:732, paragraph 75 and the case-law cited).",prem,"[' appraise requirement', 'that require assessment', 'tfeu require assessment', ' to favour undertaking', ' pursue regime']"
"As the Advocate General observed, in essence, in point 41 of his Opinion, that assessment cannot be carried out by comparing the amount which the airlines subject to the lower rate of ATT were required to pay with a hypothetical tax amount, calculated on the basis or a rate which, as Ryanair itself accepts, did not apply to any flight or any airline during the period covered by the decision at issue .",prem,"['general observe essence', 'general observe point', 'assessment can be not carry ', 'company pare amount', 'company pare amount', 'airline be require ', ' calculate basis', 'ryanair accept ', ' do apply flight', ' do apply period', ' ere decision', ' ere issue']"
"Thus, the General Court was correct to state, in paragraph 75 of the Ryanair judgment, that fixing a reference rate other than that actually applied during the period in question would not allow all the effects of ATT to be fully apprehended.",prem,"[' to state paragraph', ' fix rate', ' apply period', 'fix would number allow ', 'effect to be apprehend ']"
"Contrary to what is submitted by the Irish Government, Ryanair has set out to the requisite legal standard the reasons why it considers that paragraph 89 of the Ryanair judgment is vitiated by an error of law.",prem,"['what be submit government', 'ryanair have set reason', 'ryanair have set standard', 'company sider ', 'paragraph be vitiate error']"
"The fact nonetheless remains that those reasons are not such as to call into question the grounds of the General Court’s rejection of Ryanair’s argument, so that this part of Ryanair’s single ground of appeal must also be discounted.",prem,"['number remain ', ' to call ground', ' to call question', 'part must be discount ']"
"As the General Court observed, in essence, in paragraph 89 of the Ryanair judgment, if the Court were to find that the lower rate of ATT did not procure a selective advantage for the undertakings liable to pay that rate on the sole ground that that rate was introduced at the same time as the rate of EUR 10 per passenger, that would be tantamount to a finding that the decision whether a State intervention measure constituted State aid depended on the technique used.",prem,"['court observe essence', 'court observe paragraph', 'rate do procure advantage', 'rate do procure ground', ' to pay rate', 'rate be introduce time', 'company stitute aid', 'decision depend technique']"
"As is apparent from the Court’s established case-law, Article 107(1) TFEU does not draw a distinction between measures of State intervention on the basis of the techniques used by the national authorities (see, to that effect, judgment of 15 November 2011, Commission and Spain v Government of Gibraltar and United Kingdom, C‑106/09 P and C‑107/09 P, EU:C:2011:732, paragraph 87 and the case-law cited).",prem,"['tfeu do draw distinction', ' use authority', ' see judgment', ' see effect']"
"As regards, first, the first part of Aer Lingus’ single ground of appeal, it should be noted that the only decisive factor for determining whether a tax measure is to be classified as State aid and, in particular, for ascertaining whether that measure gives rise to more favourable tax treatment for its beneficiaries by comparison with other taxpayers, is the effects produced by the measure (see, to that effect, judgment of 15 November 2011, Commission and Spain v Government of Gibraltar and United Kingdom, C‑106/09 P and C‑107/09 P, EU:C:2011:732, paragraph 87 and the case-law cited).",prem,"[' regard part', ' to be classify aid', 'measure give rise', 'measure give treatment', ' produce measure', ' see effect']"
"Accordingly, the fact that a tax measure is contrary to provisions of EU law other than Articles 107 and 108 TFEU does not mean that the exemption from that measure enjoyed by certain taxpayers cannot be classified as State aid, as long as the measure in question produces effects vis-à-vis other taxpayers and has not been either repealed or declared unlawful and, therefore, inapplicable (see, to that effect, judgment of 30 March 2005, Heiser, C‑172/03, EU:C:2005:130, paragraph 38).",prem,"['fact mean ', ' enjoy taxpayer', 'exemption can be not classify aid', 'measure produce effect', 'measure produce taxpayer', ' have be repeal c172/03', ' declare unlawful', ' see effect']"
"That is, in essence, what the General Court stated in paragraph 43 of the Aer Lingus judgment and in paragraph 65 of the Ryanair judgment.",prem,['court state paragraph']
"Accordingly, contrary to what is claimed by Aer Lingus in the first part of its single ground of appeal, paragraph 43 of the Aer Lingus judgment is not vitiated by any error of law.",prem,"['what be claim lingus', 'what be claim part', ' be vitiate error']"
That conclusion is not called into question by the case-law relied on by Aer Lingus and cited in paragraph 60 above.,prem,"[' call question', ' call law', ' rely lingus', ' cite paragraph']"
The effect of that case-law is simply that the reimbursement to an undertaking of an amount of tax which it was required to pay in breach of EU law or the damages which national authorities are ordered to pay to undertakings to compensate for the damage they have caused them does not constitute State aid.,prem,"['it be require ', ' to pay breach', 'authority be order ', ' to pay damage', 'they have cause they']"
"The State aid with which the decision at issue is concerned derives neither from the reimbursement of a tax contrary to the provisions of EU law other than Articles 107 and 108 TFEU that was paid by Aer Lingus and Ryanair, nor from the payment of compensation to those two undertakings.",prem,"['aid derive reimbursement', 'that be pay lingus']"
That case-law is therefore irrelevant for the purposes of the present cases.,prem,[]
It follows that the first part of the Aer Lingus’ single ground of appeal must be rejected.,prem,"['it follow ', 'part must be reject ']"
"Next, the second to fourth parts of Aer Lingus’ single ground of appeal and the second and third parts of Ryanair’s single ground of appeal are based on the premiss that the fact that ATT is totally or partially at odds with provisions of EU law other than Articles 107 and 108 TFEU is likely to have a bearing on whether the total or partial exemption from that tax enjoyed by certain operators may be described as State aid within the meaning of Article 107(1) TFEU, in so far as, in particular, the unlawfulness of that measure could give rise, in proceedings before the national courts, to the repayment of all or part of the tax in question to other operators who were not entitled to the exemption in question.",prem,"['part be base premiss', ' to have bearing', ' enjoy operator', 'exemption may be describe aid', 'exemption may be describe meaning', 'unlawfulness give rise', 'unlawfulness give proceeding', 'unlawfulness give repayment']"
"It is common ground that, when the Commission carried out its assessment and adopted the decision at issue, the tax measure in question was producing its effects, in the sense that certain airlines were paying ATT at the reduced rate, whereas others — which, according to the Commission’s assessment that went unchallenged by Aer Lingus and Ryanair, were in a comparable legal and factual situation in the light of the objectives of the tax measure at issue — were paying the same tax at the higher rate.",prem,"['commission carry assessment', 'commission adopt decision', 'measure be produce effect', 'measure be produce sense', 'airline be pay att', 'airline be pay rate', ' accord assessment', 'that go lingus', 'other be pay tax', 'other be pay rate']"
