text,label,events
"As regards the first part of the first ground of appeal, it must be pointed out that, in paragraph 79 of the judgment under appeal, the General Court correctly set out that argument, stating, inter alia, that the appellant was arguing that the Commission had not assessed the effect of the notified measure in its context.",prem,"[' regard part', 'it must be point ', 'company set argument', 'appellant be argue ', 'commission have assess effect']"
The appellant is claiming that it is apparent therefore from that paragraph that the Commission had confined itself to studying the effect of that measure in isolation.,prem,"['appellant be claim ', 'commission have fine itself', ' study effect', ' study isolation']"
"Further, the General Court investigated, in paragraphs 81 to 83 of the judgment under appeal, whether the Commission had taken account of the combined effect of the previous provisions and other provisions, fiscal and non-fiscal.",prem,"['court investigate paragraph', 'commission have take account', 'commission have take effect']"
"In that regard, the General Court held that the Commission had examined, in recitals 16 to 23 of the contested decision, the relevance of the previous provisions in relation to the notified measure.",prem,"['court hold ', 'commission have examine relevance', 'commission have examine recital']"
"In particular, the General Court held, in paragraph 83 of that judgment, that, given that the previous early depreciation scheme provisions were to be repealed and the application of the amended Article 115(11) of the LIS no longer required prior authorisation from the tax authorities, the question of the combined effects of the previous provisions simply no longer arose.",prem,"['court hold paragraph', 'application require authorisation', 'question arise ']"
"The General Court cannot therefore be criticised for having misconstrued arguments raised before it by the appellant that concerned specifically, as is apparent from, inter alia, the application initiating the proceedings, the analysis of the combined effects of the tax measures and other provisions, fiscal and non-fiscal.",prem,"['court can be not criticise ', ' misconstrue argument', ' raise it', ' raise appellant', 'company cerne ', ' initiate proceeding']"
"For the remainder, the General Court did not for all that limit its examination to the previous early depreciation scheme.",prem,"['that limit examination', 'that limit scheme']"
"Thus, in paragraphs 84 to 88 of the judgment under appeal, it set out the appellant’s arguments on the de facto selectivity of the notified measure, to be analysed in the following paragraphs in order to come to the conclusion, in paragraph 92 of that judgment, that, with regard to the new tax scheme, ‘the Commission examined the question of whether the notified measure contained an element of selectivity’.",prem,"['it set argument', ' to be analyse paragraph', 'commission examine question', 'company taine element']"
"While the General Court considered that examination to have been ‘succinct’, it nonetheless held that examination to have been sufficient, on the conclusion of reasoned argument set out in paragraphs 93 to 101 of that judgment, where the new tax provisions are dealt with.",prem,"['company sidere examination', 'it hold clusion', ' set paragraph', 'provision be deal ']"
"That being the case, the first part of the appellant’s first ground of appeal stems from a misreading of the judgment under appeal and must be rejected.",prem,"['part stem misreading', 'part must be reject ']"
"As regards the second part of that ground of appeal, it is clear that the appellant claimed before the General Court that the fact that a measure is directly applicable and leaves no discretion to the authorities responsible for its implementation does not preclude that measure being selective.",prem,"[' regard part', 'appellant claim court', 'measure leave discretion', 'measure leave authority', 'fact do preclude ']"
"The appellant argued, in addition, that the amended Article 115(11) of the LIS was not directly applicable, since it contained a number of concepts that were subject to interpretation.",prem,"['appellant argue addition', 'company taine number']"
"In this instance, first, it is clear that that argument of the appellant is clearly stated in paragraph 79 of the judgment under appeal.",prem,['argument be state paragraph']
