text,class,events
I  -  11914 JUDGMENT OF 18.,0,[]
"0 — CASE C-322/09 P JUDGMENT OF THE COURT (Third Chamber) 18 November 2010 * In Case C-322/09 P, APPEAL under Article 56 of the Statute of the Court of Justice, brought on 8 August 2009, NDSHT Nya Destination Stockholm Hotell & Teaterpaket AB, established in Stockholm (Sweden), represented by M. Merola and L. Armati, avvocati, appellant, the other party to the proceedings being: European Commission, represented by L. Flynn and T. Scharf, acting as Agents, with an address for service in Luxembourg, defendant at first instance, *  Language of the case: English.",0,[]
"I  -  11915 NDSHT v COMMISSION THE COURT (Third Chamber), composed of K. Lenaerts, President of the Chamber, D. Šváby, E. Juhász, G. Arestis and T. von Danwitz (Rapporteur), Judges, Advocate General: V. Trstenjak, Registrar: L. Hewlett, Principal Administrator, having regard to the written procedure and further to the hearing on 9 September 2010, having decided, after hearing the Advocate General, to proceed to judgment without an Opinion, gives the following Judgment 1 By its appeal, Nya Destination Stockholm Hotell & Teaterpaket AB (‘NDSHT’) seeks to have set aside the judgment of the Court of First Instance of the European Com munities (now ‘the General Court’) of 9 June 2009 in Case T-152/06 NDSHT v Com mission [2009] ECR II-1517 (‘the judgment under appeal’) declaring inadmissible I  -  11916 JUDGMENT OF 18.",0,[]
"0 — CASE C-322/09 P NDSHT’s action for annulment of the decision contained in the letters of the Com mission of the European Communities of 24 March and 28 April 2006 addressed to NDSHT, relating to a complaint concerning allegedly unlawful State aid granted by the City of Stockholm to Stockholm Visitors Board AB (‘the act in question’).",0,[]
"Legal context 2 As is apparent from recital 2 in its preamble, Council Regulation (EC) No 659/1999 of 22 March 1999 laying down detailed rules for the application of Article [88 EC] (OJ 1999 L 83, p.",0,[]
"), as amended by the Act concerning the conditions of accession of the Czech Republic, the Republic of Estonia, the Republic of Cyprus, the Republic of Latvia, the Republic of Lithuania, the Republic of Hungary, the Republic of Malta, the Republic of Poland, the Republic of Slovenia and the Slovak Republic and the adjust ments to the Treaties on which the European Union is founded (OJ 2003 L 236, p.",0,[]
") (‘Regulation No 659/1999’), codifies and reinforces the practice for examining State aid established by the Commission in accordance with the case-law of the Court.",0,[]
"Under Article  1(b)(i) of that regulation, ‘existing aid’ means ‘without prejudice to Articles 144 and 172 of the Act of Accession of Austria, Finland and Sweden, and to Annex IV, point 3 and the Appendix to said Annex of the Act of Accession of the Czech Republic, Estonia, Cyprus, Latvia, Lithuania, Hungary, Malta, Poland, Slovenia and Slovakia, all aid which existed prior to the entry into force of the [EC] Treaty in the respective Member States, that is to say, aid schemes and individual aid which were put into effect before, and are still applicable after, the entry into force of the Treaty’.",0,[]
"I  -  11917 NDSHT v COMMISSION 4 In accordance with Article 1(h) of that regulation, the term ‘interested party’ is de fined as ‘any Member State and any person, undertaking or association of undertak ings whose interests might be affected by the granting of aid, in particular the benei ciary of the aid, competing undertakings and trade associations’.",0,[]
"Article 4(1) to (4) of Regulation No 659/1999, in Chapter II thereof, which is entitled ‘Procedure regarding notified aid’, provides: ‘1.",0,"['which entitle procedure', 'article provide 1']"
The Commission shall examine the notification as soon as it is received.,0,['Commission examine number']
"Without prejudice to Article 8, the Commission shall take a decision pursuant to paragraphs 2, 3 or 4.",0,['<ORG> take decision']
"Where the Commission, after a preliminary examination, finds that the notified measure does not constitute aid, it shall record that finding by way of a decision.",0,"['measure do company aid', 'it record finding']"
"Where the Commission, after a preliminary examination, finds that no doubts are raised as to the compatibility with the common market of a notified measure, in so far as it falls within the scope of Article [87(1) EC], it shall decide that the measure is compatible with the common market (hereinafter referred to as a “decision not to raise objections”).",0,[]
The decision shall specify which exception under the Treaty has been applied.,0,[]
"Where the Commission, after a preliminary examination, finds that doubts are raised as to the compatibility with the common market of a notified measure, it shall decide to initiate proceedings pursuant to Article [88(2) EC] (hereinafter referred to as a “decision to initiate the formal investigation procedure”).’ I  -  11918 JUDGMENT OF 18.",0,[]
0 — CASE C-322/09 P 6 Chapter III of that regulation governs the procedure regarding unlawful aid.,0,['chapter govern procedure']
"In that chapter, Article 10(1) provides: ‘Where the Commission has in its possession information from whatever source re garding alleged unlawful aid, it shall examine that information without delay.’ 7 In Chapter III, Article 13, entitled ‘Decisions of the Commission’, provides in para graph 1 thereof: ‘The examination of possible unlawful aid shall result in a decision pursuant to Art­ icle 4(2), (3) or (4).",0,"['<ORG> have information', 'it examine information']"
"…’ 8 In Chapter VI of Regulation No 659/1999, entitled ‘Interested parties’, Article 20(2) and (3) provides: ‘2.",0,['Article provide 2']
Any interested party may inform the Commission of any alleged unlawful aid and any alleged misuse of aid.,0,['party inform <ORG>']
"Where the Commission considers that on the basis of the information in its possession there are insufficient grounds for taking a view on the case, it shall inform the interested party thereof.",0,"['there be ground', 'it inform party']"
"Where the Commission takes a deci sion on a case concerning the subject matter of the information supplied, it shall send a copy of that decision to the interested party.",0,"['<ORG> take deci sion', 'it send company y']"
"At its request, any interested party shall obtain a copy of any decision pursuant to Articles 4 and 7, Article 10(3) and Article 11.’ I  -  11919 NDSHT v COMMISSION 9 Article 25 of Regulation No 659/1999 provides: ‘Decisions taken pursuant to Chapters II, III, IV, V and VII shall be addressed to the Member State concerned.",0,['party obtain company y']
…’ II — Factual background to the dispute 10 NDSHT is a company incorporated under the laws of Sweden which carries on the activities of a tour operator in Stockholm through its website.,0,['which carry activity']
"It offers a packaged service including hotel reservations and a tourist card called ‘Stockholm à la carte’, which gives holders access to a number of services and facilities in Stockholm, such as museums and local transport.",0,"['it offer service', 'which give holder', 'which give access']"
Stockholm Visitors Board AB (‘SVB’) is a company owned by the City of Stockholm through various subsidiaries.,0,[]
It is responsible for providing tourist information and promoting the Stockholm region.,0,[]
"In connection with that type of activity, it also pur sues commercial activities consisting, in particular, in the reservation of discounted hotel rooms in Stockholm and the sale of a package of tourist-related services, by means of a card called ‘the Stockholm Card’, offering free admission to places of inter est and facilities in Stockholm.",0,[]
"In September 2004, NDSHT sent the Commission information regarding the an nual grants made by the City of Stockholm to SVB for the years 2003 to 2005, alleg ing that those grants constituted State aid granted in infringement of Article 88(3) EC.",0,"['<ORG> send <ORG>', '<ORG> send information', 'grant company stitute state aid']"
NDSHT asserted in its complaint that that alleged State aid consisted in yearly I  -  11920 JUDGMENT OF 18.,0,[]
"0 — CASE C-322/09 P appropriations from the City of Stockholm’s budget in favour of SVB, the reimburse ment of SVB’s pre-tax losses by its parent company on a regular basis, and preferen tial access to public facilities, such as metered parking managed by that city.",0,[]
"Accord ing to NDSHT, SVB could use that aid to finance its commercial activities that are, however, in competition with those of other national and international undertakings, thereby distorting competition.",0,['<ORG> use aid']
The Commission investigated NDSHT’s complaint in the light of supplementary in formation provided by the latter and by the Swedish authorities in response to re quests for information sent to them by the Commission.,0,['Commission investigate <ORG>']
"On 24 March 2006, the Director of ‘State Aid 1: Cohesion and Competitiveness’, the service in the Commission’s Directorate-General for Competition responsible for the file (‘the Director of the Commission service responsible for the file’), sent the follow ing letter to NDSHT: ‘… I would like to inform you that, on the basis of the available information, the com petent services of the Directorate-General for Competition have reached the con clusion that there are not sufficient reasons for continuing the investigation of your complaint.",0,"['Director send letter', 'Director send to', 'company petent service reach company clusion', 'there be reason', 'company tinue investigation']"
"… I  -  11921 NDSHT v COMMISSION According to our analysis, the Stockholm Card and the hotel bookings are (with the exception of the inclusion of parking spaces in the Stockholm Card) carried out on market conditions.",0,[]
These activities are thus not financed from State aid within the meaning of Article 87(1) of the EC Treaty.,0,[]
"As regards the use of certain parking spaces for free, arguably there is no affectation on trade, or even if there is, such aid has been included in the Stockholm Card since well before Sweden joined the European Union in 1995 and would thus constitute existing aid.",0,"['there be number affectation', 'Sweden join <ORG>']"
"Moreover, this service is since 1 Janu ary 2006 no longer included in the Stockholm Card.",0,[]
"With respect to other activities (the provision of tourism information, etc.",0,[]
"), it appears as if these are covered by the rules on Services of General Economic Interests (SGEI).",0,[]
Cross-subsidisation in favour of economic activities does not seem to occur.,0,[]
"In case the compensation for the SGEIs would be classified as State aid, such aid would nevertheless have been provided under the same conditions since well before 1995 and would thus constitute existing aid.",0,[]
"In summary, the extensive investigations we have undertaken on this complaint sug gest that we are in the presence of existing aid, and not illegal aid, which is in any case compatible with the common market.",0,[]
"Since there are no grounds to institute the ap propriate measures procedure provided for in Article 88(1) of the Treaty, we do not propose to take any further action on this matter.",0,['there be number ground']
…’ I  -  11922 JUDGMENT OF 18.,0,[]
"0 — CASE C-322/09 P 15 By letter of 5 April 2006, NDSHT informed the Commission that it understood the letter of 24 March 2006 as meaning that its complaint had been rejected and a deci sion adopted pursuant to Articles 13 and 4(2) and (3) of Regulation No 659/1999 not to raise any objections with regard to the financial measures in question.",0,"['<ORG> inform <ORG>', 'it understand letter']"
"NDSHT also asked the Commission to send it a copy of that decision, in accordance with Article 20 of that regulation.",0,['<ORG> ask <ORG>']
"By letter of 28 April 2006, the Director of the Commission service responsible for the file replied to NDSHT stating that the information received did not indicate that the measures complained of constituted unlawful State aid and consequently no decision by the Commission under Article 20 of Regulation No 659/1999 could be addressed to it.",0,[]
"The proceedings before the General Court and the judgment under appeal 17 By application lodged at the Registry of the General Court on 6 June 2006, NDSHT sought the annulment of the act in question and the initiation of the formal investiga tion procedure under Article 88(2) EC.",0,['<ORG> seek annulment']
"By separate document, the Commission raised an objection of inadmissibility pursu ant to Article 114(1) of the Rules of Procedure of the General Court, to which ND SHT responded on 9 November 2006.",0,['<ORG> raise objection']
NDSHT claimed in its observations relating to the objection of inadmissibility that the act in question expressed both a final refusal on the part of the Commission to I  -  11923 NDSHT v COMMISSION initiate the formal investigation procedure provided for in Article 88(2) EC and a de cision to close the case.,0,"['act express refusal', '<NAME> initiate investigation procedure']"
The act in question should therefore be regarded as a decision affecting NDSHT’s legal situation.,0,[]
It thus constituted an act open to challenge for the purposes of Article 230 EC.,0,['it stitute act']
"By the judgment under appeal, the General Court dismissed NDSHT’s action as inad missible and ordered it to pay the costs.",0,['<ORG> dismiss <ORG>']
"The General Court held that, in order to determine whether the act in question con stituted an act open to challenge, it was necessary to establish, in the light of its sub stance, whether it constituted a decision under Article 4 of Regulation No 659/1999 or merely an informal communication pursuant to the second sentence of Article 20(2) of that regulation.",0,['it stitute decision']
"It stated, in paragraph 44 of the judgment under appeal, that the Commission was not obliged to adopt a decision within the meaning of Article 4 of Regulation No 659/1999 in response to every complaint.",0,[]
Such an obligation arose only where Article 13 of the regulation was applicable.,0,[]
That was not the case where the complaint concerned existing aid.,0,['company cerne aid']
"In paragraph 64 of the judgment, the General Court considered that an obligation to adopt a decision within the meaning of Article 4 of that regulation fol lowing a complaint concerning existing aid would run counter to the general scheme of the State aid review procedure.",0,['obligation run company nter']
It is apparent from the substance of the letters of 24 March and 28 April 2006 (to gether ‘the contested letters’) that the Commission had decided not to pursue the complaint on the ground that the aid in question constituted existing aid covered by the procedure in Article 88(1) EC.,0,"['<ORG> decide number', 'company stitute aid company']"
"The General Court considered, in paragraph 57 of the judgment under appeal, that, in that case, in the light of settled case-law, the Commission could not be compelled, by means of a complaint, to issue a recommen dation proposing appropriate measures to the Member States pursuant to Article 18 I  -  11924 JUDGMENT OF 18.",0,[]
0 — CASE C-322/09 P of Regulation No 659/1999.,0,[]
"Furthermore, none of the provisions thereof applicable to existing aid contemplated the possibility of the Commission’s adopting a measure amounting to a decision at the end of the preliminary examination of that aid.",0,"['number template possibility', '<ORG> adopt measure']"
"Finally, in paragraph 63 of the judgment under appeal, the General Court stated that, since the Commission considered, at the end of its initial examination of the financial measures in question, that they should be regarded as existing aid, the contested let ters could not constitute a refusal to initiate the formal investigation procedure under Article 88(2) EC.",0,['<ORG> stitute refusal']
"The General Court consequently concluded that the contested letters had to be re garded not as a decision for the purposes of Article 4 of Regulation No 659/1999, but as an informal communication for the purposes of Article 20 thereof.",0,[]
"Therefore, they did not constitute an act open to challenge for the purposes of Article 230 EC.",0,['they stitute act']
"Forms of order sought before the Court 26 By its appeal, while disputing the classification of the measures in question by the Commission, NDSHT asks the Court to set aside the judgment under appeal in its entirety then, principally, to grant its application at first instance and order the Com mission to pay the costs or, in the alternative, to declare its action admissible, refer the case back to the General Court and reserve the decision on costs relating to the two proceedings.",0,['<ORG> ask <ORG>']
I  -  11925 NDSHT v COMMISSION 27 The Commission contends that the appeal should be dismissed and NDSHT ordered to pay the costs.,0,[]
The appeal 28 NDSHT raises four grounds in support of its appeal.,0,['appeal raise ground']
The first ground of appeal alleges manifest distortion of the contents of the contested letters.,0,['ground allege distortion']
"By its second ground of appeal, the appellant submits that the General Court erred in law in considering the act in question to be a preparatory act not constitut ing a definitive decision open to challenge in an action for annulment.",0,[]
"According to its third ground of appeal, NDSHT complains that the General Court erred in law in considering that the position adopted by the Commission should be treated as a rejection of a request for appropriate measures to be taken within the meaning of Article 88(1) EC.",0,[]
"Finally, by its fourth ground of appeal, NDSHT claims that the General Court also erred in law in holding that the classification, by the Commission, of the financial measures in question as existing aid prevented the rejection of the complaint from being challenged.",0,['classification prevent rejection']
"Such a solution was based on a misinterpretation of Articles 4, 10, 13 and 20 of Regulation No 659/1999.",0,[]
"Since the second to fourth grounds of appeal are closely linked, it is appropriate to examine them together.",0,[]
I  -  11926 JUDGMENT OF 18.,0,[]
"0 — CASE C-322/09 P The second to fourth grounds of appeal Arguments of the parties 31 Referring, in particular, to Case C-521/06 P Athinaïki Techniki v Commission [2008] ECR I-5829, NDSHT alleges that the General Court misconstrued Articles 4, 10, 13 and 20(2) of Regulation No 659/1999 by holding that the rejection of its complaint by the Commission did not have the characteristics of a decision which produced binding legal effects such as to affect its interests and, therefore, of an act open to challenge for the purposes of Article 230 EC.",0,"['<ORG> misconstrue article', 'rejection have characteristic', 'which produce effect']"
"The appellant considers, in its second ground of appeal, that the General Court erred in law in stating that the act in question constituted not a definitive decision, but a preparatory act.",0,"['company stitute number', 'company stitute decision']"
"It submits that the Commission had, on the contrary, completed its examination and adopted a decision, without however having formalised it, the ob ject of which was to reject the complaint on the ground that the financial aid granted was compatible with the common market.",0,['<ORG> plete examination']
"In that regard, the appellant considers, in its third ground of appeal, that, in para graph 57 et seq.",0,[]
"of the judgment under appeal, the General Court erred in law by clas sifying the position taken by the Commission as a rejection of a request for appropri ate measures to be taken within the meaning of Article 88(1) EC and not as a refusal to initiate the formal investigation procedure under Article 88(2) EC.",0,[]
"Likewise, the I  -  11927 NDSHT v COMMISSION General Court wrongly asserted that the Commission could not be obliged by a com plainant to take a decision at the end of the preliminary examination stage.",0,[]
"Furthermore, the appellant claims, in its fourth ground of appeal, that Articles 4, 10 and 13 of Regulation No 659/1999 oblige the Commission, where it examines a com plaint concerning the existence of allegedly unlawful aid, to conclude the preliminary examination stage by adopting a decision, as is stated in Athinaïki Techniki v Com mission, paragraph 40.",0,"['article oblige <ORG>', 'it examine company']"
That obligation to take a decision also applies where the preliminary examination stage leads the Commission to believe that there is existing aid.,0,"['examination stage lead <ORG>', 'there be aid']"
The possibility of contesting a Commission letter refusing to initiate the formal investigation procedure on the ground that the contested aid was existing aid was confirmed by the Court in Case C-313/90 CIRFS and Others v Commission [1993] ECR I-1125.,0,"['company test <ORG>', 'company test aid']"
"Therefore, ac cording to the appellant, the General Court’s interpretation, in paragraph 64 et seq.",0,[]
"of the judgment under appeal, that it would run counter to the general scheme of the State aid review procedure to hold that the Commission necessarily adopts a deci sion under Article 4 of Regulation No 659/1999 where it informs a complainant that its complaint concerns existing aid is evidence of a profoundly mistaken view of that procedural system.",0,"['it run company nter', '<ORG> adopt sion', 'it inform company plainant']"
"That interpretation would mean that, by classifying the contested financial measures as existing aid, the Commission could avoid any review by the European Union judicature, which would be clearly unacceptable.",0,['<ORG> avoid review']
"The Commission acknowledges, first of all, that the contested letters do not deal with all of the financial measures in question and that it did not, by those letters, take a decision concerning existing aid.",0,['it take decision company']
"On the contrary, those letters contain a number of hypothetical, and accordingly not definitive, conclusions not leading moreover to an identical classification of those different measures.",0,['letter tain number']
"In those letters, the Commission, I  -  11928 JUDGMENT OF 18.",0,[]
"0 — CASE C-322/09 P at the most, summarised the position of the service responsible for dealing with the complaint, according to which it did not at that time intend to pursue it.",0,['p summarise position']
"Next, the argument put forward by NDSHT that the Commission adopted a decision although without formalising it is inadmissible, since it was not put forward during the proceedings at first instance.",0,['<ORG> adopt decision']
"In any event, the Commission contends that it did not adopt a decision and restricted itself to a provisional assessment, the file on the complaint having been closed only in December 2006.",0,['it adopt decision']
"Furthermore, as regards existing aid, it could not adopt a decision immediately but had, if it considered the measures to be incompatible with the com mon market, first to inform the Member State concerned before possibly proposing appropriate measures.",0,"['company ld number adopt decision', 'it sidere measure']"
"Since Regulation No 659/1999 does not provide for any spe cific procedure to be followed in such a case, the only possible means of challenging the act in question would have been an action for failure to act.",0,[]
"Finally, the Commission contests the relevance of the references to CIRFS and Oth ers v Commission and Athinaïki Techniki v Commission since, when it has found that there is existing aid, the Commission is no longer in a position to initiate the formal investigation procedure under Article 88(2) EC.",0,"['<ORG> test relevance', 'there be aid']"
"I  -  11929 NDSHT v COMMISSION Findings of the Court — Admissibility of the argument invoked by NDSHT relating to the fact that the Commission’s decision was not formalised 40 According to the Commission, the argument put forward by the appellant that it concluded its examination of the financial measures in question with a decision that was not formalised was not raised before the General Court and is accordingly inadmissible.",1,['company clude examination']
