text,class,events
"ITALY v COMMISSION JUDGMENT OF THE COURT (Sixth Chamber) 29 April 2004 * In Case C-298/00 P, Italian Republic, represented by I.M.",0,[]
"Braguglia, acting as Agent, assisted by G. Aiello, avvocato dello Stato, with an address for service in Luxembourg, applicant, APPEAL against the judgment of the Court of First Instance of the European Communities (Fourth Chamber, Extended Composition) of 15 June 2000 in Joined Cases T-298/97, T-312/97, T-313/97, T-315/97, T-600/97 to T-607/97, T-1/98, T-3/98 to T-6/98 and T-23/98 Alzetta and Others v Commission [2000] ECR II-2319, seeking to have that judgment set aside, the other parties to the proceedings being: Commission of the European Communities, represented by V. Di Bucci, acting as Agent, with an address for service in Luxembourg, defendant at first instance, * Language of the ease: Italian.",0,[]
I-4121 JUDGMENT OF 29.,0,[]
"4 — CASE C-298/00 P Impresa Edo Collorigh Edo and Others, represented by V. Cinque, avvocato, Mauro Alzetta and Others, Masotti Srl and Others, Impresa Anna Maria Baldo and Others, SUTES SpA and Others, Ditta Pietro Stagno and Others, Ditta Carlo Fabris & C. Snc, Ditta Franco D'Odorico, Ditta Fiorindo Birri, Ditta Maria Cecilia Framalicco, Autotrasporti Claudio Di Viola & C. Snc, and Impresa Amedeo Musso, applicants at first instance, I - 4122 ITALY v COMMISSION THE COURT (Sixth Chamber), composed of: V. Skouris, acting for the President of the Sixth Chamber, J.N.",0,[]
"Cunha Rodrigues, J.-P.",0,[]
"Puissochet, R. Schintgen and F. Macken (Rapporteur), Judges, Advocate General: S. Alber, Registrar: M.-F.",0,[]
"Contet, Principal Administrator, having regard to the Report for the Hearing, after hearing oral argument from the parties at the hearing on 20 March 2003, after hearing the Opinion of the Advocate General at the sitting on 15 May 2003, gives the following Judgment 1 By application lodged at the Registry of the Court of Justice on 3 August 2000, the Italian Republic brought an appeal pursuant to Article 49 of the EC Statute of the Court of Justice against the judgment of 15 June 2000 in Joined Cases I-4123 JUDGMENT OF 29.",0,"['<NAME> give judgment', 'Principal Administrator give judgment', 'Italian Republic bring appeal']"
"4 - CASE C-298/00 P T-298/97, T-312/97, T-313/97, T-315/97, T-600/97 to T-607/97, T-1/98, T-3/98 to T-6/98 and T-23/98 Alzetta and Others v Commission [2000] ECR II-2319 (hereinafter 'the contested judgment'), in which the Court of First Instance partially dismissed the action for the partial annulment of Commission Decision 98/182/EC of 30 July 1997 concerning aid granted by the Friuli-Venezia Giulia Region (Italy) to road haulage companies in the Region (OJ 1998 L 66, p.",0,['<ORG> dismiss action']
", hereinafter 'the contested decision').",0,['company test decision']
"Legal framework and factual background Legal framework 2 The legal framework of the dispute was set out in the contested judgment as follows: '2 The general provisions on State aid set out in Articles 92 of the EC Treaty (now, after amendment, Article 87 EC) and 93 and 94 of the EC Treaty (now Articles 88 EC and 89 EC) apply within the field of transport, subject to the special provisions of Article 77 of the EC Treaty (now Article 73 EC), which state that aids meeting the needs of coordination of transport or representing reimbursement for the discharge of certain obligations inherent in the concept of a public service are compatible with the Treaty.",0,[]
"Article 2 of Council Regulation (EEC) No 1107/70 of 4 June 1970 on the granting of aids for transport by rail, road and inland waterway (OJ, English Special Edition 1970 (II), p.",0,[]
"), as last amended by Council Regulation (EC) No 543/97 of 17 March 1997 (OJ 1997 L 84, p.",0,[]
"), which is based on I - 4124 ITALY v COMMISSION Article 75 of the EC Treaty (now, after amendment, Article 71 EC) and Articles 77 and 94 of the Treaty, confirms that Articles 92 to 94 of the Treaty are to apply in the field concerned.",0,[]
The regulation also lays down certain special rules on the aid in question in so far as they relate specifically to activities in that sector.,0,['regulation lay rule']
It thus sets out the cases in and conditions on which Member States are entitled to adopt coordination measures or impose obligations inherent in the concept of a public service which involve the granting of State aid pursuant to Article 77 of the Treaty.,0,"['it set case', 'which involve granting']"
"Regarding the coordination of transport, Article 3(1 )(d) of Regulation No 1107/70 authorises, until the entry into force of Community rules on access to the transport market, aid granted as an exceptional and temporary measure in order to eliminate, as part of a reorganisation plan, excess capacity causing serious structural problems, and thus to contribute towards meeting the needs of the transport market more effectively.",0,['Article authorise aid']
"In the course of introducing a common transport policy, the international road haulage market was partially liberalised within the Community by Council Regulation No 1018/68 of 19 July 1968 on the establishment of a Community quota for the carriage of goods by road between Member States (Journal Officiel 1968 L 175, p.",0,[]
"), which introduced a quota system in In 1991 and 1992, for example, the Community quota consisted of 47 094 and 65 936 authorisations distributed among the various Member States in accordance with a specific formula.",0,['which introduce quota system']
The Italian Republic was allocated 5 550 authorisations in 1991 and 7 770 in 1992.,0,['Italian Republic allocate authorisation']
Community authorisations permitted their holders to carry goods between Member States for a period of one year.,0,['community authorisation permit holder']
"This system was kept in force up to 1 January 1993, the date on which this activity was fully liberalised by Council Regulation (EEC) No 881/92 of 26 March 1992 on access to the market in the carriage of goods by road within the Community to or from the territory of a Member State or passing across the territory of one or more Member States (OJ 1992 L 95, p.",0,[]
I-4125 JUDGMENT OF 29.,0,[]
"4 - CASE C-298/00 P 6 Regarding the market for the carriage of goods within a Member State, Council Regulation (EEC) No 4059/89 of 21 December 1989 laying down conditions under which non-resident carriers may operate national road haulage services within a Member State (OJ 1989 L 390, p.",0,"['number lay company dition', 'number lay OJ', 'number -resident carrier operate road haulage service']"
") made cabotage, that is to say, the carriage of goods within one Member State by a carrier established in another Member State, subject, with effect from 1 July 1990, to a transitional system in the form of a progressively increasing Community quota.",0,[]
"The total initial quota consisted of 15 000 cabotage authorisations valid for a period of two months, allocated among the Member States according to a given formula.",0,[]
"Within this framework, 1 767 authorisations were allocated to the Italian Republic.",0,[]
"Council Regulation (EEC) No 3118/93 of 25 October 1993 laying down conditions under which non-resident carriers may operate national road haulage services within a Member State (OJ 1993 L 279, p.",0,['number -resident carrier operate road haulage service']
") provided for the continuance of this transitional system, in the form of a total initial Community quota of 30 000 authorisations (including 3 520 for the Italian Republic), increasing by 30% a year until the definitive introduction of the full liberalisation of cabotage activities with effect from 1 July 1998.'",0,[]
"Factual background 3 The facts set out in this paragraph are taken from the findings of fact made by the Court of First Instance in the contested judgment as follows: '7 Articles 4, 7 and 8 of Friuli-Venezia Giulia Regional Law No 28 of 18 May 1981, on action to promote and develop transport of concern to the FriuliVenezia Giulia Region and the carriage of goods by road for hire or reward (""Law No 28/1981""), provided for certain aid for road haulage contractors established within that region.",0,[]
"I - 4126 ITALY v COMMISSION 8 The system introduced by Law No 28/1981 was replaced by Regional Law No 4 of 7 January 1985 on action to promote and develop transport of concern to the Friuli-Venezia Giulia Region and the carriage of goods by road for hire or reward (... hereinafter ""Law No 4/1985"").",0,[]
Articles 4 to 6 of Law No 4/1985 introduced a system of regional aid that was essentially identical to the system set up by Law No 28/1981.,0,['article introduce system']
"These laws provided for three measures in favour of road haulage contractors established in the Friuli-Venezia Giulia Region: (a) annual financing, over a maximum period of ten years, of up to 60% (for individual contractors) and 70% (for cooperatives and groups) of the reference rate laid down by Ministerial Decree, of interest on loans contracted for the purpose of (Articles 4 of Laws No 28/1981 and 4/1985): — developing the contractor's infrastructure (construction, purchase, expansion, completion and modernisation of premises required for its operations, including those to be used for the warehousing, storage and handling of goods); — purchasing, developing and renewing fixed and movable equipment, together with internal and road transport vehicles; (b) financing the cost of leasing, for a period of three or five years, new vehicles, trailers and semi-trailers and their swap-bodies, suitable for the operation of road haulage, together with the installations, machinery and I-4127 JUDGMENT OF 29.",0,[]
"4 - CASE C-298/00 P equipment for the use, maintenance and repair of vehicles and for the handling of goods, up to the level of 25% (for individual contractors) and 30% (for cooperatives and groups) of the purchase price of the assets.",0,[]
"This aid, laid down in Article 7 of Law No 28/1981 and Article 5 of Law No 4/1985, was reduced to 20% and then to 15% of the purchase price by subsequent regional laws; (c) annual financing, for groups and other forms of association, of up to 50% of investment to be used for the construction or purchase of installations and equipment required in pursuing the aims of the group or association, or contributing to the operation and development of service centres for housing, maintenance and repair of vehicles or related facilities and equipment (Article 8 of Law No 28/1981 and Article 6 of Law No 4/1985).",0,[]
