text,class,events
JUDGMENT OF 11.,0,[]
"4 — JOINED CASES C-183/02 P AND C-187/02 P JUDGMENT OF THE COURT (Second Chamber) 11 November 2004 s In Joined Cases C-183/02 P and C-187/02 P, TWO APPEALS under Article 49 of the EC Statute of the Court of Justice lodged on 15 and 16 May 2002, Daewoo Electronics Manufacturing España SA (Demesa), established in Vitoria (Spain), represented by A. Creus Carreras and B. Uriarte Valiente, abogados, appellant in Case C-183/02 P, Territorio Histórico de Álava — Diputación Foral de Álava, represented by A. Creus Carreras, B. Uriarte Valiente and Bravo-Ferrer Delgado, abogados, appellant in Case C-187/02 P, * Language of the case: Spanish.",1,[]
"I - 10628 DEMESA AND TERRITORIO HISTÓRICO DE ÁLAVA v COMMISSION supported by Comunidad Autónoma del País Vasco, represented by E. Garayar Gutiérrez, abogado, intervener in the appeal, the other parties to the proceedings being: Commission of the European Communities, represented by F. Santaolalla Gadea and J.L.",0,[]
"Buendía Sierra, acting as Agents, with an address for service in Luxembourg, defendant at first instance, Asociación Nacional de Fabricantes de Electrodomésticos de Línea Blanca (ANFEL), established in Madrid (Spain), and Conseil européen de la construction d'appareils domestiques (CECED), established in Brussels (Belgium), interveners at first instance, I - 10629 JUDGMENT OF 11.",0,[]
"4 - JOINED CASES C-183/02 P AND C-187/02 P THE COURT (Second Chamber), composed of: C.W.A.",0,[]
"Timmermans, President of the Chamber, C. Gulmann (Rapporteur) and N. Colneric, Judges, Advocate General: J. Kokott, Registrar: M. Mugica Arzamendi, Principal Administrator, having regard to the written procedure and further to the hearing on 11 March 2004. after hearing the Opinion of the Advocate General at the sitting on 6 May 2004, gives the following Judgment 1 By their appeals, Daewoo Electronics Manufacturing España SA ('Demesa') and the Territorio Histórico de Álava — Diputación Foral de Álava ('the Territorio Histórico de Álava') seek to have set aside the judgment of the Court of First Instance of the European Communities of 6 March 2002 in Joined Cases T-127/99, T-129/99 and T-148/99 Diputación Foral de Álava and Others v Commission [2002] ECR II-1275 ('the judgment under appeal'), whereby the Court of First Instance annulled in part Commission Decision 1999/718/EC of 24 February 1999 concerning State aid granted by Spain to Daewoo Electronics Manufacturing España SA (Demesa) (OJ I - 10630 DEMESA AND TERRITORIO HISTÓRICO DE ALAVA v COMMISSION 1999 L 292, p.",0,['<NAME> have regard']
"; 'the contested decision') and, for the remainder, dismissed their actions for annulment of that decision.",0,['company test decision']
"Legal framework 2 The tax arrangements in force in the Basque Country are governed by the Economic Agreement established by Spanish Law 12/1981 of 13 May 1981, as last amended by Law 38/1997 of 4 August 1997.",0,[]
"Under the Economic Agreement, the Diputación Foral de Álava (Álava Provincial Council) may, under certain conditions, organise the tax system within its territory.",0,['<ORG> organise tax system']
"On that basis, it adopted, inter alia, a tax measure in the form of a tax credit of 45% of the amount of the investment ('the tax credit of 45%' or 'the impugned tax measure').",0,['it adopt tax measure']
"The Sixth Additional Provision of Norma Foral (Regional Regulation) 22/1994 of 20 December 1994 implementing the 1995 budget of the Territorio Histórico de Álava {Boletín Oficial del Territorio Histórico de Álava No 5, of 13 January 1995) provides: 'Investments in new fixed assets made between 1 January 1995 and 31 December 1995, which exceed ESP 2 500 million, in accordance with the Diputación Foral de I - 10631 JUDGMENT OF 11.",0,"['Additional Provision provide investment', 'which exceed ESP']"
"4 - JOINED CASES C-183/02 P AND C-187/02 P Álava agreement, will receive a tax credit of 45% of the cost of investment determined by the Diputación Foral de Álava, to be applied to the definitive amount of tax payable.",0,['agreement receive tax credit']
Any tax credit not used up because it exceeds the amount of tax liability may be applied in the nine years following the year during which the Diputación Foral de Álava agreement was concluded.,0,['it exceed amount']
"The Diputación Foral de Álava agreement will lay down the time-limits, and any restrictions applicable in each case.",0,['lava agreement lay time limit']
The advantages granted under this provision will be incompatible with any other fiscal advantage in respect of the same investments.,0,[]
"The Diputación Foral de Álava will also determine the length of the investment process, which may include investments made during the preparation of the project which is at the root of the investments.'",0,"['lava determine length', 'which include investment']"
"The validity of that provision was extended for the years 1996 and 1997, then the tax credit of 45% was maintained, in an amended form, for the years 1998 and 1999, by subsequent Normas Forales.",0,[]
"I - 10632 DEMESA AND TERRITORIO HISTÓRICO DE ÁLAVA v COMMISSION Facts 7 On 13 March 1996, the Basque authorities and Daewoo Electronics Co.",0,[]
Ltd ('Daewoo Electronics') concluded a Cooperation Agreement in which Daewoo Electronics undertook to establish a refrigerator manufacturing plant in the Basque Country and the Basque regional authorities undertook in return to support the investment by providing a number of grants.,0,['company clude Cooperation Agreement']
The company set up by Daewoo Electronics was to draw up a business plan whose approval by the Basque authorities was a prerequisite for implementation of the agreement.,0,[]
"The business plan, which covered the period 1996 to 2001 and was presented to the Basque authorities in September 1996, provided for an investment of ESP 11 835 600 000 and the creation of 745 jobs.",0,['company ere period']
"On 7 October 1996, Demesa was incorporated under Spanish law as a wholly-owned subsidiary of Daewoo Electronics.",0,[]
"Under Decision 737/1997 of 21 October 1997 of the Diputación Foral de Álava,Demesa obtained the tax credit of 45% provided for in the Sixth Additional Provision of Norma Foral 22/1994.",0,['Demesa obtain tax credit']
"1 On 11 June 1996, the Asociación Nacional de Fabricantes de Electrodomésticos de Línea Blanca (ANFEL) submitted to the Commission of the European Communities a complaint against the Kingdom of Spain.",0,['<ORG> submit company plaint']
