text,label,events
"In accordance with the Court’s settled case-law, a classification as ‘aid’, within the meaning of Article 107(1) TFEU, requires that all the conditions set out in that provision are fulfilled (see judgment of 17 July 2008, Essent Netwerk Noord and Others, C‑206/06, EU:C:2008:413, paragraph 63 and the case-law cited).",prem,[]
That provision sets out four conditions.,prem,['provision set company dition']
"First, there must be intervention by the State or through State resources.",prem,[]
"Second, that intervention must be liable to affect trade between Member States.",prem,[]
"Third, it must confer an advantage on the recipient.",prem,['it company advantage']
"Fourth, it must distort or threaten to distort competition (see judgments of 24 July 2003, Altmark Trans and Regierungspräsidium Magdeburg, C‑280/00, EU:C:2003:415, paragraph 75; of 17 July 2008, Essent Netwerk Noord and Others, C‑206/06, EU:C:2008:413, paragraph 64; and of 19 December 2013, Association Vent De Colère! and Others, C‑262/12, EU:C:2013:851, paragraph 15).",prem,[]
"In this case, only the first of those conditions is at issue.",prem,[]
"As regards that condition, that the advantage must be granted directly or indirectly through State resources, it must be recalled that measures not involving a transfer of State resources may fall within the concept of ‘aid’, within the meaning of Article 107(1) TFEU (see, inter alia, judgments of 16 May 2002, France v Commission, C‑482/99, EU:C:2002:294, paragraph 36; of 30 May 2013, Doux Élevage and Coopérative agricole UKL-ARREE, C‑677/11, EU:C:2013:348, paragraph 34; and of 19 December 2013, Association Vent De Colère! and Others, C‑262/12, EU:C:2013:851, paragraph 19).",prem,[]
"Accordingly, the concept of intervention ‘through State resources’, within the meaning of that provision, is intended to cover, in addition to advantages granted directly by the State, those granted through a public or private body appointed or established by that State to administer the aid (see judgments of 13 March 2001, PreussenElektra, C‑379/98, EU:C:2001:160, paragraph 58; of 30 May 2013, Doux Élevage and Coopérative agricole UKL-ARREE, C‑677/11, EU:C:2013:348, paragraph 26; and of 19 December 2013, Association Vent De Colère! and Others, C‑262/12, EU:C:2013:851, paragraph 20).",prem,[]
"EU law cannot permit the rules on State aid to be circumvented merely through the creation of autonomous institutions charged with allocating aid (see judgment of 16 May 2002, France v Commission, C‑482/99, EU:C:2002:294, paragraph 23).",prem,[]
"Further, it must be recalled that, in accordance with the Court’s settled case-law, Article 107(1) TFEU covers all the financial means by which the public authorities may actually support undertakings, irrespective of whether or not those means are permanent assets of the State.",prem,"['company er mean', 'authority support undertaking']"
"Therefore, even if the sums corresponding to the measure in question are not permanently held by the Treasury, the fact that they constantly remain under public control, and therefore available to the competent national authorities, is sufficient for them to be categorised as ‘State resources’ (see judgments of 16 May 2002, France v Commission, C‑482/99, EU:C:2002:294, paragraph 37; of 17 July 2008, Essent Netwerk Noord and Others, C‑206/06, EU:C:2008:413, paragraph 70; of 30 May 2013, Doux Élevage and Coopérative agricole UKL-ARREE, C‑677/11, EU:C:2013:348, paragraph 35; and of 19 December 2013, Association Vent De Colère! and Others, C‑262/12, EU:C:2013:851, paragraph 21).",prem,[]
"It follows that, since the resources of public undertakings are subject to the control of the State and are therefore at its disposal, those resources fall within the scope of the concept of ‘State resources’, within the meaning of Article 107(1) TFEU.",prem,[]
