text,label,events
"Since Lico Leasing and PYMAR dispute the admissibility of the first complaint in the first part of the Commission’s first ground of appeal alleging an error of law in the identification of the beneficiaries of the advantages arising from the tax measures at issue on the ground that it is a question of fact, it is true that the assessment of facts and evidence does not constitute, save where the clear sense of the facts and evidence has been distorted, a question of law which is subject, as such, to review by the Court of Justice in the context of an appeal.",prem,"['<ORG> dispute admissibility', 'assessment number company stitute']"
"However, when the General Court has established or assessed the facts, the Court of Justice has jurisdiction under Article 256 TFEU to review the legal characterisation of those facts and the legal conclusions which have been drawn from them (judgments of 6 April 2006, General Motors v Commission, C‑551/03 P, EU:C:2006:229, paragraph 51; of 22 December 2008, British Aggregates v Commission, C‑487/06 P, EU:C:2008:757, paragraph 96, and of 20 December 2017, Comunidad Autónoma del País Vasco and Others v Commission, C‑66/16 P to C‑69/16 P, EU:C:2017:999, paragraph 97).",prem,['<ORG> have jurisdiction']
"By that complaint, the Commission does not dispute the facts on which the General Court relied, but the inferences which it drew from them, in particular those drawn from the tax transparency of the EIGs, in order to hold that the investors — the members of the EIGs — and not the EIGs themselves, were the beneficiaries of the advantages arising from the tax measures at issue.",prem,['<ORG> dispute fact']
"In doing so, the Commission seeks a review of the General Court’s legal classification relating to the beneficiaries of those advantages, which falls within the jurisdiction of the Court of Justice in the context of an appeal.",prem,['<ORG> seek review']
That complaint is therefore admissible.,prem,[]
"With regard to the Commission’s argument that the EIG and its members are part of an economic unit and are the beneficiaries of the advantages arising from the tax measures at issue, which Lico Leasing and PYMAR, and Bankia and Others claim is out of time, it must be pointed out that that argument was advanced before the General Court, as is apparent from paragraphs 167 and 168 of the judgment under appeal.",prem,[]
"Consequently, the pleas of inadmissibility raised against that argument are unfounded.",prem,[]
"As regards the substance, it must be recalled that EU competition law and, in particular, the prohibition under Article 107(1) TFEU apply to the activities of undertakings.",prem,[]
"The term ‘undertaking’, in this context, covers any entity engaged in an economic activity, regardless of its legal status and the way in which it is financed.",prem,[]
"Any activity consisting in offering goods or services on a given market is an economic activity (see, to that effect, judgment of 27 June 2017, Congregación de Escuelas Pías Provincia Betania, C‑74/16, EU:C:2017:496, paragraphs 39, 41 and 45 and the case-law cited).",prem,[]
"According to the settled case-law of the Court of Justice, classification of a national measure as ‘State aid’ for the purposes of Article 107(1) TFEU requires that all the conditions set out in that provision are fulfilled.",prem,[]
"First, there must be an intervention by the State or through State resources.",prem,[]
"Second, the intervention must be liable to affect trade between Member States.",prem,[]
"Third, it must confer a selective advantage on the recipient.",prem,['it fer advantage']
"Fourth, it must distort or threaten to distort competition (judgments of 10 June 2010, Fallimento Traghetti del Mediterraneo, C‑140/09, EU:C:2010:335, paragraph 31 and the case-law cited; of 21 December 2016, Commission v Hansestadt Lübeck, C‑524/14 P, EU:C:2016:971, paragraph 40, and of 21 December 2016, Commission v World Duty Free Group and Others, C‑20/15 P and C‑21/15 P, EU:C:2016:981, paragraph 53).",prem,[]
"As regards the condition relating to the existence of a selective advantage, in accordance with settled case-law interventions which, in any form whatsoever, are liable to favour undertakings directly or indirectly, or which must be regarded as economic advantages which the recipient undertaking would not have obtained under normal market conditions, are considered to be State aid.",prem,[]
"Thus, measures which, in various forms, mitigate the charges that are normally included in the budget of an undertaking and which therefore, without being subsidies in the strict meaning of the word, are similar in character and have the same effect are considered to constitute aid (judgment of 27 June 2017, Congregación de Escuelas Pías Provincia Betania, C‑74/16, EU:C:2017:496, paragraphs 65 and 66 and the case-law cited).",prem,['which mitigate charge']
"Article 107(1) TFEU does not distinguish between measures of State intervention by reference to their causes or their aims, but defines them on the basis of their effects, and thus independently of the techniques used (see, to that effect, judgments of 15 November 2011, Commission and Spain v Government of Gibraltar and United Kingdom, C‑106/09 P and C‑107/09 P, EU:C:2011:732, paragraphs 87, 92 and 93, and of 28 June 2018, Andres (liquidator in the insolvency of Heitkamp BauHolding) v Commission, C‑203/16 P, EU:C:2018:505, paragraph 91).",prem,[]
"As regards, in particular, national measures that confer a tax advantage, it must be recalled that a measure of that nature which, although not involving the transfer of State resources, places the recipients in a more favourable position than other taxpayers is capable of procuring a selective advantage for the recipients and, consequently, constitutes State aid, within the meaning of Article 107(1) TFEU.",prem,"['company fer tax advantage', 'number involve transfer', 'which place recipient', 'company stitute <ORG>']"
"On the other hand, a tax advantage resulting from a general measure applicable without distinction to all economic operators does not constitute such aid (see, to that effect, judgment of 15 November 2011, Commission and Spain v Government of Gibraltar and United Kingdom, C‑106/09 P and C‑107/09 P, EU:C:2011:732, paragraphs 72 and 73 and the case-law cited; see, also, judgments of 21 December 2016, Commission v World Duty Free Group and Others, C‑20/15 P and C‑21/15 P, EU:C:2016:981, paragraph 56, and of 28 June 2018, Andres (liquidator in the insolvency of Heitkamp BauHolding) v Commission, C‑203/16 P, EU:C:2018:505, paragraph 85).",prem,[]
"Similarly, the term ‘State aid’ does not refer to State measures which differentiate between undertakings and which are, therefore, prima facie selective where that differentiation arises from the nature or the overall structure of the system of which they form part (judgments of 21 December 2016, Commission v Hansestadt Lübeck, C‑524/14 P, EU:C:2016:971, paragraph 41, and of 28 June 2018, Andres (liquidator in the insolvency of Heitkamp BauHolding) v Commission, C‑203/16 P, EU:C:2018:505, paragraph 87).",prem,['they form part judgment']
"In the present case, in upholding the plea, raised by the Kingdom of Spain, and Lico Leasing and PYMAR, that the Commission had infringed Article 107(1) TFEU, in so far as the conditions relating to selectivity, the risk of distortion of competition and the effect on trade had not been fulfilled, since those conditions must be established, in their opinion, only with regard to the advantages obtained by the investors, the General Court, in paragraph 116 of the judgment under appeal, found that, although the EIGs had benefited from the three tax measures referred to in Article 1 of the decision at issue, it was the members of the EIGs who had benefited from the economic advantages arising from those three measures as a result of the tax transparency of the EIGs, and who were, moreover, referred to in the order for recovery imposed in Article 4(1) of that decision.",prem,['<ORG> infringe TFEU']
"In paragraph 117 of that judgment, it held that, in the absence of an economic advantage in favour of the EIGs, the Commission was wrong to conclude that they had benefited from State aid within the meaning of Article 107(1) TFEU.",prem,[]
"Therefore, in paragraph 118 of that judgment, it concluded that, ‘since it is the investors, and not the EIGs, that benefited from the tax and economic advantages resulting from the STL system, it is appropriate to examine … whether the advantages obtained by the investors are selective, are liable to distort competition and affect trade between Member States and whether the [decision at issue] contains a sufficient statement of reasons concerning the analysis of those criteria.’",prem,['decision tain statement']
"Having recalled in paragraph 164 of the judgment under appeal that the analysis of the advantages arising from the tax measures at issue in the decision at issue was also based on the finding that the STL system favoured certain activities, namely the acquisition of vessels through leasing contracts, in particular with a view to their bareboat chartering and subsequent resale, the General Court stated in paragraphs 171 and 176 of that judgment that that finding referred to the activities of the EIGs set up for the purposes of the STL system but did not relate to the industrial or economic activities of the members of the EIGs, who take shares in the EIGs as investors.",prem,"['STL system favour activity', 'who take share']"
It concluded in paragraphs 176 and 180 of that judgment that the selectivity of the tax measures at issue could not be established on the basis of that finding.,prem,[]
"It appears from those considerations that, without calling into question the Commission’s description of the STL system in the decision at issue, which is set out in the judgment under appeal and summarised in paragraphs 4 to 9 above, or, in particular, the findings that the tax measures at issue had been granted to the EIGs and had favoured the activities which they carried on, the General Court concluded that the EIGs could not be the beneficiaries of State aid solely on the ground that, as a result of the tax transparency of those groupings, it was the investors, and not the EIGs, who had benefited from the tax and economic advantages resulting from those measures.",prem,['tax measure grant to']
"In addition to the fact that it contradicts the finding in paragraph 116 of the judgment under appeal that the EIGs had benefited from the three tax measures referred to in Article 1 of the decision at issue, that conclusion incorrectly applies Article 107(1) TFEU.",prem,"['it tradict finding', 'company clusion apply TFEU']"
"According to the description of the STL system, the EIGs carried on an economic activity, namely the acquisition of vessels through leasing contracts, in particular with a view to their bareboat chartering and subsequent resale, from which it follows that they were undertakings within the meaning of Article 107(1) TFEU and the case-law recalled in paragraph 34 above, and from what the Commission stated in recital 126 of the decision at issue.",prem,['<ORG> carry activity']
"It was the EIGs which, first, applied to the tax authority, under Article 115(1) TRLIS, for the benefit of early depreciation of leased assets, which they were granted, and, secondly, left the normal corporate taxation system and opted for the tonnage tax system, as applied under Article 50(3) RIS.",prem,[]
"It was also the EIGs which collected the tax benefits in two stages, as has been stated in paragraph 9 above, by the combination of the tax measures at issue.",prem,[]
"The resulting economic advantages, according to the facts established in paragraph 5.3.2.6. of the decision at issue, corresponded to the advantages which the EIGs would not have achieved in the same operation by the sole application of general measures, namely the interest saved on the amounts of tax payments deferred by virtue of early depreciation, the amount of tax avoided or interest saved on tax deferred by virtue of the tonnage tax system and the amount of tax avoided on the capital gain made on the sale of the vessel.",prem,[]
"The STL system therefore involved the use of public resources in the form of lost tax revenue and unpaid interest, as was found in paragraph 5.3.3. of that decision.",prem,['<ORG> involve use']
"It is true that those advantages were transferred in full to the members of the EIGs because, with the EIGs being fiscally transparent as regards the members residing in Spain, the profits or losses made by the EIGs were automatically transferred to their members residing in that Member State pro rata to their shares.",prem,[]
"Nevertheless, the fact remains that the tax measures at issue were applied to the EIGs and that they were the direct beneficiaries of the advantages arising from those measures.",prem,[]
"Those advantages, according to recital 157 of the decision at issue, favoured the activity of acquiring vessels through leasing contracts, in particular with a view to their bareboat chartering and subsequent resale, carried on by the EIGs.",prem,['advantage favour activity']
