text,label,events
"In the first place, it should be recalled that by the Treaty of Lisbon a third limb was added to the fourth paragraph of Article 263 TFEU, relaxing the conditions of admissibility of actions for annulment brought by natural and legal persons.",prem,[]
"That limb, without subjecting the admissibility of actions for annulment brought by natural and legal persons to the condition of individual concern, allows such actions to be brought against ‘regulatory acts’ which do not entail implementing measures and are of direct concern to the applicant (see, to that effect, judgment of 3 October 2013, Inuit Tapiriit Kanatami and Others v Parliament and Council, C‑583/11 P, EU:C:2013:625, paragraph 57).",prem,[]
"As regards the concept of ‘regulatory acts’, the Court has held that its scope is more restricted than that of the concept of ‘acts’ used in the first and second limbs of the fourth paragraph of Article 263 TFEU and refers to acts of acts of general application other than legislative acts (see, to that effect, judgment of 3 October 2013, Inuit Tapiriit Kanatami and Others v Parliament and Council, C‑583/11 P, EU:C:2013:625, paragraphs 58 to 61).",prem,[]
"As the Advocate General observes in point 26 of his Opinion, the interpretation supported by the Commission, namely that there are non-legislative acts of general application, such as the decision at issue, that are not covered by the concept of ‘regulatory act’ within the meaning of the third limb of the fourth paragraph of Article 263 TFEU, cannot be accepted.",prem,['there be act']
"There is no basis for that interpretation in the wording, origin or purpose of that provision.",prem,['there be number basis']
"As regards, first, the wording of the provision, it refers to ‘regulatory acts’ generally and contains no indication that that reference is only to certain kinds or subcategories of those acts.",prem,[]
"As regards, next, the origin of the provision, it appears from the legislative history of Article III‑365(4) of the draft Treaty establishing a Constitution for Europe, the content of which was repeated in the same words in the fourth paragraph of Article 263 TFEU, that the addition of the third limb to that provision was intended to broaden the conditions of admissibility of actions for annulment with respect to natural and legal persons, and the only acts of general application for which a restrictive approach was to be maintained were legislative acts (see, in particular, Secretariat of the European Convention, Final report of the discussion circle on the Court of Justice, 25 March 2003 (CONV 636/03, point 22), and Cover note from the Praesidium to the Convention, 12 May 2003 (CONV 734/03, p. 20)).",prem,[]
"As regards, finally, the purpose of the third limb of the fourth paragraph of Article 263 TFEU, as may be seen from paragraphs 22, 23 and 26 above, its objective is to relax the conditions of admissibility of actions for annulment brought by natural and legal persons against all acts of general application, with the exception of those of a legislative nature.",prem,[]
To remove certain kinds or subcategories of non-legislative acts of general application from the scope of that provision would run counter to that objective.,prem,['remove run company nter']
"Consequently, it must be considered that the concept of ‘regulatory act’ within the meaning of the third limb of the fourth paragraph of Article 263 TFEU extends to all non-legislative acts of general application.",prem,[]
"Since the decision at issue is not a legislative act, the General Court did not err in law by confining itself, for the purpose of examining the regulatory nature of the three parts of that decision, to assessing whether those parts are of general application.",prem,"['<ORG> do number', '<ORG> do err', 'company fine itself']"
"In the second place, it should be recalled that, according to settled case-law of the Court, an act is of general application if it applies to objectively determined situations and produces legal effects with respect to categories of persons envisaged in a general and abstract manner (judgments of 11 July 1968, Zuckerfabrik Watenstedt v Council, 6/68, EU:C:1968:43, p. 415; of 15 January 2002, Libéros v Commission, C‑171/00 P, EU:C:2002:17, paragraph 28 and the case-law cited; and of 17 March 2011, AJD Tuna, C‑221/09, EU:C:2011:153, paragraph 51 and the case-law cited).",prem,[]
"Article 1(d) of Regulation No 659/1999 defines ‘aid scheme’ as ‘any act on the basis of which, without further implementing measures being required, individual aid awards may be made to undertakings defined within the act in a general and abstract manner and any act on the basis of which aid which is not linked to a specific project may be awarded to one or several undertakings for an indefinite period of time and/or for an indefinite amount’.",prem,"['article define aid scheme', 'aid award make to']"
"As regards the second limb of the fourth paragraph of Article 263 TFEU, the Court has repeatedly held in the field of State aid that decisions of the Commission authorising or prohibiting a national scheme are of general application.",prem,[]
"That general application derives from the fact that such decisions apply to objectively determined situations and produce legal effects with respect to a category of persons envisaged in a general and abstract manner (see, to that effect, judgments of 22 December 2008, British Aggregates v Commission, C‑487/06 P, EU:C:2008:757, paragraph 31; of 17 September 2009, Commission v Koninglijke Friesland/Campina, C‑519/07 P, EU:C:2009:556, paragraph 53 and the case-law cited; and of 28 June 2018, Lowell Financial Services v Commission, C‑219/16 P, not published, EU:C:2018:508, paragraph 42 and the case-law cited).",prem,[]
"As the Advocate General observes in points 48 and 49 of his Opinion, that case-law may be applied to the third limb of the fourth paragraph of Article 263 TFEU.",prem,[]
The issue of whether or not an act is of general application concerns an objective characteristic of the act which cannot vary according to the different limbs of the fourth paragraph of Article 263 TFEU.,prem,[]
"Moreover, an interpretation according to which an act could at the same time be of general application in relation to the second limb of the fourth paragraph of Article 263 TFEU and not be of general application in relation to the third limb of the fourth paragraph of Article 263 TFEU would run counter to the objective behind the addition of that provision, which was to relax the conditions of admissibility for annulment actions brought by natural or legal persons.",prem,['interpretation run company nter']
"Consequently, the General Court did not err in law in considering that the second and third parts of the decision at issue are of general application.",prem,['<ORG> do number']
"In the third place, as regards the first part of the decision at issue, it is true that, according to settled case-law of the Court, a recovery order is of individual concern to the beneficiaries of the aid scheme in question, in that, once such an order is adopted, they are exposed to the risk that the benefits they have received will be recovered and are therefore members of a restricted class (see, to that effect, judgments of 19 October 2000, Italy and Sardegna Lines v Commission, C‑15/98 and C‑105/99, EU:C:2000:570, paragraphs 33 to 35; of 29 April 2004, Italy v Commission, C‑298/00 P, EU:C:2004:240, paragraph 39; and of 9 June 2011, Comitato Venezia vuole vivere and Others v Commission, C‑71/09 P, C‑73/09 P and C‑76/09 P, EU:C:2011:368, paragraph 56).",prem,[]
"However, contrary to the Commission’s arguments, it cannot be deduced from that case-law that the first part of the decision at issue is not of general application and is therefore not regulatory.",prem,[]
It follows from that case-law that the fact that that part is of individual concern to the restricted class of beneficiaries of the aid scheme concerned does not preclude that part from being regarded as of general application where it applies to objectively determined situations and produces legal effects for categories of persons envisaged in a general and abstract manner.,prem,['fact preclude part']
That is so in the present case.,prem,[]
"Since the Commission considered, in the first part of the decision at issue, that it was not appropriate to order the recovery of the aid granted by virtue of the exemption from ICI despite its being unlawful and incompatible with the internal market, that decision preserves the anticompetitive effects of the general and abstract measure which that exemption constitutes with respect to an indefinite number of competitors of the beneficiaries of the aid granted under that measure.",prem,['decision preserve effect']
The decision therefore applies to objectively determined situations and produces legal effects for categories of persons envisaged in a general and abstract manner.,prem,[]
It follows that the General Court was entitled to consider that the first part of the decision at issue is of general application.,prem,[]
"According to settled case-law of the Court, the condition that a natural or legal person must be directly concerned by the decision against which the action is brought, laid down in the fourth paragraph of Article 263 TFEU, requires two cumulative criteria to be met, namely, first, the contested measure must directly affect the legal situation of the individual and, second, it must leave no discretion to its addressees who are entrusted with the task of implementing it, such implementation being purely automatic and resulting from the EU rules alone without the application of other intermediate rules (judgments of 5 May 1998, Glencore Grain v Commission, C‑404/96 P, EU:C:1998:196, paragraph 41 and the case-law cited; of 13 October 2011, Deutsche Post and Germany v Commission, C‑463/10 P and C‑475/10 P, EU:C:2011:656, paragraph 66; and order of 19 July 2017, Lysoform Dr. Hans Rosemann and Ecolab Deutschland v ECHA, C‑666/16 P, not published, EU:C:2017:569, paragraph 42).",prem,"['company dition require criterion', 'measure affect situation', 'it leave number discretion']"
"As regards specifically the rules on State aid, it must be noted that their objective is to preserve competition (see, to that effect, judgments of 15 June 2006, Air Liquide Industries Belgium, C‑393/04 and C‑41/05, EU:C:2006:403, paragraph 27 and the case-law cited, and of 17 July 2008, Essent Network Noord and Others, C‑206/06, EU:C:2008:413, paragraph 60).",prem,[]
"So, in that field, the fact that a Commission decision leaves intact all the effects of the national measures which the applicant, in a complaint addressed to that institution, claimed were not compatible with that objective and placed it in an unfavourable competitive position makes it possible to conclude that the decision directly affects its legal situation, in particular its right under the provisions on State aid of the FEU Treaty not to be subject to competition distorted by the national measures concerned (see, to that effect, judgment of 28 January 1986, Cofaz and Others v Commission, 169/84, EU:C:1986:42, paragraph 30).",prem,"['<ORG> leave intact', '<ORG> leave effect', 'decision affect situation']"
"In the present case, with respect to the first of the two criteria mentioned in paragraph 42 above, the General Court considered in substance, in paragraph 42 of the judgment of 15 September 2016, Scuola Elementare Maria Montessori v Commission (T‑220/13, not published, EU:T:2016:484), and paragraph 45 of the judgment of 15 September 2016, Ferracci v Commission (T‑219/13, EU:T:2016:485), that it was satisfied because the services offered by Mr Ferracci and Scuola Elementare Maria Montessori respectively were similar to those offered by the beneficiaries of the national measures assessed in the decision at issue and, consequently, the former ‘might be in a competitive relationship’ with the latter.",prem,[]
"As the Commission rightly submits, that reasoning is vitiated by an error of law.",prem,[]
"While it is not for the EU judicature, at the stage of the examination of admissibility, to rule definitively on the competitive relationships between an applicant and the beneficiaries of the national measures assessed in a decision of the Commission on State aid, such as the decision at issue (see, to that effect, judgments of 28 January 1986, Cofaz and Others v Commission, 169/84, EU:C:1986:42, paragraph 28, and of 20 December 2017, Binca Seafoods v Commission, C‑268/16 P, EU:C:2017:1001, paragraph 59), a direct effect on such an applicant cannot be deduced from the mere potential existence of a competitive relationship, such as that found in the judgments under appeal.",prem,[]
"Given that the condition of direct concern requires the contested measure to produce effects directly on the applicant’s legal situation, the EU judicature must ascertain whether the applicant has adequately explained the reasons why the Commission’s decision is liable to place him in an unfavourable competitive position and thus to produce effects on his legal situation.",prem,"['company dition require measure', 'applicant explain reason']"
"It must nonetheless be recalled that, if the grounds of a decision of the General Court reveal an infringement of EU law but the operative part of the judgment can be seen to be well founded on other legal grounds, that infringement is not capable of leading to the annulment of that decision and a substitution of grounds must be made (judgment of 26 July 2017, Council v LTTE, C‑599/14 P, EU:C:2017:583, paragraph 75 and the case-law cited).",prem,['ground reveal infringement']
That is the case here.,prem,[]
"It may be seen from the applications brought by Mr Ferracci and Scuola Elementare Maria Montessori before the General Court that they submitted, with evidence in support and without being contradicted by the Commission on this point, that their establishments were situated in the immediate vicinity of ecclesiastical or religious entities carrying on similar activities to theirs which were thus active in the same market for services and the same geographical market.",prem,[]
"In so far as such entities were a priori eligible for the national measures assessed in the decision at issue, it must be considered that Mr Ferracci and Scuola Elementare Maria Montessori have adequately explained the reasons why the decision at issue was liable to place them in an unfavourable competitive position and, consequently, that that decision directly affected their legal situation, in particular their right not to be subject in that market to competition distorted by the measures in question.",prem,"['<NAME> explain reason', 'decision affect situation', 'decision affect number']"
"Contrary to the arguments of the Commission, that conclusion is not called into question by the judgments of 28 April 2015, TL Sugars and Sidul Açúcares v Commission (C‑456/13 P, EU:C:2015:284), and of 17 September 2015, Confederazione Cooperative Italiane and Others v Anicav and Others (C‑455/13 P, C‑457/13 P and C‑460/13 P, not published, EU:C:2015:616).",prem,[]
"While the Court held in those judgments that the mere fact that provisions adopted as part of the common agricultural policy place an applicant in an unfavourable competitive position does not in itself allow it to be concluded that those provisions affect the applicant’s legal situation, that line of case-law cannot be transposed to actions brought by competitors of beneficiaries of State aid.",prem,"['provision place applicant', 'provision affect situation']"
