text,label,events
"By its first ground of appeal, which is in four parts, the appellant challenges the judgment of the Court of First Instance in so far as it found that the contested decision was defective in that it excluded from the scope of Article 92(1) of the Treaty the measures relating to (i) the amendment in 1985 and 1986 of the allocation of betting levies, (ii) the cash-flow benefits granted to the PMU as a result of the authorisation to defer payment of certain of those levies, (iii) the PMU's access to winnings unclaimed by bettors and (iv) the exemption from the one-month delay rule for the deduction of VAT in respect of the period after 1 January 1989.",prem,['appellant challenge judgment']
"In the first part of the first ground of appeal, the appellant contends that the Court of First Instance made several errors of law in holding that the three criteria relied on by the Commission in declining to categorise the measure concerning the reduction in the public levies for the benefit of the PMU as State aid were not an appropriate basis for ruling out the existence of aid for the purposes of Article 92(1) of the Treaty.",prem,['<ORG> make error']
"The appellant maintains, first of all, that in reaching that conclusion the Court of First Instance gave insufficient grounds, contrary to Article 190 of the EC Treaty (now Article 253 EC), for certain steps in its reasoning, that it failed to adopt a position with regard to certain crucial factors relied on both by the Commission, in the contested decision and in its pleadings before the Court of First Instance, and by the appellant itself, in its statement in intervention, and that it based part of its reasoning on false premisses.",prem,"['<ORG> give ground', 'it base part']"
It should be noted at the outset that the appellant's argument relates to the nature and scope of review of the Commission's assessment as to whether a measure adopted by national authorities is to be categorised as State aid.,prem,[]
"According to the appellant, the particular nature of the review of State aid means that, when the court carrying out the review is called on to assess the facts of the case in the light of legal criteria, it must limit itself to satisfying itself that there is no manifest error of assessment.",prem,"['it limit itself', 'there be error']"
"That form of review cannot be reserved for special circumstances, whose existence is in any event often difficult to ascertain.",prem,[]
"Consequently, the Court of First Instance erred in law in its definition of the nature of the review which it was to carry out in that it stated, in essence, that in the absence of special circumstances, arising in particular from the complex nature of the State intervention in question, review by it is not to be confined to determining whether there has been a manifest error of assessment as to whether aid is involved.",prem,[]
"The short answer to that is that State aid, as defined in the Treaty, is a legal concept which must be interpreted on the basis of objective factors.",prem,[]
"For that reason, the Community courts must in principle, having regard both to the specific features of the case before them and to the technical or complex nature of the Commission's assessments, carry out a comprehensive review as to whether a measure falls within the scope of Article 92(1) of the Treaty.",prem,['<ORG> carry review']
The Court of First Instance therefore did not err in law so far as concerns the scope of judicial review of the Commission's assessments.,prem,"['<ORG> do number', 'company cern scope']"
"Second, the appellant alleges that, in its review of the present case, the Court of First Instance incorrectly assessed the arguments relied on by the Commission when finding that the measure reducing the public levies was not caught by Article 92(1).",prem,['<ORG> assess argument']
"The appellant maintains that the Court of First Instance wrongly failed to verify whether the criteria adopted by the Commission were justified, as stated in the contested decision, by the nature and scheme of the particular system at issue, whose existence the Court of First Instance indeed acknowledged.",prem,[]
"It accordingly erred in law, decisively affecting the outcome of the case.",prem,[]
"The appellant argues that, in the context of regimes applicable to the economy as a whole, consideration of the compatibility of particular measures with Article 92(1) of the Treaty by reason of the nature and scheme of the system of which they form part is essential where the issue is one of distinguishing mechanisms which may constitute State aid from others which are not caught by Article 92(1) precisely because they are justified by the nature and scheme of the system.",prem,"['they form part', 'which stitute state aid']"
The Court of First Instance could therefore not avoid consideration of whether there was such a justification here before categorising the measure at issue as aid.,prem,['there be justification']
"As to that, it is clear from paragraph 76 of the judgment under appeal that the Court of First Instance not only was aware of the specific nature of the tax regime applicable to horse-race betting in France but also took account of it.",prem,[]
"Furthermore, the appellant's reasoning is founded on an incorrect analysis of the contested decision.",prem,[]
"As the Advocate General states in points 25 and 26 of his Opinion, the Commission did not rely, a priori and in vague terms, on the particular nature of the French system of fiscal levies on horse-race betting in order to decide that the reduction in the public levies was not State aid.",prem,[]
"On the contrary, it applied three criteria of interpretation from which it derived the three propositions set out in paragraph 5 of this judgment, in order to reach the conclusion that that reduction amounted not to State aid but to a reform in the form of a ""tax"" adjustment that is justified by the nature and economy of the system in question.",prem,"['it apply criterion', 'it derive proposition']"
There is thus no substance to the proposition that the criterion relating to the nature and scheme of the system is independent of the other three criteria or constitutes the legal basis of the Commission's assessment.,prem,"['there be number substance', 'company stitute basis']"
