text,label,events
"It is settled case‑law that the General Court is obliged to reject as inadmissible a head of claim in an application brought before it if the essential matters of law and of fact on which the head of claim is based are not indicated coherently and intelligibly in the application itself (Case C‑214/05 P Rossi v OHIM [2006] ECR I‑7057, paragraph 37, and order of 13 March 2007 in Case C‑150/06 P Arizona Chemical and Others v Commission , not published in the ECR, paragraph 45).",prem,[]
"The General Court was entitled, after pointing out that, under Article 44(1)(c) of its Rules of Procedure, any application must state the subject‑matter of the proceedings and a summary of the pleas in law on which the application is based in a manner which is sufficiently clear and precise to enable the defendant to prepare his defence and the General Court to give a ruling, to reject the argument alleging infringement of Article 88 EC and Regulation No 659/1999 as inadmissible on the ground that it did not satisfy those conditions.",prem,"['application state subjectmatter', '<ORG> give ruling', 'it satisfy company dition']"
"The application before the General Court failed to identify in a clear, unequivocal, coherent and intelligible manner in what way the contested decision infringed those provisions.",prem,['decision infringe provision']
"Moreover, AEP has failed to produce before the Court of Justice any concrete evidence to demonstrate that the application presented before the General Court satisfied those conditions.",prem,['application satisfy company dition']
"In particular, it is not sufficient to claim that the reference to those provisions was to be read in conjunction with the arguments concerning the error in the identification of the beneficiary of the aid at issue, since the application at first instance did not make that connection clear or specify in what way the purported error would result in infringement of those provisions.",prem,[]
"Since AEP and Electrabel challenge the General Court’s finding that the Commission was entitled to consider AEP and ACEA as forming an economic unit for the purpose of the earlier aid and the aid at issue, it is necessary to determine whether that court was entitled, without erring in law, to confirm the contested decision on that point.",prem,[]
"According to the established case‑law of the Court, following a restructuring entailing a transfer of production facilities from one company to other newly constituted manufacturing companies, since the former company continues to have an interest in those newly constituted manufacturing companies, all those companies may, as far as the aid granted is concerned, together form a single group, notwithstanding the fact that each of the newly constituted manufacturing companies has a legal personality separate from the former company (see, to that effect, Case 323/82 Intermills v Commission [1984] ECR 3809, paragraph 11).",prem,"['aid form group', 'company panie withstand fact']"
"The former company and the new operating companies can form an economic unit, inter alia, where the restructuring carried out constitutes an indivisible whole, from an industrial and economic point of view (see, to that effect, Intermills v Commission , paragraph 12).",prem,"['<ORG> form unit', 'restructuring stitute whole']"
"It is also apparent from the Court’s case‑law that an entity which, owning controlling shareholdings in a company, actually exercises that control by involving itself directly or indirectly in the management thereof must be regarded as taking part in the economic activity carried on by the controlled undertaking (Case C‑222/04 Cassa di Risparmio di Firenze and Others [2006] ECR I‑289, paragraphs 112 and 118).",prem,['which exercise company trol']
"If that is not the case, the simple separation of an undertaking into two different entities, the first of which pursues directly the former economic activity and the second of which controls the first, being fully involved in its management, would be sufficient to deprive the rules of the European Union relating to State aid of their practical effect.",prem,"['first pursue activity', 'second trol first', 'company trol first']"
"It would enable the second entity to benefit from subsidies or other advantages granted by the State or by means of State resources and to use them in whole or in part for the benefit of the former, in the interest, also, of the economic unit formed by the two entities ( Cassa di Risparmio di Firenze and Others , paragraph 114).",prem,['it enable entity']
"What may reveal that it is possible to exercise functions relating to control, direction and financial support – going beyond the simple placing of capital by an investor – and illustrate the existence of organic and functional links between an entity owning a controlling shareholding in a company and the controlled company itself, is the fact that members of the management committee and the controlling body of that entity are appointed to the equivalent bodies of the controlled company (see, to that effect, Cassa di Risparmio di Firenze and Others , paragraphs 116 and 117).",prem,[]
"In the present case, neither AEP nor Electrabel have disputed the following findings of the General Court: first, that court found, at paragraph 103 of the judgment under appeal, that ACEA was the original beneficiary of the aid at issue, that the branch of the undertaking receiving that aid was transferred from ACEA to AEP and that the latter carries on the activity of that branch of the undertaking.",prem,"['<ORG> dispute finding', 'latter carry activity']"
"The General Court also stated, at paragraph 142 of the judgment under appeal, that the marketing of the energy produced by AEP was carried out by AE Trading, in which AceaElectrabel has a 84.17% holding, ACEA having, in turn, a 59.41% holding in AceaElectrabel.",prem,"['<ORG> have holding', '<ORG> have holding']"
"Second, the General Court stated, at paragraph 109 of the judgment under appeal, that AEP is linked to both ACEA and Electrabel and that ACEA holds a majority of the capital in AceaElectrabel, which itself holds 50% of the capital in AEP and, at paragraph 111 of the judgment, that ACEA expressly affirmed that it has joint control over AEP, together with Electrabel.",prem,"['<ORG> hold majority', 'which hold 50', 'it have company trol']"
"Third, the General Court pointed out, at paragraph 119 of the judgment under appeal, that, although Electrabel is represented by eight members out of twelve on AEP’s board of directors and by four members out of six on its executive committee, the agreement of one of the members representing ACEA is required for the most important matters, which gives it the power to block decisions.",prem,"['which give it', 'which give power']"
"It is apparent from the case‑law cited at paragraphs 47 and 48 above that, in such circumstances, the Commission was entitled to take the view, without overstepping the bounds of its discretion, that, following the restructuring carried out by ACEA with the support of Electrabel, ACEA and AEP form part of an indivisible whole in so far as the earlier aid and the aid at issue are concerned, since that restructuring entailed the transfer of the branch of the undertaking in question from ACEA to AEP, AEP continued the activities of that branch of the undertaking, ACEA retained an interest in AEP and the energy generated by AEP was marketed by AE Trading, which was controlled by ACEA through its majority holding in AceaElectrabel.",prem,"['<ORG> form part', 'restructuring entail transfer', '<ORG> tinue activity', '<ORG> retain interest']"
"Moreover, in the light of the case‑law referred to at paragraphs 49 and 51 above, it is apparent from those findings that the Commission was entitled to take the view that, since it had holdings giving it joint control in AEP, ACEA in fact exercised that control by involving itself directly or indirectly in the management of that company by means of both the presence of its representatives on AEP’s board of directors and on its executive committee and its majority holding in AceaElectrabel, which in turn held 50% of the capital in AEP.",prem,"['it have holding', '<ORG> exercise company trol', 'which hold 50']"
"Moreover, the General Court pointed out, at paragraph 125 of the judgment under appeal, first, that the agreement allocating the branch of the undertaking transferred from ACEA to AEP contained a clause precluding any possible dispute concerning that branch and, second, that ACEA had already, at that point, contested the earlier decision.",prem,"['agreement taine clause', '<ORG> test decision']"
"In such circumstances, the General Court cannot be criticised for having erred in taking the view, at paragraph 130 of the judgment under appeal, that the Commission has established in the present case that the restructuring carried out by ACEA together with Electrabel could have given rise to the risk of circumvention of the recovery order in the earlier decision.",prem,['restructuring give rise']
