text,label,events
"In the first place, as regards the plea alleging breach of the conditions laid down in the fourth paragraph of Article 230 EC, it should be made clear at the outset that Article 4 of Regulation No 659/1999 provides for a stage at which the aid measures notified undergo a preliminary examination, the purpose of which is to enable the Commission to form an initial view as to whether the aid notified is compatible with the common market.",prem,"['it make clear', 'aid measure number undergo examination']"
"On completion of that stage, the Commission is to make a finding either that the measure does not constitute aid or that it falls within the scope of Article 87(1) EC.",prem,['measure number aid']
"In the latter case, it may be that the measure does not raise doubts as to its compatibility with the common market;",prem,['measure raise doubt']
"on the other hand, it is also possible that the measure may raise such doubts.",prem,['measure raise doubt']
"If, following the preliminary examination, the Commission finds that, notwithstanding the fact that the measure notified falls within the scope of Article 87(1) EC, it does not raise any doubts as to its compatibility with the common market, the Commission is to adopt a decision not to raise objections under Article 4(3) of Regulation No 659/1999.",prem,['it raise doubt']
"Where the Commission adopts a decision not to raise objections, it declares not only that the measure is compatible with the common market, but also – by implication – that it refuses to initiate the formal investigation procedure laid down in Article 88(2) EC and Article 6(1) of Regulation No 659/1999.",prem,"['<ORG> adopt decision number', 'it declare number']"
"If, following the preliminary examination, it finds that the measure notified raises doubts as to its compatibility with the common market, the Commission is required to adopt, on the basis of Article 4(4) of Regulation No 659/1999, a decision initiating the formal investigation procedure under Article 88(2) EC and Article 6(1) of that regulation.",prem,['measure number raise doubt']
"Under the latter provision, such a decision is to call upon the Member State concerned and upon other interested parties to submit comments within a prescribed period which must not as a rule exceed one month.",prem,[]
"In the present case, the contested decision is a decision not to raise objections, adopted under Article 4(3) of Regulation No 659/1999, the lawfulness of which depends on whether there are doubts as to the compatibility of the aid with the common market.",prem,['there be doubt']
"Since such doubts must trigger the initiation of a formal investigation procedure in which the interested parties referred to in Article 1(h) of Regulation No 659/1999 can participate, it must be held that any interested party within the meaning of the latter provision is directly and individually concerned by such a decision.",prem,['doubt trigger initiation']
"If the beneficiaries of the procedural guarantees provided for in Article 88(2) EC and Article 6(1) of Regulation No 659/1999 are to be able to ensure that those guarantees are respected, it must be possible for them to challenge before the European Union judicature the decision not to raise objections (see, to that effect, Case C‑78/03 P Commission v Aktionsgemeinschaft Recht und Eigentum [2005] ECR I‑10737, paragraph 35 and the case-law cited; Case C‑487/06 P British Aggregates v Commission [2008] ECR I‑10515, paragraph 28; and Case C‑319/07 P 3F v Commission [2009] ECR I‑5963, paragraph 31 and the case-law cited).",prem,"['they challenge decision number', 'they challenge Case', 'case law cite Case']"
"Accordingly, the specific status of ‘interested party’ within the meaning of Article 1(h) of Regulation No 659/1999, in conjunction with the specific subject-matter of the action, is sufficient to distinguish individually, for the purposes of the fourth paragraph of Article 230 EC, the applicant contesting a decision not to raise objections.",prem,[]
"In the present case, first, it emerges from the judgment under appeal and, in particular, from paragraph 16 of that judgment that, by their action, Kronoply and Kronotex sought the annulment of a decision not to raise objections, adopted under Article 4(3) of Regulation No 659/1999.",prem,['<ORG> seek annulment']
"Secondly, in paragraph 77 of the judgment under appeal, the General Court found, in essence, that Kronoply and Kronotex had to be regarded as interested parties within the meaning of Article 1(h) of Regulation No 659/1999.",prem,[]
"In the second place, the Commission and ZSG claim that the General Court altered the subject-matter of the action in so far as it examined, in the context of the second plea alleging disregard for the interested parties’ procedural guarantees, the arguments raised in the context of the first plea, contesting the merits of the decision not to raise objections.",prem,['<ORG> alter subject matter']
