text,label,events
"As the Advocate General has observed in points 40 and 41 of her Opinion, the concept of a ‘regulatory act which … does not entail implementing measures’, within the meaning of the final limb of the fourth paragraph of Article 263 TFEU, is to be interpreted in the light of that provision’s objective, which, as is clear from its origin, consists in preventing an individual from being obliged to infringe the law in order to have access to a court.",prem,[]
"Where a regulatory act directly affects the legal situation of a natural or legal person without requiring implementing measures, that person could be denied effective judicial protection if he did not have a direct legal remedy before the European Union judicature for the purpose of challenging the legality of the regulatory act.",prem,"['act affect situation', 'person company deny protection', 'he have remedy']"
"In the absence of implementing measures, natural or legal persons, although directly concerned by the act in question, would be able to obtain a judicial review of that act only after having infringed its provisions, by pleading that those provisions are unlawful in proceedings initiated against them before the national courts.",prem,[]
"It should be explained in this regard, first, that where a regulatory act entails implementing measures, judicial review of compliance with the European Union legal order is ensured irrespective of whether those measures are adopted by the European Union or the Member States.",prem,[]
"Natural or legal persons who are unable, because of the conditions governing admissibility laid down in the fourth paragraph of Article 263 TFEU, to challenge a regulatory act of the European Union directly before the European Union judicature are protected against the application to them of such an act by the ability to challenge the implementing measures which the act entails.",prem,[]
"Where responsibility for the implementation of such acts lies with the institutions, bodies, offices or agencies of the European Union, natural or legal persons are entitled to bring a direct action before the European Union judicature against the implementing acts under the conditions stated in the fourth paragraph of Article 263 TFEU, and to plead in support of that action, pursuant to Article 277 TFEU, the illegality of the basic act at issue.",prem,[]
"Where that implementation is a matter for the Member States, those persons may plead the invalidity of the basic act at issue before the national courts and tribunals and cause the latter to request a preliminary ruling from the Court of Justice, pursuant to Article 267 TFEU (Case C-583/11 P Inuit Tapiriit Kanatami and Others v Parliament and Council [2013] ECR, paragraph 93).",prem,"['person plead invalidity', 'latter request ruling']"
"Second, as the Advocate General has observed in point 48 of her Opinion, the question whether a regulatory act entails implementing measures should be assessed by reference to the position of the person pleading the right to bring proceedings under the final limb of the fourth paragraph of Article 263 TFEU.",prem,[]
It is therefore irrelevant whether the act in question entails implementing measures with regard to other persons.,prem,[]
"Third, in order to determine whether the measure being challenged entails implementing measures, reference should be made exclusively to the subject-matter of the action and, where an applicant seeks only the partial annulment of an act, it is solely any implementing measures which that part of the act may entail that must, as the case may be, be taken into consideration.",prem,['applicant seek annulment']
It is in the light of those explanations that the third plea relied upon by Telefónica in support of its appeal should be examined.,prem,[]
