text,label,events
"First of all, it should be noted that the Practice directions to parties are indicative and have no binding force.",prem,[]
"As is apparent from recitals 1 to 3 of those directions, they were adopted in order to supplement and clarify the rules applicable to the conduct of proceedings before the Court, in the interest of the proper administration of justice, and are not intended to replace the relevant provisions of the Statute of the Court of Justice of the European Union and the Rules of Procedure of the Court (see, to that effect, order of the President of the Court of 30 April 2010, Ziegler v Commission, C‑113/09 P(R), not published, EU:C:2010:242, paragraph 33).",prem,[]
"It is therefore clearly apparent from the wording of paragraph 20 of those practice directions, which state that ‘the appeal …, unless there are special circumstances, should not exceed 25 pages’, that that recital does not set out an absolute limitation on the number of pages to which the admissibility of such an appeal is subject, but that it merely provides a recommendation in that regard to the parties.",prem,"['there be circumstance', 'recital set limitation', 'it provide recommendation']"
It follows that the appeal may not be rejected as inadmissible on the ground that it exceeds a certain number of pages.,prem,['it exceed number']
"Secondly, it should be noted that, according to the second subparagraph of Article 256(1) TFEU, the first paragraph of Article 58 of the Statute of the Court of Justice of the European Union and Article 168(1)(d) of the Rules of Procedure, an appeal must, on penalty of being deemed inadmissible, indicate precisely the contested elements of the judgment which the appellant seeks to have set aside and the legal arguments specifically advanced in support of the appeal, failing which the appeal or the ground of appeal in question will be dismissed as inadmissible (see, inter alia, judgment of 10 July 2014, Telefónica and Telefónica de España v Commission, C‑295/12 P, EU:C:2014:2062, paragraph 29 and the case-law cited).",prem,['company test element']
"Moreover, it follows from those same provisions that an appeal is inadmissible in so far as it merely repeats the pleas in law and arguments previously submitted to the General Court, including those based on facts expressly rejected by it.",prem,['it repeat plea']
"Such an appeal amounts in reality to no more than a request for re-examination of the application submitted to the General Court, which the Court of Justice does not have jurisdiction to undertake on appeal (see judgment of 30 May 2013, Quinn Barlo and Others v Commission, C‑70/12 P, not published, EU:C:2013:351, paragraph 26 and the case-law cited).",prem,['<ORG> have jurisdiction']
"By contrast, provided that the appellant challenges the interpretation or application of EU law by the General Court, the points of law examined at first instance may be discussed again in the course of an appeal.",prem,['appellant challenge interpretation']
"Indeed, if an appellant could not thus base his appeal on pleas in law and arguments already relied on before the General Court, an appeal would be deprived of part of its purpose (see judgment of 30 May 2013, Quinn Barlo and Others v Commission, C‑70/12 P, not published, EU:C:2013:351, paragraph 27 and the case-law cited).",prem,['appellant company ld number base appeal']
"In the present case, it should be noted that it is apparent from the review of the appeal that DTS has set out clearly and precisely the paragraphs of the judgment under appeal referred to in its grounds of appeal, as well as the reasons why that judgment, in its submission, is vitiated by errors of law.",prem,['<ORG> set paragraph']
