text,label,events
"According to the settled case-law of the Court, classification as ‘State aid’ within the meaning of Article 107(1) TFEU requires that all the conditions set out in that provision are fulilled.",prem,[]
"Thus, first, there must be intervention by the State or through State resources;",prem,[]
"second, the intervention must be liable to affect trade between Member States;",prem,[]
"third, it must confer a selective advantage on the recipient;",prem,['it fer advantage']
"fourth, it must distort or threaten to distort competition (judgments of 21 December 2016, Commission v Hansestadt Lübeck, C‑524/14 P, EU:C:2016:971, paragraph 40, and of 21 December 2016, Commission v World Duty Free Group and Others, C‑20/15 P and C‑21/15 P, EU:C:2016:981, paragraph 53).",prem,[]
"The concept of ‘aid’ embraces not only positive benefits, such as subsidies, but also measures which, in various forms, mitigate the charges which are normally included in the budget of an undertaking and which, therefore, without being subsidies in the strict sense of the word, are similar in character and have the same effect (judgment of 21 March 2013, Commission v Buczek Automotive, C‑405/11 P, not published, EU:C:2013:186, paragraph 30).",prem,"['company cept embrace benefit', 'which mitigate charge']"
"However, the conditions which a measure must meet in order to be treated as ‘aid’ for the purposes of Article 107 TFEU are not met if the recipient undertaking could, in circumstances which correspond to normal market conditions, have obtained the same advantage as that which has been made available to it through State resources (judgment of 24 January 2013, Frucona Košice v Commission, C‑73/11 P, EU:C:2013:32, paragraph 70 and the case-law cited).",prem,"['recipient obtain advantage', 'which make available']"
"When a public creditor grants payment facilities in respect of a debt payable to it by an undertaking, that assessment is made by applying, in principle, the private creditor test (judgment of 21 March 2013, Commission v Buczek Automotive, C‑405/11 P, not published, EU:C:2013:186, paragraph 32).",prem,['creditor grant payment facility']
"Accordingly, the private creditor test is not an exception which applies only if a Member State so requests, when all the constituent elements of State aid incompatible with the common market, as laid down in Article 107(1) TFEU, exist.",prem,[]
"In fact, that test, where applicable, is among the factors which the Commission is required to take into account for the purposes of establishing whether such aid exists (see, to that effect, judgments of 5 June 2012, Commission v EDF, C‑124/10 P, EU:C:2012:318, paragraph 103, and of 21 March 2013, Commission v Buczek Automotive, C‑405/11 P, not published, EU:C:2013:186, paragraph 32).",prem,[]
"As a result, where it appears that the private creditor test might be applicable, it is for the Commission to ask the Member State concerned to provide it with all the relevant information enabling it to determine whether the conditions for applying that test are satisfied (judgment of 21 March 2013, Commission v Buczek Automotive, C‑405/11 P, not published, EU:C:2013:186, paragraph 33).",prem,['<ORG> ask Member state company']
"In the first place, it is clear from that case-law of the Court that, when it appears that the private creditor test might be applicable, it is for the Commission to examine that possibility, irrespective of any request to that effect.",prem,['<ORG> examine possibility']
"Accordingly, as the Advocate General noted in points 72 and 76 of his Opinion, nothing prevents the recipient of the aid from invoking the applicability of that test and, if the recipient does invoke that test, it falls to the Commission to assess whether the test needs to be applied and, if so, to assess its application.",prem,"['number hing prevent recipient', 'recipient invoke test']"
"In the second place, as regards the relevance of the subjective state of mind, it must be noted, as the Advocate General pointed out in point 74 of his Opinion, that the starting point for determining whether the private operator test is to be applied must be the economic nature of the Member State’s action, not how that Member State, subjectively speaking, thought it was acting or which alternative courses of action it considered before adopting the measure in question.",prem,[]
"In any case, the private creditor test is intended to determine whether the recipient undertaking would manifestly not have obtained comparable facilities from a private creditor in a situation as close as possible to that of the public creditor that sought to recover sums due to it by a debtor in financial difficulty (judgment of 24 January 2013, Frucona Košice v Commission, C‑73/11 P, EU:C:2013:32, paragraph 72) and, accordingly, whether that undertaking could, in circumstances which correspond to normal market conditions, have obtained the same advantage as that which has been made available to it through State resources (judgment of 24 January 2013, Frucona Košice v Commission, C‑73/11 P, EU:C:2013:32, paragraph 70).",prem,"['recipient undertaking obtain facility', 'undertaking company ld obtain advantage', 'which make available']"
"It follows from this that the assessment which the Commission is required, where appropriate, to carry out cannot be limited to just the options that the competent public authority actually took into consideration, but must necessarily cover all the options that a private creditor would reasonably have envisaged in such a situation.",prem,[]
