text,label,events
"Following the delivery of the Advocate General’s Opinion, Viasat, by letter of 3 January 2017, requested the Court to reopen the oral part of the procedure.",prem,['<ORG> request <ORG>']
"In support of its request, Viasat submits that the Advocate General’s Opinion distorts some of its arguments and raises separate arguments which were not debated between the parties.",prem,['Advocate Generals Opinion distort some']
"It should be borne in mind that, according to Article 83 of the Rules of Procedure of the Court of Justice, that court may, at any time, after hearing the Advocate General, order the reopening of the oral part of the procedure, in particular if it considers that it lacks sufficient information or where a party has, after the close of that part of the procedure, submitted a new fact which is of such a nature as to be a decisive factor for the decision of the Court, or where the case must be decided on the basis of an argument which has not been debated between the parties or the interested persons referred to in Article 23 of the Statute of the Court of Justice of the European Union.",prem,"['<ORG> order reopening', 'it lack information', 'party submit fact']"
"However, the Statute and those Rules make no provision for interested parties to submit observations in response to the Advocate General’s Opinion (judgment of 4 September 2014, Vnuk, C‑162/13, EU:C:2014:2146, paragraph 30 and the case-law cited).",prem,"['Statute make number provision', 'party submit observation']"
"In that regard, it follows from the second paragraph of Article 252 TFEU that it is the duty of the Advocate General, acting with complete impartiality and independence, to make, in open court, reasoned submissions on cases which require his involvement.",prem,['which require involvement']
The Court is not bound either by the Advocate General’s Opinion or by the reasoning on which it is based.,prem,[]
"Consequently, a party’s disagreement with the Opinion of the Advocate General, irrespective of the questions examined in that Opinion, cannot in itself constitute grounds justifying the reopening of the oral procedure (see judgment of 21 December 2016, Council v Front Polisario, C‑104/16 P, EU:C:2016:973, paragraphs 60 and 61 and the case-law cited).",prem,[]
"The Court therefore considers, having heard the Advocate General, that it has before it all the necessary information to give judgment and that the information has been the subject of debate between the parties.",prem,['it have information']
"By its first ground of appeal, Viasat claims that the General Court erred in law in finding that the Commission was not required, in its assessment under Article 106(2) TFEU, to take the second and fourth Altmark conditions into consideration in order to ascertain whether compliance with those conditions would have obstructed the performance by TV2 of the tasks assigned to it.",prem,['company pliance obstruct performance']
"In this connection it must be recalled that, for a national measure to be categorised as State aid within the meaning of Article 107(1) TFEU, there must, first, be an intervention by the State or through State resources;",prem,[]
"second, the intervention must be liable to affect trade between Member States;",prem,[]
"third, it must confer a selective advantage on the recipient and, fourth, it must distort or threaten to distort competition (see, to that effect, judgment of 2 September 2010, Commission v Deutsche Post, C‑399/08 P, EU:C:2010:481, paragraph 39 and the case-law cited).",prem,['it fer advantage']
"Since those conditions are cumulative, a State measure cannot be characterised as State aid if one of them is not satisfied.",prem,[]
"By contrast, if all those conditions are met, that measure constitutes State aid and, accordingly, unless it is covered by a derogation provided for by the Treaties, is incompatible with the internal market.",prem,['measure company stitute <ORG>']
"So far as concerns the third criterion for characterising a measure as State aid, it is settled case-law that measures which, whatever their form, are likely directly or indirectly to favour certain undertakings or are to be regarded as an economic advantage which the recipient undertaking would not have obtained under normal market conditions are regarded as State aid (see judgment of 30 June 2016, Belgium v Commission, C‑270/15 P, EU:C:2016:489, paragraph 34).",prem,['measure regard judgment']
"However, the Court has stated that, where a State measure must be regarded as compensation for the services provided by the recipient undertakings in order to discharge public service obligations, so that those undertakings do not enjoy a real financial advantage and the measure thus does not have the effect of putting them in a more favourable competitive position than the undertakings competing with them, such a measure is not caught by Article 107(1) TFEU (see judgment of 24 July 2003, Altmark Trans and Regierungspräsidium Magdeburg, C‑280/00, EU:C:2003:415, paragraph 87).",prem,['measure have effect']
"In accordance with paragraphs 88 to 93 of the judgment of 24 July 2003, Altmark Trans and Regierungspräsidium Magdeburg (C‑280/00, EU:C:2003:415), in order for such a measure not to be characterised as State aid a number of conditions must be met.",prem,[]
"First, the recipient undertaking must actually have public service obligations to discharge, and the obligations must be clearly defined.",prem,['recipient undertaking have service obligation']
"Second, the parameters on the basis of which the compensation is calculated must be established in advance in an objective and transparent manner.",prem,[]
"Third, the compensation must not exceed what is necessary to cover all or part of the costs incurred in discharging the public service obligations.",prem,[]
"Fourth, the level of compensation needed must be determined on the basis of an analysis of the costs which a typical undertaking, well run and adequately equipped so as to be able to meet the necessary public service requirements, would have incurred in discharging those obligations.",prem,[]
"If the conditions referred to in the previous paragraph were not met, the State measure at issue would be deemed to confer a selective advantage on the recipient undertaking and if, moreover, the other criteria set out in Article 107(1) TFEU were met, that measure would constitute aid in principle incompatible with the internal market.",prem,"['<ORG> deem advantage', 'measure stitute aid']"
"Article 106(2) TFEU provides that undertakings entrusted with the operation of services of general economic interest are to be subject to the rules contained in the Treaties, in particular to the rules on competition, in so far as the application of such rules does not obstruct the performance, in law or in fact, of the particular tasks assigned to them and that the development of trade must not be affected to such an extent as would be contrary to the interests of the Union.",prem,[]
"As is provided by case-law, the wording of Article 106(2) TFEU itself shows that exemptions to the Treaty rules are permitted provided that they are necessary for performance of the particular tasks assigned to an undertaking entrusted with the operation of a service of general economic interest (see, to that effect, judgments of 23 October 1997, Commission v France, C‑159/94, EU:C:1997:501, paragraph 54 and of 28 February 2013, Ordem dos Técnicos Oficiais de Contas, C‑1/12, EU:C:2013:127, paragraph 106).",prem,[]
"In that regard, it is clear from the Court’s case-law that it is not necessary that the financial balance or economic viability of the undertaking entrusted with the operation of a service of general economic interest should be threatened.",prem,[]
"It is sufficient that, in the absence of the rights at issue, it would not be possible for the undertaking to perform the particular tasks entrusted to it, or that maintenance of those rights is necessary to enable the holder of them to perform tasks of general economic interest which have been assigned to it under economically acceptable conditions (judgment of 15 November 2007, International Mail Spain, C‑162/06, EU:C:2007:681, paragraph 35 and the case-law cited).",prem,['undertaking perform task']
"In allowing derogations to be made from the general rules of the Treaty in certain circumstances, Article 106(2) TFEU seeks to reconcile the Member States’ interest in using certain undertakings, in particular in the public sector, as an instrument of economic or fiscal policy with the Union’s interest in ensuring compliance with the rules on competition and the preservation of the unity of the common market (see, to that effect, judgment of 23 October 1997, Commission v France, C‑159/94, EU:C:1997:501, paragraph 55).",prem,['market see judgment']
"As set out in paragraph 21 above, Viasat submits that the Commission was required to examine, in its assessment under Article 106(2) TFEU, whether meeting the second and the fourth Altmark conditions would have obstructed the performance by TV2 of the tasks assigned to it.",prem,['meet obstruct performance']
"It must be pointed out in this connection that in order to assess a measure under Article 106(2) TFEU, the Commission is not required, contrary to what is claimed by the appellant, to examine whether the conditions laid down by the case-law in Altmark, in particular the second and fourth of those conditions, are met.",prem,[]
"As the General Court indeed held in paragraph 63 of the judgment under appeal, verification of the conditions laid down in the Altmark case-law occurs upstream, that is to say in the examination of the issue of whether the measures at issue must be characterised as State aid.",prem,[]
"That issue must be resolved before the one which consists in examining, where necessary, if incompatible aid is nevertheless necessary to the performance of the tasks assigned to the recipient of the measure at issue, under Article 106(2) TFEU.",prem,[]
"By contrast, the conditions laid down in the Altmark case-law are no longer to be applied where the Commission, having found that a measure must be characterised as aid, in particular in so far as the recipient undertaking is unable to pass the test of comparison with a typical undertaking, well run and adequately equipped so as to be able to meet the necessary public-service requirements, examines whether that aid can be justified under Article 106(2) TFEU.",prem,[]
