text,class,events
"Reports of Cases JUDGMENT OF THE COURT (Grand Chamber) 6 November 2018 * (Appeal — State aid — Decision declaring the recovery of State aid incompatible with the internal market to be impossible — Decision finding that there is no State aid — Actions for annulment brought by competitors of beneficiaries of State aid — Admissibility — Regulatory act not entailing implementing measures — Direct concern — Concept of ‘absolute impossibility’ of recovery of State aid incompatible with the internal market — Concept of ‘State aid’ — Concepts of ‘undertaking’ and ‘economic activity’) In Joined Cases C-622/16 P to C-624/16 P, THREE APPEALS under Article 56 of the Statute of the Court of Justice of the European Union, brought on 25 November 2016, Scuola Elementare Maria Montessori Srl, established in Rome (Italy), represented by E. Gambaro and F. Mazzocchi, avvocati, appellant, the other parties to the proceedings being: European Commission, represented by D. Grespan, P. Stancanelli and F. Tomat, acting as Agents, defendant at first instance, Italian Republic, represented by G. Palmieri, acting as Agent, and G. De Bellis and S. Fiorentino, avvocati dello Stato, intervener at first instance (C-622/16 P), European Commission, represented by P. Stancanelli, D. Grespan and F. Tomat, acting as Agents, appellant, the other parties to the proceedings being: Scuola Elementare Maria Montessori Srl, established in Rome, represented by E. Gambaro and F. Mazzocchi, avvocati, applicant at first instance, * Language of the case: Italian.",0,"['there be action', ' bring petitor', ' entail measure', ' bring number', ' establish rome', ' represent gambaro', ' represent grespan', ' act agent', ' represent palmieri', ' act agent', ' represent stancanelli', ' act agent', ' establish rome', ' represent gambaro']"
EN ECLI:EU:C:2018:873 1 JUDGMENT OF 6.,0,[]
"8 — JOINED CASES C-622/16 P TO C-624/16 P SCUOLA ELEMENTARE MARIA MONTESSORI V COMMISSION, COMMISSION V SCUOLA ELEMENTARE MARIA MONTESSORI AND COMMISSION V FERRACCI Italian Republic, represented by G. Palmieri, acting as Agent, and G. De Bellis and S. Fiorentino, avvocati dello Stato, intervener at first instance (C-623/16 P), and European Commission, represented by P. Stancanelli, D. Grespan and F. Tomat, acting as Agents, appellant, the other parties to the proceedings being: Pietro Ferracci, residing in San Cesareo (Italy), applicant at first instance, Italian Republic, represented by G. Palmieri, acting as Agent, and G. De Bellis and S. Fiorentino, avvocati dello Stato, intervener at first instance (C-624/16 P), THE COURT (Grand Chamber), composed of K. Lenaerts, President, R. Silva de Lapuerta, Vice-President, J.-C.",0,"[' represent palmieri', ' act agent', ' represent stancanelli', ' act agent', ' reside cesareo', ' represent palmieri', ' act agent', ' pose lenaerts']"
"Bonichot, A. Arabadjiev, A. Prechal, T. von Danwitz (Rapporteur) and C. Toader, Presidents of Chambers, D. Šváby, M. Berger, C.G.",0,[]
"Fernlund and C. Vajda, Judges, Advocate General: M. Wathelet, Registrar: V. Giacobbo-Peyronnel, Administrator, having regard to the written procedure and further to the hearing on 6 February 2018, after hearing the Opinion of the Advocate General at the sitting on 11 April 2018, gives the following Judgment 1 By their appeals in Cases C-622/16 P and C-623/16 P Scuola Elementare Maria Montessori Srl and the European Commission seek to have set aside the judgment of the General Court of the European Union of 15 September 2016, Scuola Elementare Maria Montessori v Commission (T-220/13, not published, EU:T:2016:484), dismissing as unfounded the action brought by Scuola Elementare Maria Montessori for the annulment of Commission Decision 2013/284/EU of 19 December 2012 on State aid SA.20829 (C 26/2010, ex NN 43/2010 (ex CP 71/2006)) Scheme concerning the municipal real estate tax exemption granted to real estate used by non-commercial entities for specific purposes implemented by Italy (OJ 2013 L 166, p.",0,"[' have regard', ' hear opinion', ' hear sitting', ' hear april', 'fernlund give judgment', 'case seek ', 'srl seek ', ' to have set judgment', ' dismiss action', ' bring montessori', ' bring annulment', ' cerne exemption', ' use entity', ' use purpose', ' implement oj']"
", ‘the decision at issue’).",0,[]
"By its appeal in Case C-624/16 P the Commission seeks to have set aside the judgment of the General Court of 15 September 2016, Ferracci v Commission (T-219/13, EU:T:2016:485), dismissing as unfounded the action brought by Mr Pietro Ferracci for the annulment of the decision at issue.",0,"['commission seek ', ' to have set judgment', ' dismiss action', ' bring ferracci', ' bring annulment']"
ECLI:EU:C:2018:873 2 JUDGMENT OF 6.,0,[]
"8 — JOINED CASES C-622/16 P TO C-624/16 P SCUOLA ELEMENTARE MARIA MONTESSORI V COMMISSION, COMMISSION V SCUOLA ELEMENTARE MARIA MONTESSORI AND COMMISSION V FERRACCI Legal context 3 Article 1(d) of Council Regulation (EC) No 659/1999 of 22 March 1999 laying down detailed rules for the application of Article [108 TFEU] (OJ 1999 L 83, p.",0,[' lay rule']
") defines ‘aid scheme’ as ‘any act on the basis of which, without further implementing measures being required, individual aid awards may be made to undertakings defined within the act in a general and abstract manner and any act on the basis of which aid which is not linked to a specific project may be awarded to one or several undertakings for an indefinite period of time and/or for an indefinite amount’.",0,"[' define scheme', ' define act', 'measure be require ', 'award may be make ', ' define act', ' define manner', 'which be link project', ' may be award period']"
"Article 14(1) of that regulation states: ‘Where negative decisions are taken in cases of unlawful aid, the Commission shall decide that the Member State concerned shall take all necessary measures to recover the aid from the beneficiary (hereinafter referred to as a “recovery decision”).",0,"['article state ', 'decision be take case', 'commission shall decide ', 'company shall take measure', ' to recover aid', ' to recover beneficiary', ' refer decision']"
"The Commission shall not require recovery of the aid if this would be contrary to a general principle of Community law.’ Background to the disputes 5 For the purposes of the present proceedings, the background to the disputes, as set out in paragraphs 1 to 20 of the judgments of the General Court of 15 September 2016, Scuola Elementare Maria Montessori v Commission (T-220/13, not published, EU:T:2016:484), and of 15 September 2016, Ferracci v Commission (T-219/13, EU:T:2016:485), (together ‘the judgments under appeal’) may be summarised as follows.",0,"['commission shall require recovery', ' set paragraph', 'background may be summarise ']"
Mr Ferracci is the owner of a tourist bed and breakfast establishment consisting of two bedrooms.,0,[' siste bedroom']
Scuola Elementare Maria Montessori is a private educational establishment.,0,[]
"In 2006 and 2007 they brought complaints to the Commission, claiming that, first, the amendment to the scope of the national scheme of the Imposta comunale sugli immobili (municipal tax on real property, ‘ICI’) by the Italian Republic and, second, Article 149(4) of the Testo unico delle imposte sui redditi (single text of taxes on income, ‘the TUIR’) constituted State aid that was not compatible with the internal market.",0,"['they bring plaint', 'they bring commission', 'company stitute aid']"
"The amendment to the scope of ICI aimed essentially to establish that the exemption from that tax enjoyed from 1992 by non-commercial entities carrying on, on their real property, exclusively social assistance, welfare, health care, educational, accommodation, cultural, recreational, sports and religious activities should be understood as also applicable to those activities ‘even if they were of a commercial nature’.",0,"['amendment aim ', ' enjoy 1992', ' enjoy entity', ' carry assistance', ' carry property', 'exemption should be understand ']"
Article 149(4) of the TUIR essentially exempted ecclesiastical bodies recognised as legal persons governed by civil law and amateur sports clubs from the application of the criteria laid down in that provision for all other entities for the purpose of determining the loss of the status of non-commercial entity.,0,"['article exempt body', 'article exempt application', 'article exempt purpose', ' recognise person', ' govern law', ' lay provision', ' determine loss']"
On 12 October 2010 the Commission decided to open the formal investigation procedure under Article 108(2) TFEU concerning the exemption from ICI and Article 149(4) of the TUIR.,0,"['commission decide ', ' to open procedure', ' to open article', ' cerne exemption']"
"On 15 February 2012 the Italian authorities informed the Commission that they intended to adopt new rules on the municipal tax on real property and announced that the exemption from ICI would be replaced as from 1 January 2012 by the exemption under the new rules on the Imposta municipale unica (single municipal tax, ‘IMU’).",0,"['authority inform commission', 'they intend ', ' to adopt rule', 'authority announce ', 'exemption would be replace exemption']"
Those rules were adopted on 19 November 2012.,0,['rule be adopt ember']
"On 19 December 2012 the Commission adopted the decision at issue, in which it found, first, that the exemption granted under the ICI rules to non-commercial entities carrying on specific activities on their real property constituted State aid that was incompatible with the internal market and had been unlawfully implemented by the Italian Republic, in breach of Article 108(3) TFEU.",0,"['commission adopt decision', 'it find ', ' grant rule', ' carry activity', ' carry company', 'exemption stitute aid', 'that have be implement republic', 'that have be implement breach']"
"Next, the Commission considered that, in view of the particular circumstances of the case, it would be ECLI:EU:C:2018:873 3 JUDGMENT OF 6.",0,['company sidere ']
"8 — JOINED CASES C-622/16 P TO C-624/16 P SCUOLA ELEMENTARE MARIA MONTESSORI V COMMISSION, COMMISSION V SCUOLA ELEMENTARE MARIA MONTESSORI AND COMMISSION V FERRACCI absolutely impossible for the Italian Republic to recover the unlawful aid, so that the Commission did not order it to do so in the decision at issue.",0,['republic to recover aid']
"Finally, the Commission found that neither Article 149(4) of the TUIR nor the exemption under the new IMU scheme constituted State aid within the meaning of Article 107(1) TFEU.",0,"['commission find ', 'number stitute aid', 'number stitute meaning']"
"The actions before the General Court and the judgments under appeal By applications lodged with the Registry of the General Court on 16 April 2013, Mr Ferracci and Scuola Elementare Maria Montessori each brought an action for the annulment of the decision at issue, in so far as the Commission had found in that decision that it would be impossible for the Italian authorities to recover the aid considered to be unlawful and incompatible with the internal market (‘the first part of the decision at issue’), that Article 149(4) of the TUIR did not constitute State aid (‘the second part of the decision at issue’), and that the same applied to the new IMU scheme (‘the third part of the decision at issue’).",0,"[' lodge registry', ' lodge april', 'ferracci bring action', 'commission have find decision', 'authority to recover part', 'same apply scheme']"
"By documents lodged with the Registry of the General Court on 17 July 2013, the Commission raised objections of inadmissibility, which were joined to the substance by orders of the General Court of 29 October 2014.",0,"[' lodge registry', ' lodge july', 'commission raise objection', 'which be join substance', 'which be join order']"
"In the judgments under appeal the General Court declared both actions admissible under the third limb of the fourth paragraph of Article 263 TFEU, taking the view that the decision at issue was a regulatory act of direct concern to Mr Ferracci and Scuola Elementare Maria Montessori which did not entail implementing measures with respect to them.",0,"['court declare limb', ' take view', 'which do entail ', ' implement measure']"
The General Court dismissed both actions on the substance.,0,['court dismiss action']
"Procedure before the Court of Justice and forms of order sought By its appeal in Case C-622/16 P, Scuola Elementare Maria Montessori asks the Court to: –  set aside the judgment of the General Court of 15 September 2016, Scuola Elementare Maria Montessori v Commission (T-220/13, not published, EU:T:2016:484), and consequently annul the decision at issue in so far as the Commission decided not to order recovery of the aid granted by means of the exemption from ICI and found that the measures relating to the exemption from IMU did not fall within the scope of Article 107(1) TFEU; –  in any event, set aside those parts of that judgment covered by such grounds of appeal as the Court may find valid and well founded; and –  order the Commission to pay the costs at first instance and on appeal.",0,"[' seek appeal', 'montessori ask court', ' to set judgment', ' annul decision', 'commission decide number', ' to order recovery', ' grant mean', ' relate exemption', 'measure do fall scope', 'measure do fall event', ' set part', ' ere ground', 'court may find valid', ' order commission', ' to pay t', ' to pay instance']"
"The Commission, supported by the Italian Republic, contends that the Court should: –  dismiss the appeal in its entirety; and –  order the applicant to pay the costs of the present proceedings and those at first instance.",0,"[' support republic', 'commission tend ', 'court should dismiss appeal', 'court should dismiss entirety', 'court order applicant', ' to pay t', ' to pay proceeding']"
"By its appeals in Cases C-623/16 P and C-624/16 P, the Commission, supported by the Italian Republic, asks the Court to: –  set aside the judgments under appeal in so far as the General Court declared the actions at first instance admissible on the basis of the third limb of the fourth paragraph of Article 263 TFEU; ECLI:EU:C:2018:873 4 JUDGMENT OF 6.",0,"[' support republic', 'commission ask court', ' to set judgment', 'court declare ']"
"8 — JOINED CASES C-622/16 P TO C-624/16 P SCUOLA ELEMENTARE MARIA MONTESSORI V COMMISSION, COMMISSION V SCUOLA ELEMENTARE MARIA MONTESSORI AND COMMISSION V FERRACCI –  declare the actions at first instance inadmissible on the basis of the second and third limbs of the fourth paragraph of Article 263 TFEU, and consequently dismiss them in their entirety; and –  order Mr Ferracci and Scuola Elementare Maria Montessori to pay the costs incurred by the Commission both in the proceedings before the General Court and in the present proceedings.",0,"['case declare ', 'case dismiss they', 'case dismiss entirety', ' order ferracci', ' to pay t', ' incur commission', ' incur proceeding']"
"Scuola Elementare Maria Montessori contends that the Court should: –  dismiss the Commission’s appeal in Case C-623/16 P and uphold the judgment of 15 September 2016, Scuola Elementare Maria Montessori v Commission (T-220/13, not published, EU:T:2016:484), in so far as the General Court declared admissible the action brought by it against the decision at issue; and –  order the Commission to pay the costs of the present proceedings.",0,"['company tend ', 'court should dismiss appeal', 'court uphold judgment', 'court declare ', ' bring it', 'court order commission', ' to pay t']"
"By decision of the President of the Court of 11 April 2017, Cases C-622/16 P to Case C-624/16 P were joined for the purposes of the oral procedure and the judgment.",0,['case be join purpose']
"The Commission’s appeals in Cases C-623/16 P and C-624/16 P In support of its appeals in Cases C-623/16 P and C-624/16 P, the Commission, supported by the Italian Republic, puts forward a single ground of appeal divided into three parts, arguing that the General Court misinterpreted and misapplied each of the three cumulative conditions in the third limb of the fourth paragraph of Article 263 TFEU.",0,"[' support republic', 'commission put ground', ' divide part', 'court misinterpret ', 'court misapply each']"
First part Arguments of the parties The Commission submits that the classification of the decision at issue as a regulatory act is vitiated by errors of law.,0,"['commission submit ', 'classification be vitiate error']"
"First, the General Court wrongly considered that any non-legislative act of general application is necessarily a regulatory act.",0,['court sidere ']
"Second, the General Court wrongly deduced the regulatory nature of the decision at issue from the general application of the national measures which formed its subject matter.",0,"['court deduce nature', 'court deduce application', 'which form matter']"
"Third, in that the first part of the decision at issue concerned a limited class of persons, the General Court should not, in any event, have found that all three parts of the decision at issue were of general application.",0,"['part cerne class', 'court should have find ']"
Scuola Elementare Maria Montessori disputes those arguments.,0,['montessori dispute argument']
"Findings of the Court In the first place, it should be recalled that by the Treaty of Lisbon a third limb was added to the fourth paragraph of Article 263 TFEU, relaxing the conditions of admissibility of actions for annulment brought by natural and legal persons.",1,"['it should be recall ', 'limb be add paragraph', ' relax dition', ' bring person']"
"That limb, without subjecting the admissibility of actions for annulment brought by natural and legal persons to the condition of individual concern, allows such actions to be brought against ‘regulatory acts’ which do not entail implementing measures and are of direct concern to the applicant (see, to that effect, judgment of 3 October 2013, Inuit Tapiriit Kanatami and Others v Parliament and Council, C-583/11 P, EU:C:2013:625, paragraph 57).",1,"[' subject admissibility', ' subject dition', ' bring person', 'limb allow ', 'action to be bring act', 'which do entail ', ' implement measure', ' see judgment', ' see effect']"
ECLI:EU:C:2018:873 5 JUDGMENT OF 6.,1,[]
"8 — JOINED CASES C-622/16 P TO C-624/16 P SCUOLA ELEMENTARE MARIA MONTESSORI V COMMISSION, COMMISSION V SCUOLA ELEMENTARE MARIA MONTESSORI AND COMMISSION V FERRACCI As regards the concept of ‘regulatory acts’, the Court has held that its scope is more restricted than that of the concept of ‘acts’ used in the first and second limbs of the fourth paragraph of Article 263 TFEU and refers to acts of acts of general application other than legislative acts (see, to that effect, judgment of 3 October 2013, Inuit Tapiriit Kanatami and Others v Parliament and Council, C-583/11 P, EU:C:2013:625, paragraphs 58 to 61).",1,"[' regard cept', 'court have hold ', ' use limb', 'court refer act', ' see judgment', ' see effect']"
"As the Advocate General observes in point 26 of his Opinion, the interpretation supported by the Commission, namely that there are non-legislative acts of general application, such as the decision at issue, that are not covered by the concept of ‘regulatory act’ within the meaning of the third limb of the fourth paragraph of Article 263 TFEU, cannot be accepted.",1,"['general observe point', ' support commission', 'there be act', 'interpretation can be not accept ']"
"There is no basis for that interpretation in the wording, origin or purpose of that provision.",1,"['there be basis', 'there be wording']"
"As regards, first, the wording of the provision, it refers to ‘regulatory acts’ generally and contains no indication that that reference is only to certain kinds or subcategories of those acts.",1,"[' regard wording', 'it refer act']"
"As regards, next, the origin of the provision, it appears from the legislative history of Article III-365(4) of the draft Treaty establishing a Constitution for Europe, the content of which was repeated in the same words in the fourth paragraph of Article 263 TFEU, that the addition of the third limb to that provision was intended to broaden the conditions of admissibility of actions for annulment with respect to natural and legal persons, and the only acts of general application for which a restrictive approach was to be maintained were legislative acts (see, in particular, Secretariat of the European Convention, Final report of the discussion circle on the Court of Justice, 25 March 2003 (CONV 636/03, point 22), and Cover note from the Praesidium to the Convention, 12 May 2003 (CONV 734/03, p.",1,"[' regard origin', 'it appear history', ' establish constitution', 'tent be repeat word', 'addition be intend ', ' to broaden dition', ' see secretariat']"
"As regards, finally, the purpose of the third limb of the fourth paragraph of Article 263 TFEU, as may be seen from paragraphs 22, 23 and 26 above, its objective is to relax the conditions of admissibility of actions for annulment brought by natural and legal persons against all acts of general application, with the exception of those of a legislative nature.",1,"[' regard purpose', ' may be see paragraph', ' to relax dition', ' to relax act', ' bring person']"
To remove certain kinds or subcategories of non-legislative acts of general application from the scope of that provision would run counter to that objective.,1,"[' to remove kind', ' to remove scope', 'remove would run nter', 'remove would run objective']"
"Consequently, it must be considered that the concept of ‘regulatory act’ within the meaning of the third limb of the fourth paragraph of Article 263 TFEU extends to all non-legislative acts of general application.",1,"['it must be sidere ', 'cept extend act']"
"Since the decision at issue is not a legislative act, the General Court did not err in law by confining itself, for the purpose of examining the regulatory nature of the three parts of that decision, to assessing whether those parts are of general application.",1,"['court do number', 'court do err', 'court do law', 'court do purpose', 'company fine itself', ' examine nature']"
"In the second place, it should be recalled that, according to settled case-law of the Court, an act is of general application if it applies to objectively determined situations and produces legal effects with respect to categories of persons envisaged in a general and abstract manner (judgments of 11 July 1968, Zuckerfabrik Watenstedt v Council, 6/68, EU:C:1968:43, p.",0,"['it should be recall ', ' accord law', 'it apply situation', 'it produce effect', ' envisage judgment']"
"; of 15 January 2002, Libéros v Commission, C-171/00 P, EU:C:2002:17, paragraph 28 and the case-law cited; and of 17 March 2011, AJD Tuna, C-221/09, EU:C:2011:153, paragraph 51 and the case-law cited).",1,[]
"Article 1(d) of Regulation No 659/1999 defines ‘aid scheme’ as ‘any act on the basis of which, without further implementing measures being required, individual aid awards may be made to undertakings defined within the act in a general and abstract manner and any act on the basis of which aid which is not linked to a specific project may be awarded to one or several undertakings for an indefinite period of time and/or for an indefinite amount’.",1,"['article define scheme', 'article define act', 'award may be make ', ' define act', ' define manner', 'which be link project', ' may be award period']"
"As regards the second limb of the fourth paragraph of Article 263 TFEU, the Court has repeatedly held in the field of State aid that decisions of the Commission authorising or prohibiting a national scheme are of general application.",1,"[' regard limb', 'court have hold field', 'commission authorise ', 'commission prohibit scheme']"
"That general application derives from the fact that such decisions apply to objectively determined situations and produce legal effects with respect to a category of persons envisaged in a general and abstract manner (see, to that effect, judgments of 22 December 2008, British Aggregates v Commission, C-487/06 P, EU:C:2008:757, paragraph 31; of 17 September 2009, Commission v Koninglijke Friesland/Campina, C-519/07 P, EU:C:2009:556, paragraph 53 and the case-law cited; and of 28 June 2018, Lowell Financial Services v Commission, C-219/16 P, not published, EU:C:2018:508, paragraph 42 and the case-law cited).",1,"['application derive fact', 'decision apply situation', 'decision produce effect', ' envisage manner', ' see judgment', ' see effect']"
"As the Advocate General observes in points 48 and 49 of his Opinion, that case-law may be applied to the third limb of the fourth paragraph of Article 263 TFEU.",1,"['general observe point', 'law may be apply limb']"
The issue of whether or not an act is of general application concerns an objective characteristic of the act which cannot vary according to the different limbs of the fourth paragraph of Article 263 TFEU.,1,"['which can not vary ', ' accord limb']"
"Moreover, an interpretation according to which an act could at the same time be of general application in relation to the second limb of the fourth paragraph of Article 263 TFEU and not be of general application in relation to the third limb of the fourth paragraph of Article 263 TFEU would run counter to the objective behind the addition of that provision, which was to relax the conditions of admissibility for annulment actions brought by natural or legal persons.",1,"[' accord which', 'company ld ', 'interpretation would run nter', 'interpretation would run objective', ' to relax dition', ' bring person']"
"Consequently, the General Court did not err in law in considering that the second and third parts of the decision at issue are of general application.",1,"['court do number', 'court do sidering']"
"In the third place, as regards the first part of the decision at issue, it is true that, according to settled case-law of the Court, a recovery order is of individual concern to the beneficiaries of the aid scheme in question, in that, once such an order is adopted, they are exposed to the risk that the benefits they have received will be recovered and are therefore members of a restricted class (see, to that effect, judgments of 19 October 2000, Italy and Sardegna Lines v Commission, C-15/98 and C-105/99, EU:C:2000:570, paragraphs 33 to 35; of 29 April 2004, Italy v Commission, C-298/00 P, EU:C:2004:240, paragraph 39; and of 9 June 2011, Comitato ‘Venezia vuole vivere’ and Others v Commission, C-71/09 P, C-73/09 P and C-76/09 P, EU:C:2011:368, paragraph 56).",1,"[' regard part', ' accord law', 'order be adopt ', 'they be expose risk', 'they have receive ', 'benefit will be recover ', ' see effect']"
"However, contrary to the Commission’s arguments, it cannot be deduced from that case-law that the first part of the decision at issue is not of general application and is therefore not regulatory.",1,['it can be not deduce law']
It follows from that case-law that the fact that that part is of individual concern to the restricted class of beneficiaries of the aid scheme concerned does not preclude that part from being regarded as of general application where it applies to objectively determined situations and produces legal effects for categories of persons envisaged in a general and abstract manner.,1,"['it follow law', 'fact do preclude part', 'it apply situation', 'it produce effect', ' envisage manner']"
That is so in the present case.,1,[]
"Since the Commission considered, in the first part of the decision at issue, that it was not appropriate to order the recovery of the aid granted by virtue of the exemption from ICI despite its being unlawful and incompatible with the internal market, that decision preserves the anticompetitive effects of the general and abstract measure which that exemption constitutes with respect to an indefinite number of competitors of the beneficiaries of the aid granted under that measure.",1,"['company sidere part', ' to order recovery', ' grant virtue', 'decision preserve effect', 'company stitute respect', ' grant measure']"
The decision therefore applies to objectively determined situations and produces legal effects for categories of persons envisaged in a general and abstract manner.,1,"['decision apply situation', 'decision produce effect', 'decision produce category', ' envisage manner']"
It follows that the General Court was entitled to consider that the first part of the decision at issue is of general application.,1,"['it follow ', 'court be entitle sider']"
"Consequently, the first part of the single ground of appeal of the Commission’s appeals must be rejected.",1,['part must be reject ']
ECLI:EU:C:2018:873 7 JUDGMENT OF 6.,0,[]
"8 — JOINED CASES C-622/16 P TO C-624/16 P SCUOLA ELEMENTARE MARIA MONTESSORI V COMMISSION, COMMISSION V SCUOLA ELEMENTARE MARIA MONTESSORI AND COMMISSION V FERRACCI Second part Arguments of the parties The Commission submits that the General Court erred in law by concluding that Mr Ferracci and Scuola Elementare Maria Montessori were directly concerned on the sole basis that they might potentially compete with the beneficiaries of the national measures in question.",0,"['case submit ', 'commission submit ', 'court err law', ' cerne basis', 'they might pete ']"
"The General Court’s approach was not consistent with that adopted by the Court in the judgments of 28 April 2015, T & L Sugars and Sidul Açúcares v Commission (C-456/13 P, EU:C:2015:284), and of 17 September 2015, Confederazione Cooperative Italiane and Others v Anicav and Others (C-455/13 P, C-457/13 P and C-460/13 P, not published, EU:C:2015:616).",0,"[' adopt court', ' adopt judgment']"
"To show that he is directly concerned, an applicant must demonstrate that the contested measure entails sufficiently concrete effects on his situation.",0,"['applicant must demonstrate ', 'measure entail effect']"
Scuola Elementare Maria Montessori contests those arguments.,1,['company test argument']
"Findings of the Court According to settled case-law of the Court, the condition that a natural or legal person must be directly concerned by the decision against which the action is brought, laid down in the fourth paragraph of Article 263 TFEU, requires two cumulative criteria to be met, namely, first, the contested measure must directly affect the legal situation of the individual and, second, it must leave no discretion to its addressees who are entrusted with the task of implementing it, such implementation being purely automatic and resulting from the EU rules alone without the application of other intermediate rules (judgments of 5 May 1998, Glencore Grain v Commission, C-404/96 P, EU:C:1998:196, paragraph 41 and the case-law cited; of 13 October 2011, Deutsche Post and Germany v Commission, C-463/10 P and C-475/10 P, EU:C:2011:656, paragraph 66; and order of 19 July 2017, Lysoform Dr.",0,"[' accord law', 'person must be cerne decision', 'action be bring ', ' lay paragraph', 'dition require criterion', 'measure must affect situation', 'it must leave discretion', 'it must leave addressee', 'who be entrust task', ' implement it', 'implementation result rule', 'implementation result application', ' cite october']"
"Hans Rosemann and Ecolab Deutschland v ECHA, C-666/16 P, not published, EU:C:2017:569, paragraph 42).",1,[]
"As regards specifically the rules on State aid, it must be noted that their objective is to preserve competition (see, to that effect, judgments of 15 June 2006, Air Liquide Industries Belgium, C-393/04 and C-41/05, EU:C:2006:403, paragraph 27 and the case-law cited, and of 17 July 2008, Essent Network Noord and Others, C-206/06, EU:C:2008:413, paragraph 60).",1,"[' regard rule', ' to preserve petition', ' see judgment', ' see effect']"
"So, in that field, the fact that a Commission decision leaves intact all the effects of the national measures which the applicant, in a complaint addressed to that institution, claimed were not compatible with that objective and placed it in an unfavourable competitive position makes it possible to conclude that the decision directly affects its legal situation, in particular its right under the provisions on State aid of the FEU Treaty not to be subject to competition distorted by the national measures concerned (see, to that effect, judgment of 28 January 1986, Cofaz and Others v Commission, 169/84, EU:C:1986:42, paragraph 30).",1,"['decision leave intact', 'decision leave effect', ' address institution', 'applicant claim ', 'which place it', 'which place position', 'fact make ', 'decision affect situation', ' distort measure', ' see judgment', ' see effect']"
"In the present case, with respect to the first of the two criteria mentioned in paragraph 42 above, the General Court considered in substance, in paragraph 42 of the judgment of 15 September 2016, Scuola Elementare Maria Montessori v Commission (T-220/13, not published, EU:T:2016:484), and paragraph 45 of the judgment of 15 September 2016, Ferracci v Commission (T-219/13, EU:T:2016:485), that it was satisfied because the services offered by Mr Ferracci and Scuola Elementare Maria Montessori respectively were similar to those offered by the beneficiaries of the national measures assessed in the decision at issue and, consequently, the former ‘might be in a competitive relationship’ with the latter.",1,"[' mention paragraph', 'company sidere substance', 'company sidere paragraph', ' offer ferracci', ' offer beneficiary', ' assess decision']"
"As the Commission rightly submits, that reasoning is vitiated by an error of law.",1,"['commission submit ', 'reasoning be vitiate error']"
ECLI:EU:C:2018:873 8 JUDGMENT OF 6.,0,[]
"8 — JOINED CASES C-622/16 P TO C-624/16 P SCUOLA ELEMENTARE MARIA MONTESSORI V COMMISSION, COMMISSION V SCUOLA ELEMENTARE MARIA MONTESSORI AND COMMISSION V FERRACCI While it is not for the EU judicature, at the stage of the examination of admissibility, to rule definitively on the competitive relationships between an applicant and the beneficiaries of the national measures assessed in a decision of the Commission on State aid, such as the decision at issue (see, to that effect, judgments of 28 January 1986, Cofaz and Others v Commission, 169/84, EU:C:1986:42, paragraph 28, and of 20 December 2017, Binca Seafoods v Commission, C-268/16 P, EU:C:2017:1001, paragraph 59), a direct effect on such an applicant cannot be deduced from the mere potential existence of a competitive relationship, such as that found in the judgments under appeal.",1,"['judicature to rule relationship', 'judicature to rule decision', ' assess decision', ' see judgment', ' see effect', 'case can be not deduce existence', 'effect can be not deduce existence', ' find judgment']"
"Given that the condition of direct concern requires the contested measure to produce effects directly on the applicant’s legal situation, the EU judicature must ascertain whether the applicant has adequately explained the reasons why the Commission’s decision is liable to place him in an unfavourable competitive position and thus to produce effects on his legal situation.",1,"['dition require measure', ' to produce effect', ' to produce situation', 'judicature must ascertain ', 'applicant have explain reason', ' to place he', ' to place position', ' to produce effect']"
"It must nonetheless be recalled that, if the grounds of a decision of the General Court reveal an infringement of EU law but the operative part of the judgment can be seen to be well founded on other legal grounds, that infringement is not capable of leading to the annulment of that decision and a substitution of grounds must be made (judgment of 26 July 2017, Council v LTTE, C-599/14 P, EU:C:2017:583, paragraph 75 and the case-law cited).",1,"['it must be recall ', 'ground reveal infringement', 'part can be see ', ' found ground', ' lead annulment', 'substitution must be make ']"
That is the case here.,1,[]
"It may be seen from the applications brought by Mr Ferracci and Scuola Elementare Maria Montessori before the General Court that they submitted, with evidence in support and without being contradicted by the Commission on this point, that their establishments were situated in the immediate vicinity of ecclesiastical or religious entities carrying on similar activities to theirs which were thus active in the same market for services and the same geographical market.",1,"['it may be see application', ' bring ferracci', ' bring court', 'they submit evidence', ' be tradicte commission', ' be tradicte point', 'establishment be situate vicinity', ' carry activity']"
