text,class,events
JUDGMENT OF 16.,0,[]
"2 — CASE C-321/99 P JUDGMENT OF THE COURT (Sixth Chamber) 16 May 2002 * In Case C-321/99 P, Associação dos Refinadores de Açúcar Portugueses (ARAP), established in Lisbon (Portugal), Alcântara Refinarias — Açúcares SA, established in Santa Iria de Azóia (Portugal), and Refinarias de Açúcar Reunidas SA (RAR), established in Oporto (Portugal), represented by G. van der Wal, advocaat, with an address for service in Luxembourg, appellants, APPEAL against the judgment of the Court of First Instance of the European Communities (Fourth Chamber, Extended Composition) of 17 June 1999 in Case T-82/96 ARAP and Others v Commission [1999] ECR II-1889, seeking to have that judgment set aside, * Language of the case: English.",0,"[' establish lisbon', ' establish iria', ' establish oporto', ' represent wal', 'case appeal judgment', 'judgment set ']"
"I - 4350 ARAP AND OTHERS v COMMISSION the other parties to the proceedings being: Commission of the European Communities, represented by J. Macdonald Flett, acting as Agent, with an address for service in Luxembourg, defendant at first instance, Portuguese Republic, represented by S. Brasil de Brito and L. Fernandes, acting as Agents, with an address for service in Luxembourg, and DAI — Sociedade de Desenvolvimento Agro-Industrial SA, established in Monte da Barca (Portugal), represented by L. Sáragga Leal, D. Franco and R. Oliveira, advogados, with an address for service in Luxembourg, interveners at first instance, THE COURT (Sixth Chamber), composed of: N. Colneric, President of the Second Chamber, acting for the President of the Sixth Chamber, C. Gulmann, J.-P.",0,"[' represent flett', ' act agent', ' represent brito', ' act agent', ' establish monte', ' represent leal', ' pose colneric', ' act president']"
"Puissochet (Rapporteur), R. Schintgen and V. Skouris, Judges, Advocate General: L.A.",0,[]
"Geelhoed, Registrar: D. Louterman-Hubeau, Head of Division, I - 4351 JUDGMENT OF 16.",0,[]
"2 — CASE C-321/99 P having regard to the Report for the Hearing, after hearing oral argument from the parties at the hearing on 29 March 2001, after hearing the Opinion of the Advocate General at the sitting on 6 December 2001, gives the following Judgment 1 By application lodged at the Court Registry on 27 August 1999, Associação dos Refinadores de Açúcar Portugueses (ARAP), Alcântara Refinarias — Açúcares SA and Refinarias de Açúcar Reunidas SA (RAR) brought an appeal under Article 49 of the EC Statute of the Court of Justice against the judgment of the Court of First Instance of 17 June 1999 in Case T-82/96 ARAP and Others v Commission [1999] ECR II-1889 ('the judgment under appeal'), by which that Court dismissed their application for annulment of the Commission decision of 11 January 1996 not to raise objections to State aid in favour of Sociedade de Desenvolvimento Agro-Industrial SA ('DAI') notified under No NI 1/95 (here­ inafter 'the contested decision' or 'the contested measure'), and of the Commis­ sion's letter of 19 March 1996, informing the applicants of that decision (hereinafter 'the letter of 19 March 1996').",0,"[' have regard', ' hear argument', ' hear party', ' hear hearing', ' hear march', ' hear opinion', ' hear sitting', ' hear december', 'p give judgment', ' lodge registry', ' lodge august', ' bring appeal', 'court dismiss application', ' to raise objection', ' ifie ni', 'company test decision', 'company test measure', ' inform applicant', ' inform decision']"
"I - 4352 ARAP AND OTHERS v COMMISSION Legal background 2 According to the first paragraph of Article 42 of the EC Treaty (now the first paragraph of Article 36 EC), '[t]he provisions of the Chapter relating to rules on competition shall apply to production of and trade in agricultural products only to the extent determined by the Council..., account being taken of the objectives [of the common agricultural policy] set out in Article 39 .",0,"[' accord paragraph', ' relate rule', 'provision shall apply production', 'provision shall apply extent', ' determine council', 'account be take objective', ' set article']"
"In that connection, Article 44 of Council Regulation (EEC) No 1785/81 of 30 June 1981 on the common organisation of the markets in the sugar sector (OJ 1981 L 177, p.",0,[]
") provides: '[s]ave as otherwise provided in this Regulation, Articles 92 to 94 of the Treaty shall apply to the production of, and trade in, the products listed in Article 1(1)', which include in particular beet sugar and cane sugar, and also sugar beet and sugar cane.",0,"[' provide regulation', 'article shall apply production', ' list article', 'which include sugar']"
"Under Article 45 of that regulation, it is to 'be applied so that appropriate account is taken, at the same time, of the objectives set out in Articles 39 and 110 of the Treaty'.",0,"['account be take time', ' set article']"
"Under Article 26 of Annex I, Chapter XIV(c), of the Act concerning the conditions of accession of the Kingdom of Spain and the Portuguese Republic and the adjustments to the Treaties (OJ 1985 L 302, p.",0,[' cerne dition']
", hereinafter 'the Act of Accession of the Kingdom of Spain and the Portuguese Republic'), a quota for beet sugar production of 60 000 tonnes per year was allocated to the Portuguese Republic.",0,['quota be allocate republic']
That quota was intended for undertakings established in mainland Portugal which were 'likely to start up sugar production'.,0,"['quota be intend undertaking', ' establish portugal', ' to start production']"
"It was raised to 70 000 tonnes by Council Regulation (EC) No 1599/96 of 30 July 1996 amending Regulation No 1785/81 (OJ 1996 L 206, p.",0,"['it be raise tonne', 'it be raise ec', ' amend number']"
"With a view to strengthening economic and social cohesion in accordance with Article 130a of the EC Treaty (now, after amendment, Article 158 EC), Council I - 4353 JUDGMENT OF 16.",0,"[' strengthen esion', ' strengthen accordance']"
"2 — CASE C-321/99 P Regulation (EEC) No 2052/88 of 24 June 1988 on the tasks of the Structural Funds and their effectiveness and on coordination of their activities between themselves and with the operations of the European Investment Bank and the other existing financial instruments (OJ 1988 L 185, p.",0,[]
") entrusts the Structural Funds with inter alia the tasks of promoting the development and structural adjustment of the regions whose development is lagging behind (Objective l'), speeding up the adjustment of agricultural structures (Objective 5(a)') and promoting the development of rural areas ('Objective 5(b)').",0,"[' entrust funds', ' entrust alia', ' entrust task', ' promote development', 'development be lag l', ' speed adjustment', ' speed objective', ' promote development', ' promote objective']"
"According to the Annex to that regulation, Portugal in its entirety is regarded as a region covered by Objective 1.",0,"[' accord annex', 'portugal be regard company', ' ere objective']"
"The Council laid down provisions for implementing Regulation No 2052/88 as regards the European Agricultural Guidance and Guarantee Fund (EAGGF), Guidance Section, in its Regulation (EEC) No 4256/88 of 19 December 1988 (OJ 1988 L 374, p.",0,"['council lay provision', ' implement number', ' implement number', ' regard fund']"
"Pursuant to Article 10 of Regulation No 4256/88, the Council laid down the forms of and the conditions for the contribution by the Guidance Section of the EAGGF to measures to improve conditions under which agricultural products are processed and marketed, with a view to achieving the objectives of Regulation No 2052/88, in its Regulation (EEC) No 866/90 of 29 March 1990 on improving the processing and marketing conditions for agricultural products (OJ 1990 L 91, p.",0,"['council lay form', 'council lay measure', 'council lay view', ' to improve dition', 'product be process ', 'product market ', ' achieve objective', ' improve dition']"
"Article 1(1) of Regulation No 866/90, as amended by Council Regulation (EC) No 3669/93 of 22 December 1993 (OJ 1993 L 338, p.",0,[' amend ec']
", hereinafter 'Regu­ lation No 866/90'), introduces a common measure under Objective 5(a), which is also designed to help to achieve Objectives 1 and 5(b).",0,"[' introduce measure', ' introduce objective', 'which be design ', ' to achieve objective']"
"I - 4354 ARAP AND OTHERS v COMMISSION 9 Regulation No 866/90 provides for the adoption by the Commission of 'selection criteria', which, under Article 8(1), are to be used to determine which invest­ ments are to receive assistance from the EAGGF Guidance Section, laying down priorities and indicating those investments which must be excluded from Community financing.",0,"['i provide adoption', ' to receive assistance', ' to receive section', ' lay priority', ' indicate investment', 'which must be exclude financing']"
"Under Article 8(2), '[t]he selection criteria shall be drawn up in accordance with the guidelines of the Community's policies, particularly the common agricultural policy'.",0,['criterion shall be draw accordance']
"Pursuant to Article 8(3) of Regulation No 866/90, the Commission adopted Decision 94/173/EC of 22 March 1994 on the selection criteria to be adopted for investments for improving the processing and marketing conditions for agricul­ tural and forestry products and repealing Decision 90/342/EEC (OJ 1994 L 79, p.",0,"['commission adopt decision', 'commission adopt criterion', ' to be adopt investment', ' improve dition', ' repeal decision']"
According to the preamble to that decision 'the selection criteria reflect the guidelines of the common agricultural policy' (seventh recital) and their application should 'take account of the duly justified specific needs of certain local productions' (fifth recital).,0,"[' accord preamble', 'criterion reflect guideline', 'application should take account', 'application should take need']"
