text,class,events
JUDGMENT OF 11.,0,[]
"4 — JOINED CASES C-183/02 P AND C-187/02 P JUDGMENT OF THE COURT (Second Chamber) 11 November 2004 s In Joined Cases C-183/02 P and C-187/02 P, TWO APPEALS under Article 49 of the EC Statute of the Court of Justice lodged on 15 and 16 May 2002, Daewoo Electronics Manufacturing España SA (Demesa), established in Vitoria (Spain), represented by A. Creus Carreras and B. Uriarte Valiente, abogados, appellant in Case C-183/02 P, Territorio Histórico de Álava — Diputación Foral de Álava, represented by A. Creus Carreras, B. Uriarte Valiente and Bravo-Ferrer Delgado, abogados, appellant in Case C-187/02 P, * Language of the case: Spanish.",1,"[' lodge may', ' establish spain', ' represent carreras', ' represent carreras']"
"I - 10628 DEMESA AND TERRITORIO HISTÓRICO DE ÁLAVA v COMMISSION supported by Comunidad Autónoma del País Vasco, represented by E. Garayar Gutiérrez, abogado, intervener in the appeal, the other parties to the proceedings being: Commission of the European Communities, represented by F. Santaolalla Gadea and J.L.",0,"[' support vasco', ' represent gutirrez', ' represent gadea']"
"Buendía Sierra, acting as Agents, with an address for service in Luxembourg, defendant at first instance, Asociación Nacional de Fabricantes de Electrodomésticos de Línea Blanca (ANFEL), established in Madrid (Spain), and Conseil européen de la construction d'appareils domestiques (CECED), established in Brussels (Belgium), interveners at first instance, I - 10629 JUDGMENT OF 11.",0,"[' act agent', ' establish madrid', ' establish brussels']"
"4 - JOINED CASES C-183/02 P AND C-187/02 P THE COURT (Second Chamber), composed of: C.W.A.",0,[' pose c.w.a.']
"Timmermans, President of the Chamber, C. Gulmann (Rapporteur) and N. Colneric, Judges, Advocate General: J. Kokott, Registrar: M. Mugica Arzamendi, Principal Administrator, having regard to the written procedure and further to the hearing on 11 March 2004. after hearing the Opinion of the Advocate General at the sitting on 6 May 2004, gives the following Judgment 1 By their appeals, Daewoo Electronics Manufacturing España SA ('Demesa') and the Territorio Histórico de Álava — Diputación Foral de Álava ('the Territorio Histórico de Álava') seek to have set aside the judgment of the Court of First Instance of the European Communities of 6 March 2002 in Joined Cases T-127/99, T-129/99 and T-148/99 Diputación Foral de Álava and Others v Commission [2002] ECR II-1275 ('the judgment under appeal'), whereby the Court of First Instance annulled in part Commission Decision 1999/718/EC of 24 February 1999 concerning State aid granted by Spain to Daewoo Electronics Manufacturing España SA (Demesa) (OJ I - 10630 DEMESA AND TERRITORIO HISTÓRICO DE ALAVA v COMMISSION 1999 L 292, p.",0,"['timmermans have regard', ' hear opinion', ' give judgment', 'by seek ', ' to have set judgment', 'court annul part', ' cerne aid', ' cerne commission', ' grant spain']"
"; 'the contested decision') and, for the remainder, dismissed their actions for annulment of that decision.",0,"['company test decision', 'company dismiss action']"
"Legal framework 2 The tax arrangements in force in the Basque Country are governed by the Economic Agreement established by Spanish Law 12/1981 of 13 May 1981, as last amended by Law 38/1997 of 4 August 1997.",0,"['arrangement be govern agreement', ' establish law', ' amend law']"
"Under the Economic Agreement, the Diputación Foral de Álava (Álava Provincial Council) may, under certain conditions, organise the tax system within its territory.",0,"['council may organise system', 'council may organise territory']"
"On that basis, it adopted, inter alia, a tax measure in the form of a tax credit of 45% of the amount of the investment ('the tax credit of 45%' or 'the impugned tax measure').",0,"['it adopt measure', 'it adopt alia']"
