text,class,events
"I  -  12941 FRANCE TÉLÉCOM v COMMISSION JUDGMENT OF THE COURT (Third Chamber) 8 December 2011  1 In Case C-81/10 P, APPEAL under Article  56 of the Statute of the Court of Justice of the European Union, brought on 10 February 2010, France Télécom SA, established in Paris (France), represented by S. Hautbourg, L. Olza Moreno and L. Godfroid, avocats, appellant, the other parties to the proceedings being: European Commission, represented by E. Gippini Fournier and D. Grespan, acting as Agents, with an address for service in Luxembourg, defendant at first instance, 1Language of the case: French.",0,"[' bring february', ' establish paris', ' represent hautbourg', ' represent fournier', ' act agent']"
I  -  12942 JUDGMENT OF 8.,0,[]
"1 — CASE C-81/10 P French Republic, represented by G. de Bergues and J. Gstalter, acting as Agents, applicant at first instance, THE COURT (Third Chamber), composed of K. Lenaerts, President of the Chamber, J. Malenovský, R. Silva de Lapu erta (Rapporteur), E. Juhász and D. Šváby, Judges, Advocate General: N. Jääskinen, Registrar: A. Impellizzeri, Administrator, having regard to the written procedure and further to the hearing on 31 March 2011, after hearing the Opinion of the Advocate General at the sitting on 8 September 2011, I  -  12943 FRANCE TÉLÉCOM v COMMISSION gives the following Judgment 1 By its appeal, France Télécom SA (‘FT’) seeks to have set aside the judgment of the Court of First Instance of the European Communities (now ‘the General Court’) in Joined Cases T-427/04 and T-17/05 France and France Télécom v Commission [2009] ECR II-4315 (‘the judgment under appeal’), by which that court dismissed the action for annulment of Commission Decision 2005/709/EC of 2 August 2004 concerning State aid paid by France to FT (OJ 2005 L 269, p.",0,"[' represent bergues', ' act agent', ' pose lenaerts', 'case have regard', ' hear opinion', ' hear sitting', 'i give judgment', 'tlcom give judgment', 'france seek ', ' to have set judgment', 'company dismiss action', 'company dismiss company', ' cerne aid', ' pay france']"
) (‘the contested decision’).,0,[]
"The facts of the dispute 2 In the judgment under appeal, the General Court set out the legal background and the facts of the dispute before it as follows: ‘… Liability of FT to business tax General business tax regime I  -  12944 JUDGMENT OF 8.",0,"['court set background', 'court set it']"
"1 — CASE C-81/10 P Business tax is a local tax, the rules of which are laid down by statute and codified in the General Tax Code.",0,['rule be lay statute']
… business tax is payable each year by natural or legal persons regularly pursuing a self-employed occupation as at 1 January.,0,[' pursue occupation']
"… the imposition of business tax depends on the taxable person’s ability to pay, which is assessed in accordance with economic criteria on the basis of the extent of the business activities engaged in by the taxable person in the territory of the recipient body.",0,"['imposition depend ability', 'which be assess accordance', 'which be assess basis', ' engage person', ' engage territory']"
"It follows that the business tax is not based on the profit made by the undertak ing’s business, but, at the material time, on a proportion of the value of the pro duction factors – capital and labour – used by the taxable person in each munici pality in which the tax is established.",0,"['it follow ', ' base profit', ' make business', ' use person', ' use pality', 'tax be establish ']"
"… for taxation relating to the years 1994 to 2002, in the case of legal persons liable to corporation tax, the basis for the business tax included (i) the rental value of the fixed assets which the taxable person had used to meet its business require ments during the reference period and (ii) a proportion of the salaries paid during the reference period.",0,"[' relate year', 'basis include value', 'person have use period', ' to meet ment', ' pay period']"
"… the reference period … is to be the penultimate year preceding the year of tax­ ation, where the financial year coincides with the calendar year, or, where that is not the case, the financial year ending during the penultimate year preceding the year of taxation.",0,"[' precede year', 'company ncide year', ' end year', ' precede year']"
"I  -  12945 FRANCE TÉLÉCOM v COMMISSION … the business tax is to be established in each municipality in which the taxable person has premises or land, on the basis of the rental value of the assets situated in that municipality or connected with it, and the salaries paid to staff.",0,"[' to be establish municipality', ' to be establish basis', 'person have premise', ' situate municipality', ' necte it']"
"… Rules applicable to FT Principle of liability to tax under the ordinary law Law No  90-568 [of 2  July 1990 on the organisation of the public postal and telecommunications services (JORF of 8 July 1990, p.",0,[]
"9) (“Law No 90-568”)], by which FT … [was] founded, lays down special tax provisions.",0,"['ft be found ', 'number lay provision']"
… subject to [certain] exceptions … FT is [in principle] to be subject to duties and taxes … payable by private undertakings carrying out the same transactions.,0,[' carry transaction']
"Fixed levy … FT was, until 1 January 1994, to be subject only to such duties and taxes as were actually borne by the State.",0,[' be bear state']
"Consequently, FT was not liable inter alia for corpor­ ation tax or local taxes, such as business tax.",0,[]
"In exchange, FT had to pay, for the years 1991 to 1993, a contribution fixed each year by the Finance Law, subject to a maximum amount, the base for which, before the application of discount factors, was equal to the balance shown by the additional budget for telecommunications for the year 1989 … I  -  12946 JUDGMENT OF 8.",0,"['ft have ', ' to pay tribution', ' to pay year', ' fix law', ' show budget']"
"1 — CASE C-81/10 P Special tax regime … The tax [payable by way of business tax] – the basis of assessment for which, for the purposes of calculating specific tax bases, followed the general rules laid down in the General Tax Code … – was established through the application of a national weighted average rate, based on the rates voted the previous year by all the local authorities … Furthermore, a rate of 1.9 % – instead of 8 % – was applied to FT in respect of management costs, that is to say, an additional sum levied by the State to offset the expenses incurred by the tax authorities in assessing tax and collecting busi ness tax for the local authorities.",0,"[' calculate basis', ' follow rule', ' lay code', 'payable be establish application', ' base rate', ' vote authority', 'rate be apply ft', 'rate be apply respect', ' levy state', ' to offset expense', ' incur authority', ' incur assess', ' assess tax', ' assess tax', ' assess authority']"
"The tax revenue had to be paid to the State or, for the proportion exceeding the contribution paid for the year 1994, adjusted each year to reflect the fluctuation in the consumer price index, to the Fonds national de péréquation de la taxe profes sionnelle (National Business Tax Equalisation Fund) … … Administrative procedure On 13 March 2001, the Association des collectivités territoriales pour le retour de la taxe professionnelle de France Télécom et de La Poste dans le droit commun I  -  12947 FRANCE TÉLÉCOM v COMMISSION (Association of local authorities for the reinstatement under the general law of the business tax regime applicable to FT and La Poste) submitted a complaint to the Commission to the effect that the special tax regime constituted State aid which was incompatible with the common market.",0,"['revenue have ', ' to be pay state', ' to be pay proportion', ' exceed tribution', ' pay year', ' adjust fund', ' to reflect fluctuation', 'association submit plaint', 'association submit commission', 'company stitute aid']"
The complainant referred inter alia to the loss of revenue for certain municipalities as a result of the applica tion of a national weighted average rate.,0,['plainant refer loss']
"Following that complaint, the Commission decided on 28 June 2001 to initiate the preliminary investigation procedure in respect of the special tax regime and sent the French Republic a request for information.",0,"[' follow plaint', 'commission decide june', ' to initiate procedure', 'commission send request']"
"By letter of 26 September 2001, the French Republic replied that the special tax regime did not constitute State aid, because it did not confer any advantage on FT and entailed no loss of State resources.",0,"['republic reply ', 'regime do number aid', 'it do number company', 'it do number advantage', 'it entail loss']"
"On 30 January 2003, the Commission adopted a decision initiating the formal in vestigation procedure provided for under Article 88(2) EC in respect inter alia of the exemption from business tax granted to FT from 1991 to 1993 and of the spe cial tax regime (“the decision initiating the formal investigation”).",0,"['commission adopt decision', ' initiate procedure', ' initiate respect', ' provide ec', ' grant 1991', ' initiate investigation']"
The decision initiating the formal investigation was notified to the French Republic by letter of 31 January 2003.,0,"[' initiate investigation', 'decision be ifie republic', 'decision be ifie letter']"
"At the request of the French authorities, the Commission noti fied a rectified version of that decision on 7 March 2003.",0,"['number fie version', 'number fie march']"
"In the decision initiating the formal investigation, the Commission estimated the advantage conferred on FT as being worth approximately FRF 1 000 million per annum since 1994 (para graphs 73 and 74).",0,"[' initiate investigation', 'commission estimate advantage', 'company ferre ft']"
"The initiation decision was published on 12 March 2003 (OJ 2003 C 57, p. 5).",0,['decision be publish march']
… I  -  12948 JUDGMENT OF 8.,0,[]
"1 — CASE C-81/10 P The contested decision On 19 and 20 July 2004, at its 1 667th meeting, the College of Commissioners ap proved a draft decision finding that FT had received State aid during the period from 1994 to 2002 by virtue of the special tax regime (“the aid at issue”) and em powered the Member responsible for competition to adopt, with the agreement of the President, the definitive version of the decision in French – the authentic language – after “legal linguistic revision”.",0,"['company test decision', 'college prove decision', 'ft have receive aid', 'ft have receive period', 'ft have receive virtue', 'college power member', ' to adopt version', ' to adopt language', ' to adopt agreement']"
"On 2 August 2004, the Commission adopted [the contested decision].",0,['commission adopt decision']
It was noti fied to the French Republic on 3 August 2004.,0,"['i fie republic', 'i fie august']"
"… In the contested decision, the Commission found, first, that the fixed levy, provid ed … for the period from 1991 to 1993, could be regarded as replacing the busi ness tax normally payable for those years.",0,"['commission find ', 'levy be regard ', ' replace number']"
"Accordingly, the exemption from busi ness tax during that period did not constitute State aid (recitals 22 to 33 and 53 [of the contested decision]).",0,"['exemption do number stitute', 'exemption do number recital', 'exemption do number decision']"
"On the other hand, the Commission found that the special tax regime applicable from 1994 to 2002 introduced State aid consisting in the difference between the tax which FT should have paid under the general law and the amount of business tax actually paid (“the tax differential”).",0,"['commission find ', 'regime introduce company', ' siste difference', 'ft should have pay law', ' pay differential']"
"Moreover, that new aid, implemented un lawfully in breach of Article 88(3) EC, was incompatible with the common mar ket.",0,[' implement breach']
It therefore had to be recovered (recitals 34 to 53 of the contested decision).,0,"['it have ', ' to be recover decision']"
I  -  12949 FRANCE TÉLÉCOM v COMMISSION The Commission gave the following reasons for categorising the special tax regime as State aid for the purposes of Article 87(1) EC.,0,"['i give reason', 'commission give reason', ' categorise regime', ' categorise aid']"
"First, the Commission set out the reasons why it considered it appropriate to discount the argument of the French authorities to the effect that the advantage found during the period from 1994 to 2002 was more than offset by the fixed levy which FT had had to pay during the period from 1991 to 1993 (recitals 35 to 41 of the contested decision).",0,"['commission set reason', ' to discount argument', ' find period', 'advantage be offset levy', 'ft have have ', ' to pay period']"
"First of all, the Commission states that Law No 90-568 had established two suc cessive and distinct tax regimes: (i) an exemption regime, applicable from 1991 to 1993, under which a fixed levy replaced the general law taxes, including busi ness tax, and (ii) a special regime introduced by way of derogation, as a result of which business tax was underpaid and which initially applied from 1994 and which was terminated with effect from the 2003 tax assessments (recitals 36 and 38 of the contested decision).",0,"['commission state ', 'number have establish regime', 'levy replace taxis', ' include tax', ' introduce way', ' introduce result', 'tax be underpay ', 'which apply 1994', 'which be terminate effect', 'which be terminate recital']"
"… Consequently, the Commission found that it could not agree that the tax differen tial from which FT had benefited between 1994 and 2002 had been offset by the fixed levy paid between 1991 and 1993, which was not connected with business tax either specifically by Law No 90-568 or by the method by which it was calcu lated (recital 38 of the contested decision).",0,"['commission find ', 'number agree ', 'ft have benefit 1994', 'tial have be offset levy', ' pay 1991', ' necte tax']"
"Moreover, the Commission found that payment of the fixed levy at issue was more akin to paying a share of the earnings to the owner of the capital than to taxation.",0,"['commission find ', ' pay share']"
"In those circumstances, it was only by way of exception that the Commission had been able to accept that the levy offset the total exemption from business tax from which FT had benefited from 1991 to 1993.",0,"['levy offset exemption', 'ft have benefit 1991']"
"A normal application of the law could, on the contrary, have led to the conclusion that that exemption constituted State I  -  12950 JUDGMENT OF 8.",0,"['application have lead clusion', 'company stitute judgment']"
"1 — CASE C-81/10 P aid, the amount of which should have been added to that of the tax differential enjoyed by FT since 1994 under the special tax regime (recitals 38 and 39 of the contested decision).",0,"['amount should have be add that', ' enjoy ft', ' enjoy 1994', ' enjoy regime']"
"Lastly, the Commission found that the argument that the payments made by FT to the State between 1991 and 1993 should be set off against the under-taxation of FT from 1994 would involve categorising the surplus tax paid by FT (as com pared with the tax payable under the general law) between 1991 and 1993 as a tax credit, which was not the aim of Law No 90-568.",0,"['commission find ', ' make ft', ' make state', ' make 1991', 'payment should be set taxation', 'payment should be set 1994', 'argument would involve ', ' categorise tax', ' categorise company', ' categorise 1991', ' categorise credit', ' pay ft', ' pare tax']"
"Nor, according to the Commis sion, does that a posteriori theoretical justification reflect the normal application of French tax law: rather, it is designed solely to prevent recovery of the State aid granted to FT (recital 40 of the contested decision).",0,"[' accord sion', 'justification do reflect application', 'it be design ', ' to prevent recovery']"
"Secondly, the Commission found that the tax differential represented an advan tage for FT, granted from resources which should have been incorporated into the budget of the State and accordingly constituted State aid (recital 42 of the contested decision).",0,"['commission find ', 'differential represent tage', ' grant resource', 'which should have be incorporate budget', 'differential stitute recital']"
