text,class,events
"Reports of Cases JUDGMENT OF THE COURT (First Chamber) 20 September 2017 * (Appeal - State aid - Concept of 'aid' - Concept of 'economic advantage' - Private creditor test - Conditions of applicability - Application - Investigation obligations on the European Commission) In Case C-300/16 P, APPEAL under Article 56 of the Statute of the Court of Justice of the European Union, brought on 26 May 2016, European Commission, represented by K. Walkerov�, L. Armati, T. Maxian Rusche and B. Stromsky, acting as Agents, with an address for service in Luxembourg, appellant, the other party to the proceedings being: Frucona Ko�ice a.s., established in Ko�ice (Slovakia), represented by K. Lasok QC, B. Hartnett, Barrister, J. Holmes QC, and O. Geiss, Rechtsanwalt, applicant at first instance, THE COURT (First Chamber), composed of R. Silva de Lapuerta, President of the Chamber, E. Regan, A. Arabadjiev (Rapporteur), C.G.",0,"[' bring may', ' represent walkerov', ' act agent', ' establish koice', ' represent qc', ' pose lapuerta']"
"Fernlund and S. Rodin, Judges, Advocate General: N. Wahl, Registrar: C. Str�mholm, Administrator, having regard to the written procedure and further to the hearing on 15 February 2017, after hearing the Opinion of the Advocate General at the sitting on 3 May 2017, gives the following * Language of the case: English.",0,"[' have regard', ' hear opinion', ' hear sitting', ' hear may', 'fernlund give language', 'fernlund give english']"
"ECLI:EU:C:2017:706	1 Judgment By its appeal, the European Commission ask the Court to set aside the judgment of the General Court of the European Union of 16 March 2016, Frucona Ko�ice v Commission (T-103/14, EU:T:2016:152, 'the judgment under appeal'), by which it annulled Commission Decision 2014/342/EU of 16 October 2013 on State aid (C 25/2005) (ex NN 21/05) implemented by the Slovak Republic for Frucona Ko�ice a.s.",0,"['commission ask court', ' to set judgment', 'it annul decision', ' implement republic', ' implement a.s', ' implement .']"
"(OJ 2014 L 176, p.",0,[]
", 'the decision at issue').",0,[]
"Background to the dispute The background to the dispute is set out in paragraphs 1 to 34 of the judgment under appeal, as follows: 'The change in [Frucona Ko�ice]'s situation and the arrangement procedure 1 ... Frucona Ko�ice a.s.",0,['background be set paragraph']
"... is a company incorporated under Slovak law which was active in, inter alia, the production of spirits and spirit-based beverages.",0,[' incorporate law']
"Between November 2002 and November 2003, [Frucona Ko�ice] benefited from several deferrals of payment of tax debts made up of excise duties for which it was liable.",0,"['koice benefit deferral', ' make duty']"
"Those payment deferrals were granted to it after financial guarantees had been provided to its local tax office, namely the Ko�ice IV office (""the local tax office"").",0,"['deferral be grant ', 'guarantee have be provide ']"
"On 25 February 2004, as a result of the financial difficulties facing it, [Frucona Ko�ice] was unable to pay the excise duties for which it was liable in respect of January 2004.",0,"[' face it', ' to pay duty']"
"Following a legislative change from 1 January 2004, [Frucona Ko�ice] could no longer obtain a deferral of the payment of those excise duties.",0,"[' follow change', 'number obtain deferral']"
"Consequently, [Frucona Ko�ice]'s licence to produce and process alcohol and spirits was revoked.",0,"[' process alcohol', 'licence be revoke ']"
"Since then, it has restricted its activity to distributing, under the trade mark Frucona, spirits purchased from O.H., a company which, pursuant to an agreement with [Frucona Ko�ice], produced those alcoholic beverages under licence in the latter's spirit distilleries.",0,"['it have restrict activity', ' distribute spirit', ' distribute mark', ' purchase o.h.', 'which produce beverage', 'which produce licence', 'which produce distillery']"
[Frucona Ko�ice] also found itself in a position of indebtedness within the terms of the z�kon c.,0,"['koice find itself', 'koice find position', 'koice find term']"
o konkurze a vyrovnan� (Slovak Law No 328/1991 on bankruptcy and arrangements with creditors).,0,[]
"On 8 March 2004, [Frucona Ko�ice] filed an application for the initiation of an arrangement procedure before the Krajsk� s�d v Ko�iciach (Ko�ice Regional Court) (Slovakia), proposing to its creditors to pay each of them 35% of the amount of the sum that it owed to them (""the proposed arrangement"").",0,"['koice file application', 'koice file court', ' propose creditor', ' to pay 35', 'it owe arrangement']"
"The applicant's total debt amounted to approximately 644.6 million Slovak koruna (SKK) [(approximately EUR 21.4 million)], approximately SKK 640.8 million [(approximately EUR 21.3 million)] of which represented a tax debt.",0,"['debt amount koruna', ' represent debt']"
"By decision of 29 April 2004, the Krajsk� s�d v Ko�iciach [(Regional Court, Ko�ice)] authorised the arrangement procedure.",0,['court authorise procedure']
"On 9 July 2004, [Frucona Ko�ice]'s creditors, including the local tax office, accepted the proposed arrangement at an arrangement hearing.",0,"[' include office', 'creditor accept arrangement', 'creditor accept hearing']"
"In the course of that arrangement procedure, the local tax office acted as a separate creditor, a status which it enjoyed as a result of the guarantees provided to it at the time of the deferrals of payment of the excise duties owed by [Frucona Ko�ice] (see paragraph 2 above).",0,"['office act status', 'office act creditor', 'it enjoy result', ' provide time', ' owe koice', ' see paragraph']"
"Prior to 9 July 2004, [Frucona Ko�ice] states that it submitted to the local tax office, inter alia, an audit report drafted by an independent auditing company (""the E report""), which was designed to enable that office to assess the respective advantages of the arrangement and bankruptcy.",0,"['koice state ', 'it submit report', 'it submit office', ' draft company', 'which be design ', ' to enable office', ' to assess advantage']"
"On 21 June 2004, the Slovak tax authorities carried out an on-the-spot inspection at [Frucona Ko�ice]'s premises.",0,"['authority carry inspection', 'authority carry premise']"
"During that inspection, the latter's financial situation as at 17 June 2004 was determined.",0,['situation be determine ']
"By decision of 14 July 2004, the Krajsk� s�d v Ko�iciach [(Regional Court, Ko�ice)] confirmed the arrangement.",0,['company firm arrangement']
