text,class,events
I  -  11914 JUDGMENT OF 18.,0,[]
"0 — CASE C-322/09 P JUDGMENT OF THE COURT (Third Chamber) 18 November 2010 * In Case C-322/09 P, APPEAL under Article 56 of the Statute of the Court of Justice, brought on 8 August 2009, NDSHT Nya Destination Stockholm Hotell & Teaterpaket AB, established in Stockholm (Sweden), represented by M. Merola and L. Armati, avvocati, appellant, the other party to the proceedings being: European Commission, represented by L. Flynn and T. Scharf, acting as Agents, with an address for service in Luxembourg, defendant at first instance, *  Language of the case: English.",0,"[' bring ab', ' bring august', ' establish stockholm', ' represent merola', ' represent flynn', ' act agent']"
"I  -  11915 NDSHT v COMMISSION THE COURT (Third Chamber), composed of K. Lenaerts, President of the Chamber, D. Šváby, E. Juhász, G. Arestis and T. von Danwitz (Rapporteur), Judges, Advocate General: V. Trstenjak, Registrar: L. Hewlett, Principal Administrator, having regard to the written procedure and further to the hearing on 9 September 2010, having decided, after hearing the Advocate General, to proceed to judgment without an Opinion, gives the following Judgment 1 By its appeal, Nya Destination Stockholm Hotell & Teaterpaket AB (‘NDSHT’) seeks to have set aside the judgment of the Court of First Instance of the European Com munities (now ‘the General Court’) of 9 June 2009 in Case T-152/06 NDSHT v Com mission [2009] ECR II-1517 (‘the judgment under appeal’) declaring inadmissible I  -  11916 JUDGMENT OF 18.",0,"[' have regard', ' hear general', ' to proceed judgment', ' to proceed opinion', ' give judgment', 'ab seek ', ' to have set judgment', ' to have set case', ' declare i']"
"0 — CASE C-322/09 P NDSHT’s action for annulment of the decision contained in the letters of the Com mission of the European Communities of 24 March and 28 April 2006 addressed to NDSHT, relating to a complaint concerning allegedly unlawful State aid granted by the City of Stockholm to Stockholm Visitors Board AB (‘the act in question’).",0,"[' taine letter', ' address ndsht', ' relate company', ' cerne aid', ' grant city']"
"Legal context 2 As is apparent from recital 2 in its preamble, Council Regulation (EC) No 659/1999 of 22 March 1999 laying down detailed rules for the application of Article [88 EC] (OJ 1999 L 83, p.",0,[' lay rule']
"), as amended by the Act concerning the conditions of accession of the Czech Republic, the Republic of Estonia, the Republic of Cyprus, the Republic of Latvia, the Republic of Lithuania, the Republic of Hungary, the Republic of Malta, the Republic of Poland, the Republic of Slovenia and the Slovak Republic and the adjust ments to the Treaties on which the European Union is founded (OJ 2003 L 236, p.",0,"[' amend company', ' amend oj', ' cerne dition', 'union be found ']"
") (‘Regulation No 659/1999’), codifies and reinforces the practice for examining State aid established by the Commission in accordance with the case-law of the Court.",0,"[' reinforce practice', ' examine aid', ' establish commission', ' establish accordance']"
"Under Article  1(b)(i) of that regulation, ‘existing aid’ means ‘without prejudice to Articles 144 and 172 of the Act of Accession of Austria, Finland and Sweden, and to Annex IV, point 3 and the Appendix to said Annex of the Act of Accession of the Czech Republic, Estonia, Cyprus, Latvia, Lithuania, Hungary, Malta, Poland, Slovenia and Slovakia, all aid which existed prior to the entry into force of the [EC] Treaty in the respective Member States, that is to say, aid schemes and individual aid which were put into effect before, and are still applicable after, the entry into force of the Treaty’.",0,"['aid mean prejudice', 'which exist ', 'which be put effect']"
"I  -  11917 NDSHT v COMMISSION 4 In accordance with Article 1(h) of that regulation, the term ‘interested party’ is de fined as ‘any Member State and any person, undertaking or association of undertak ings whose interests might be affected by the granting of aid, in particular the benei ciary of the aid, competing undertakings and trade associations’.",0,"['party be fine state', 'interest might be affect granting']"
"Article 4(1) to (4) of Regulation No 659/1999, in Chapter II thereof, which is entitled ‘Procedure regarding notified aid’, provides: ‘1.",0,"['which be entitle procedure', ' regard aid', 'article provide 1']"
The Commission shall examine the notification as soon as it is received.,0,"['commission shall examine number', 'it be receive ']"
"Without prejudice to Article 8, the Commission shall take a decision pursuant to paragraphs 2, 3 or 4.",0,['commission shall take decision']
"Where the Commission, after a preliminary examination, finds that the notified measure does not constitute aid, it shall record that finding by way of a decision.",0,"['commission find ', 'measure do aid', 'it shall record finding', 'it shall record way']"
"Where the Commission, after a preliminary examination, finds that no doubts are raised as to the compatibility with the common market of a notified measure, in so far as it falls within the scope of Article [87(1) EC], it shall decide that the measure is compatible with the common market (hereinafter referred to as a “decision not to raise objections”).",0,"['commission find ', 'doubt be raise ', 'it fall scope', 'it shall decide ', ' refer number', ' to raise objection']"
The decision shall specify which exception under the Treaty has been applied.,0,"['decision shall specify ', 'exception have be apply ']"
"Where the Commission, after a preliminary examination, finds that doubts are raised as to the compatibility with the common market of a notified measure, it shall decide to initiate proceedings pursuant to Article [88(2) EC] (hereinafter referred to as a “decision to initiate the formal investigation procedure”).’ I  -  11918 JUDGMENT OF 18.",0,"['commission find ', 'doubt be raise ', 'it shall decide ', ' to initiate proceeding', ' refer decision', ' to initiate procedure']"
0 — CASE C-322/09 P 6 Chapter III of that regulation governs the procedure regarding unlawful aid.,0,"['chapter govern procedure', ' regard aid']"
"In that chapter, Article 10(1) provides: ‘Where the Commission has in its possession information from whatever source re garding alleged unlawful aid, it shall examine that information without delay.’ 7 In Chapter III, Article 13, entitled ‘Decisions of the Commission’, provides in para graph 1 thereof: ‘The examination of possible unlawful aid shall result in a decision pursuant to Art­ icle 4(2), (3) or (4).",0,"['article provide ', 'commission have information', 'commission have possession', ' garde aid', 'it shall examine information', 'it shall examine delay', ' entitle decision', ' provide graph', 'examination shall result decision']"
"…’ 8 In Chapter VI of Regulation No 659/1999, entitled ‘Interested parties’, Article 20(2) and (3) provides: ‘2.",0,"[' entitle party', 'article provide 2']"
Any interested party may inform the Commission of any alleged unlawful aid and any alleged misuse of aid.,0,"['party may inform commission', 'party may inform aid']"
"Where the Commission considers that on the basis of the information in its possession there are insufficient grounds for taking a view on the case, it shall inform the interested party thereof.",0,"['company sider ', 'there be ground', ' take view', 'it shall inform party']"
"Where the Commission takes a deci sion on a case concerning the subject matter of the information supplied, it shall send a copy of that decision to the interested party.",0,"['commission take sion', ' cerne matter', 'it shall send y', 'it shall send party']"
"At its request, any interested party shall obtain a copy of any decision pursuant to Articles 4 and 7, Article 10(3) and Article 11.’ I  -  11919 NDSHT v COMMISSION 9 Article 25 of Regulation No 659/1999 provides: ‘Decisions taken pursuant to Chapters II, III, IV, V and VII shall be addressed to the Member State concerned.",0,"['party shall obtain y', 'i provide ', 'decision shall be address company', 'decision shall be address cerned']"
…’ II — Factual background to the dispute 10 NDSHT is a company incorporated under the laws of Sweden which carries on the activities of a tour operator in Stockholm through its website.,0,"[' incorporate law', 'which carry activity', 'which carry website']"
"It offers a packaged service including hotel reservations and a tourist card called ‘Stockholm à la carte’, which gives holders access to a number of services and facilities in Stockholm, such as museums and local transport.",0,"['it offer service', ' include reservation', ' call carte', 'which give access']"
Stockholm Visitors Board AB (‘SVB’) is a company owned by the City of Stockholm through various subsidiaries.,0,"[' own city', ' own subsidiary']"
It is responsible for providing tourist information and promoting the Stockholm region.,0,"[' provide information', ' promote region']"
"In connection with that type of activity, it also pur sues commercial activities consisting, in particular, in the reservation of discounted hotel rooms in Stockholm and the sale of a package of tourist-related services, by means of a card called ‘the Stockholm Card’, offering free admission to places of inter est and facilities in Stockholm.",0,"['it pur ', ' sue company', ' sue reservation', ' call card', ' offer admission']"
"In September 2004, NDSHT sent the Commission information regarding the an nual grants made by the City of Stockholm to SVB for the years 2003 to 2005, alleg ing that those grants constituted State aid granted in infringement of Article 88(3) EC.",0,"['ndsht send information', ' regard grant', ' make city', ' make svb', ' make year', 'company stitute aid', ' grant infringement']"
NDSHT asserted in its complaint that that alleged State aid consisted in yearly I  -  11920 JUDGMENT OF 18.,0,"['ndsht assert plaint', 'company siste judgment']"
"0 — CASE C-322/09 P appropriations from the City of Stockholm’s budget in favour of SVB, the reimburse ment of SVB’s pre-tax losses by its parent company on a regular basis, and preferen tial access to public facilities, such as metered parking managed by that city.",0,[' manage city']
"Accord ing to NDSHT, SVB could use that aid to finance its commercial activities that are, however, in competition with those of other national and international undertakings, thereby distorting competition.",0,"[' e ndsht', 'ld use aid', ' to finance activity', ' distort petition']"
The Commission investigated NDSHT’s complaint in the light of supplementary in formation provided by the latter and by the Swedish authorities in response to re quests for information sent to them by the Commission.,0,"['commission investigate plaint', 'commission investigate light', ' provide latter', ' send commission']"
