text,class,events
"JUDGMENT OF THE COURT (Grand Chamber) 22 April 2008 (*) (Appeal – State aid – Approval by the Commission on the basis of the EC Treaty – Steel undertaking – Articles 4(c) CS, 67 CS and 95 CS – ECSC Treaty – EC Treaty – Steel Aid Codes – Concomitant application – Incompatibility of the aid – Compulsory notification of aid granted – Failure to notify the Commission – Prolonged lack of reaction on the part of the Commission – Recovery decision – Principle of legal certainty – Protection of legitimate expectations – Rights of the defence – Obligation to state the reasons on which the decision is based) In Case C-408/04 P, APPEAL under Article 56 of the Statute of the Court of Justice, lodged on 16 September 2004, Commission of the European Communities, represented by V. Kreuschitz and M. Niejahr, acting as Agents, with an address for service in Luxembourg, appellant, the other parties to the proceedings being:Salzgitter AG, represented by J. Sedemund and T. Lübbig, Rechtsanwälte, applicant at first instance, Federal Republic of Germany, represented by M. Lumma and W.-D.",0,"[' to state reason', 'decision be base ', ' lodge september', ' represent kreuschitz', ' act agent', ' represent sedemund', ' represent lumma']"
"Plessing, as well as C. Schulze-Bahr, acting as Agents, intervener at first instance, THE COURT (Grand Chamber), composed of V. Skouris, President, C.W.A.",0,"[' act agent', ' pose skouris']"
"Timmermans, A. Rosas, K. Lenaerts, A. Tizzano and L. Bay Larsen, Presidents of Chambers, J.N.",0,[]
"Cunha Rodrigues, R. Silva de Lapuerta, M. Ilešič, P. Lindh and J.‑C.",0,[]
"Bonichot (Rapporteur), Judges, Advocate General: Y. Bot, Registrar: J. Swedenborg, Administrator, having regard to the written procedure and further to the hearing on 6 February 2007, after hearing the Opinion of the Advocate General at the sitting on 11 September 2007, gives the following Judgment By its appeal, the Commission of the European Communities asks the Court of Justice to set aside the judgment delivered by the Court of First Instance of the European Communities on 1 July 2004 in Case T‑308/00 Salzgitter v Commission [2004] ECR II‑1933 (‘the judgment under appeal’) by which that court partly annulled Commission Decision 2000/797/ECSC of 28 June 2000 on State aid granted by the Federal Republic of Germany to Salzgitter AG, Preussag Stahl AG and the group’s steel-industry subsidiaries, now known as Salzgitter AG - Stahl und Technologie (SAG) (OJ 2000 L 323, p.",0,"[' have regard', ' hear opinion', ' hear sitting', ' hear september', ' give judgment', 'commission ask court', ' to set judgment', ' to set case', ' deliver court', ' deliver july', 'company annul decision', 'company annul aid', ' grant republic', ' know stahl']"
", ‘the contested decision’).",0,['company test decision']
"By its cross-appeal, Salzgitter AG (‘Salzgitter’) seeks to have the judgment under appeal set aside in part.",0,"['ag seek ', 'judgment set part']"
"Legal context and facts of the case In paragraphs 1 to 5 of the judgment under appeal, the Court of First Instance set out the legal context as follows: ‘1.",0,"['court set text', ' follow 1']"
"Article 4 CS provides: “The following are recognised as incompatible with the common market for coal and steel and shall accordingly be abolished and prohibited within the Community, as provided in this Treaty: … (c) subsidies or aids granted by States, or special charges imposed by States, in any form whatsoever.” Article 67 CS provides: “1.",0,"['cs provide ', 'follow be recognise ', 'follow shall be abolish ', ' prohibit community', ' provide treaty', ' grant state', ' impose state', 'cs provide 1']"
Any action by a Member State which is liable to have appreciable repercussions on conditions of competition in the coal or the steel industry shall be brought to the knowledge of the Commission by the government concerned.,0,"[' to have repercussion', 'action shall be bring knowledge', 'action shall be bring government']"
"If the action is liable, by substantially increasing differences in production costs otherwise than through changes in productivity, to provoke a serious disequilibrium, the Commission, after consulting the Consultative Committee and the Council, may take the following steps: –        if the action taken by that State is having harmful effects on the coal or steel undertakings within the jurisdiction of that State, the Commission may authorise it to grant aid to these undertakings, the amount, conditions and duration of which shall be determined in agreement with the Commission.",0,"[' increase difference', ' to provoke disequilibrium', 'company sulte committee', 'commission may take step', ' take state', 'action be have effect', 'commission may authorise it', ' to grant aid', 'amount shall be determine agreement']"
"…; –        if the action taken by that State is having harmful effects on the coal or steel undertakings within the jurisdiction of other Member States, the Commission shall make a recommendation to that State with a view to remedying these effects by such measures as that State may consider most compatible with its own economic equilibrium.",0,"[' take state', 'action be have effect', 'commission shall make recommendation', 'commission shall make state', 'commission shall make view', ' remedy effect', ' remedy measure', 'state may sider company']"
"The first and second paragraph of Article 95 CS provide as follows: “In all cases not provided for in this Treaty where it becomes apparent that a decision or recommendation of the Commission is necessary to attain, within the common market in coal and steel and in accordance with Article 5, one of the objectives of the Community set out in Articles 2, 3 and 4, the decision may be taken or the recommendation made with the unanimous assent of the Council and after the Consultative Committee has been consulted.",0,"['paragraph provide ', ' provide treaty', 'it become ', ' set article', 'decision may be take ', 'recommendation make assent', 'committee have be sulte ']"
"Any decision so taken or recommendation so made shall determine what penalties, if any, may be imposed.” In order to meet the restructuring needs of the steel industry, the Commission relied on the provisions of Article 95 CS to introduce, in the early 1980s, a Community scheme authorising the grant of State aid to the steel industry in specific and limited cases.",0,"['decision shall determine ', ' to meet need', 'commission rely provision', ' to introduce scheme', ' to introduce 1980', ' authorise grant']"
That scheme underwent a series of amendments in order to deal with the cyclical problems encountered by the steel industry.,0,"['scheme undergo series', 'scheme undergo order', ' to deal problem', ' encounter industry']"
The decisions successively adopted for that purpose are commonly known as the “Steel Aid Codes”.,0,"[' adopt purpose', 'decision be know codes']"
"On 18 December 1996, the Commission adopted Decision No 2496/96/ECSC establishing Community rules for State aid to the steel industry (OJ 1996 L 338, p.",0,"['commission adopt number', ' establish rule']"
"), which constitutes the Sixth Steel Aid Code [(the Sixth Steel Aid Code)].",0,['company stitute code']
"That decision was applicable from 1 January 1997 to 22 July 2002.’ 3 In paragraphs 6 to 11 of the judgment under appeal, the Court of First Instance set out the pre-litigation procedure, in the following terms: ‘6.",0,"['court set procedure', 'court set term']"
Salzgitter … is a group operating in the steel sector which includes Preussag Stahl AG and other undertakings involved in the same sector.,0,"[' operate sector', 'which include ag', ' involve sector']"
"In Germany, the Zonenrandförderungsgesetz (German law on the development of the border zone between the former German Democratic Republic and the former Czechoslovak Socialist Republic, “the ZRFG”) was adopted on 5 August 1971 and approved, along with subsequent amendments to it, by [decision of] the Commission [(“the 1971 Decision”)], following assessment of the measures planned by the Commission pursuant to Article 92 of the EC Treaty (now, after amendment, Article 87 EC) and Article 93 of the EC Treaty (now Article 88 EC).",0,"['law be adopt august', 'law approve decision', 'law approve assessment', ' follow assessment', ' plan commission']"
"The most recent amendments to the ZRFG were approved by the Commission as State aid compatible with the EC Treaty (OJ 1993 C 3, p.",0,"['amendment be approve commission', 'amendment be approve patible']"
The ZRFG came to an end definitively in 1995.,0,"['zrfg come end', 'zrfg come 1995']"
"From the beginning, Paragraph 3 of the ZRFG provided for tax incentives in the form of special depreciation allowances (“Sonderabschreibungen”) and tax-free reserves (“steuerfreie Rücklagen”) for investments made in any establishment of an undertaking situated along the border area between the former German Democratic Republic and the former Czechoslovak Socialist Republic … .",0,"['paragraph provide incentive', ' make establishment', ' situate area']"
"The special depreciation allowances permitted the entry of a higher rate of depreciation for eligible investment in the company accounts than would be possible, under the ordinary legislation, in the initial year or years of the investment of the company in question.",0,['allowance permit entry']
"Thus the company’s tax base was reduced and liquidity was increased for the first year or years of the investment, thereby procuring a gain for the company.",0,"['base be reduce ', 'liquidity be increase year', ' procure gain', ' procure pany']"
Tax-free reserves also produced a gain for the company.,0,['reserve produce gain']
"The special depreciation allowances and tax-free reserves could not be cumulated, however.",0,['allowance be cumulate ']
"By letter dated 3 March 1999 the Commission, after having observed from a reading of the annual accounts of Preussag Stahl AG, one of the companies of … Salzgitter …, that the company had been subsidised repeatedly between 1986 and 1995 on the basis of Paragraph 3 of the ZRFG, informed Germany of its decision to initiate the procedure under Article 6(5) of the Sixth Steel Aid Code in respect of the aid granted by [the Federal Republic of] Germany to Preussag Stahl AG and to the other subsidiaries of … Salzgitter ….",0,"[' having observe reading', 'company have be subsidise 1986', 'company have be subsidise basis', 'commission inform germany', 'commission inform decision', ' to initiate procedure', ' to initiate article', ' to initiate respect', ' grant republic']"
"By that decision, published on 24 April 1999 in the Official      Journal of the European Communities (OJ 1999 C 113, p.",0,"[' publish april', ' publish journal']"
"), the Commission invited the parties concerned to submit their observations on the aid in question.",0,"['commission invite party', ' to submit observation']"
"During the administrative procedure, the Commission received comments from the German authorities, by letter of 10 May 1999, and the observations of the only third party concerned, the UK Steel Association, which it forwarded to the Federal Republic of Germany.",0,"['commission receive ment', 'commission receive authority', 'commission receive letter', 'it forward republic']"
"On 28 June 2000, the Commission adopted [the contested d]ecision, on State aid granted by the Federal Republic of Germany to Salzgitter…, by which the special depreciation allowances and tax-free reserves pursuant to Paragraph 3 of the ZRFG of which [Salzgitter] had been the recipient in respect of eligible bases of DEM 484 million and DEM 367 million respectively were found to be State aid incompatible with the common market.",0,"['commission adopt decision', ' grant republic', 'allowance be find ']"
"By Articles 2 and 3 of the [contested] decision, the Commission ordered the Federal Republic of Germany to recover that aid from the recipient and requested it to state the specific conditions for its recovery.’ Proceedings before the Court of First Instance and the judgment under appeal 4        By application lodged at the Registry of the Court of First Instance on 11 September 2000, Salzgitter brought an action seeking the annulment of the contested decision.",0,"['commission order republic', ' to recover aid', ' to recover recipient', 'commission request ', 'it to state dition', ' lodge registry', ' lodge september', 'salzgitter bring action', ' seek annulment']"
"By order of the President of the Court of First Instance of 29 March 2001, the Federal Republic of Germany was given leave to intervene in support of the form of order sought by Salzgitter.",0,"['republic be give leave', ' to intervene support', ' seek salzgitter']"
"In the judgment under appeal, the Court of First Instance held that the Commission was entitled to apply Article 4(c) CS, and not Article 67 CS, to the State aid granted to Salzgitter.",0,"['court hold ', 'commission be entitle ', ' to apply cs', ' to apply aid']"
"In reaching that conclusion, the Court of First Instance stated, particularly in paragraphs 111 to 115 of the judgment under appeal, that Articles 4(c) CS and 67 CS cover two distinct areas, with Article 67 not covering State aid, and that the uncertainty brought about by developments in the legal regime governing aid not specific to the coal and steel sectors during the period that saw the successive adoption of the first three Steel Aid Codes could not change its interpretation.",0,"[' reach clusion', 'court state paragraph', 'articles company area', ' ere aid', ' bring development', ' bring period', ' govern number', 'that see adoption', 'uncertainty change interpretation']"
"Moreover, the Court of First Instance rejected as unfounded Salzgitter’s arguments concerning the Commission’s erroneous interpretation of the notion of State aid and of Article 95 CS, as well as its argument concerning the failure to state reasons in the contested decision.",0,"['court reject argument', 'company cerne commissions', 'company cerne interpretation', 'company cerne failure']"
"By contrast, the Court of First Instance held that the Commission could not order the recovery of the aid paid to the applicant between 1986 and 1995 without breaching the principle of legal certainty, and annulled Articles 2 and 3 of the contested decision concerning the Federal Republic of Germany’s obligation to recover the State aid covered by that decision.",0,"['court hold ', 'number order recovery', ' pay 1986', ' breach principle', 'court annul article', ' cerne obligation', ' to recover company']"
