text,class,events
"JUDGMENT OF THE COURT (Third Chamber) 9 July 2009 (*) (Appeals – Tax relief measures for seafarers employed on board vessels registered in the Danish International Register – Commission decision not to raise objections – Action for annulment – Concept of party concerned – Trade union − Admissibility of the action) In Case C‑319/07 P, APPEAL under Article 56 of the Statute of the Court of Justice, brought on 9 July 2007, 3F, formerly Specialarbejderforbundet i Danmark (SID), established in Copenhagen (Denmark), represented by A.P.",0,"[' employ vessel', ' register number', 'judgment to raise objection', ' bring july', ' establish copenhagen', ' represent a.p.']"
"Bentley QC and A. Worsøe, advokat, appellant, the other parties to the proceedings being: THE COURT (Third Chamber), composed of A. Rosas, President of the Chamber, A. Ó Caoimh (Rapporteur), J.N.",0,[' pose rosas']
"Cunha Rodrigues, U. Lõhmus and A. Arabadjiev, Judges, Advocate General: E. Sharpston, Registrar: L. Hewlett, Principal Administrator, having regard to the written procedure and further to the hearing on 9 July 2008, after hearing the Opinion of the Advocate General at the sitting on 5 March 2009, gives the following Judgment By its appeal, 3F (‘the appellant’), formerly Specialarbejderforbundet i Danmark (SID), the general trade union for workers in Denmark, asks the Court to set aside the order of the Court of First Instance of the European Communities of 23 April 2007 in Case T‑30/03 SID v Commission (‘the order under appeal’) dismissing its application for annulment of Commission Decision C(2002) 4370 final of 13 November 2002 not to raise objections to the Danish fiscal measures applicable to seafarers employed on board vessels registered in the Danish International Register (‘the contested decision’).",0,"[' have regard', ' hear opinion', ' hear sitting', ' hear march', 'rodrigues give judgment', '3f ask court', ' to set order', 'case dismiss application', ' to raise objection', ' employ board', ' employ vessel', ' register register']"
"Legal context Article 4(3) and (4) of Council Regulation (EC) No 659/1999 of 22 March 1999 laying down detailed rules for the application of Article [88] of the EC Treaty (OJ 1999 L 83, p.",0,['text lay rule']
) reads as follows: ‘3.,0,[]
"Where the Commission, after a preliminary examination, finds that no doubts are raised as to the compatibility with the common market of a notified measure, in so far as it falls within the scope of Article [87(1)] of the [EC] Treaty, it shall decide that the measure is compatible with the common market (hereinafter referred to as a “decision not to raise objections”).",0,"['commission find ', 'doubt be raise ', 'it fall scope', 'it shall decide ', ' refer number', ' to raise objection']"
The decision shall specify which exception under the Treaty has been applied.,0,"['decision shall specify ', 'exception have be apply ']"
"Where the Commission, after a preliminary examination, finds that doubts are raised as to the compatibility with the common market of a notified measure, it shall decide to initiate proceedings pursuant to Article [88(2)] of the Treaty (hereinafter referred to as a “decision to initiate the formal investigation procedure”).’ The Community guidelines on State aid to maritime transport (OJ 1997 C 205, p.",0,"['commission find ', 'doubt be raise ', 'it shall decide ', ' to initiate proceeding', ' refer decision', ' to initiate procedure']"
", ‘the Community guidelines’) aim, in accordance with point 2.2 of the guidelines, entitled ‘General objectives of revised State aid guidelines’, to increase transparency and to clarify what State aid schemes may be introduced in order to support the Community maritime interest.",0,"[' entitle objective', ' to increase transparency', 'scheme may be introduce ', ' to support interest']"
"Point 2.2 states: ‘… This policy should: –        safeguard EC employment, … –        preserve maritime know-how in the Community and develop maritime skills, and – improve safety.",0,"['point state ', 'policy should safeguard employment', 'policy preserve how', 'policy preserve community', ' develop skill', ' improve safety']"
"Point 3.2 of the Community guidelines, ‘Labour-related costs’, reads as follows: Support measures for the maritime sector should … aim primarily at reducing fiscal and other costs and burdens borne by EC shipowners and EC seafarers (i.e.",0,"['point read ', 'measure should aim ', ' reduce t', ' bear shipowner']"
those liable to taxation and/or social security contributions in a Member State) towards levels in line with world norms.,0,[]
"They should directly stimulate the development of the sector and employment, rather than provide general financial assistance.",0,"['they should stimulate development', 'they provide assistance']"
"In line with the objective, therefore, the following action on employment costs should be allowed for EC shipping: –        … –        reduced rates of income tax for EC seafarers on board ships registered in a Member State.",0,"['action should be allow ', 'ec ship rate', 'ec ship seafarer', 'ec ship ship', ' register state']"
"Facts of the dispute On 1 July 1988 the Kingdom of Denmark adopted Law No 408, which entered into force on 23 August 1988, establishing a Danish International Register of Shipping (‘the DIS register’).",0,"['kingdom adopt number', 'which enter force', 'which enter august', ' establish register']"
That register was in addition to the ordinary Danish register of ships (‘the DAS register’).,0,[]
The DIS register is intended to combat the flight from Community flags to flags of convenience.,0,"['register be intend ', ' to bat flight']"
The main advantage of the DIS register is that shipowners whose vessels are registered in it are allowed to employ seafarers from non-member countries on those vessels and pay them wages on the basis of their national laws.,0,"['vessel be register it', 'shipowner be allow ', ' to employ seafarer', ' pay wage', ' pay basis']"
"On the same date the Kingdom of Denmark adopted Laws Nos 361, 362, 363 and 364, which entered into force on 1 January 1989, introducing various fiscal measures relating to seafarers employed on board vessels registered in the DIS register (‘the fiscal measures at issue’).",0,"['kingdom adopt law', 'which enter force', 'which enter january', ' introduce measure', ' relate seafarer', ' employ board', ' employ vessel', ' register register']"
"In particular, those seafarers were exempted from income tax, whereas seafarers employed on board vessels registered in the DAS register were subject to that tax.",0,"['seafarer be exempt tax', ' employ vessel', ' register register']"
"On 28 August 1998 the appellant lodged a complaint with the Commission against the Kingdom of Denmark concerning the fiscal measures at issue, arguing that they were contrary to the Community guidelines and hence to Article 87 EC.",0,"['appellant lodge plaint', 'appellant lodge commission', 'company cerne measure']"
"In its complaint the appellant submitted that the fiscal measures at issue constituted State aid which was incompatible with the Community guidelines because the tax exemption was granted to all seafarers, not only Community seafarers, and because the measures had not been notified to the Commission.",0,"['appellant submit ', 'measure stitute aid', 'exemption be grant ', 'exemption number seafarer', 'measure ifie commission']"
"On 13 November 2002 the Commission adopted the contested decision, in which it decided not to raise any objections ‘to the fiscal measures that have been applied since 1 January 1989 to seafarers on board vessels registered in Denmark in either the DAS or the DIS register, considering that the arrangements constitute State aid but that they were or still are compatible with the common market in accordance with Article 87(3)(c) EC’ (second indent of point 46 of the decision).",0,"['commission adopt decision', 'it decide number', ' to raise objection', 'that have be apply january', 'that have be apply seafarer', ' register denmark', ' register register', 'company stitute aid']"
