text,class,events
"JUDGMENT OF THE COURT (Second Chamber) 24 January 2013(*) (Appeal - State aid - Cancellation of 65% of a tax debt in a collective bankruptcy procedure - Decision declaring the aid to be incompatible with the internal market and ordering its recovery - Private creditor test - Limits of judicial review - Substitution by the General Court of its own grounds for those set out in the contested decision - Manifest error of assessment - Distortion of evidence) In Case C-73/11 P, APPEAL under Article 56 of the Statute of the Court of Justice of the European Union, brought on 17 February 2011, Frucona Koice a.s., established in Koice (Slovakia), represented by P. Lasok QC, J. Holmes and B. Hartnett, Barristers, and by O. Geiss, Rechtsanwalt, appellant, the other parties to the proceedings being: European Commission, represented by K. Walkerov, L. Armati and B. Martenczuk, acting as Agents, with an address for service in Luxembourg, defendant at first instance, supported by: St.",0,"[' order recovery', ' set decision', ' bring a.s', ' bring february', ' establish koice', ' represent qc', ' represent walkerov', ' act agent', ' support st.']"
"Nicolaus - trade a.s., established in Bratislava (Slovakia), represented by N. Smaho, lawyer, intervener at first instance, THE COURT (Second Chamber), composed of A. Rosas, acting as President of the Second Chamber, U. Lhmus, A.  Caoimh, A. Arabadjiev (Rapporteur) and C.G.",0,"[' establish bratislava', ' represent smaho', ' pose rosas', ' act president']"
"Fernlund, Judges, Advocate General: J. Kokott, Registrar: L. Hewlett, Principal Administrator, having regard to the written procedure and further to the hearing on 5 July 2012, after hearing the Opinion of the Advocate General at the sitting on 6 September 2012, gives the following Judgment 1 By its appeal, Frucona Koice a.s.",0,"[' have regard', ' hear opinion', ' hear sitting', ' hear september', 'fernlund give judgment']"
"('Frucona Koice') seeks to have set aside the judgment of the General Court of the European Union of 7 December 2010 in Case T-11/07 Frucona Koice v Commission [2010] ECR II-5453 ('the judgment under appeal'), by which the General Court dismissed its action seeking annulment of Commission Decision 2007/254/EC of 7 June 2006 on State aid C 25/05 (ex NN 21/05) implemented by the Slovak Republic for Frucona Koice a.s.",0,"['koice seek ', ' to have set judgment', 'court dismiss action', ' seek annulment', ' implement republic', ' implement koice', ' implement a.s', ' implement .']"
"(OJ 2007 L 112, p.",0,[]
; 'the contested decision').,0,['company test decision']
"Background to the dispute and the contested decision 2 Frucona Koice is a company incorporated under Slovak law which was active in, inter alia, the alcohol and spirits production sector.",0,"[' test decision', ' incorporate law']"
"On 25 February 2004, Frucona Koice, which had benefited, in the past, from several deferrals of payment of its tax debt, was unable to pay the excise duties for which it was liable in respect of January 2004.",0,"['which have benefit past', 'which have benefit deferral', ' to pay duty']"
"Consequently, on 6 March 2004, its licence to produce and process alcohol and spirits was revoked.",0,"[' process alcohol', 'licence be revoke ']"
"Since then, it has confined itself to distributing, under the 'Frucona' brand, spirits bought from an undertaking which, in accordance with an agreement, produced them under licence in the Frucona Koice distilleries.",0,"['it have fine itself', ' distribute spirit', ' distribute brand', ' buy undertaking', 'which produce they', 'which produce licence', 'which produce distillery']"
Frucona Koice also found itself in a position of indebtedness within the terms of Slovak Law No 328/1991 on bankruptcy and arrangement with creditors (zkon c.,0,"['koice find itself', 'koice find position', 'koice find term']"
