text,class,events
"ITALY v COMMISSION JUDGMENT OF THE COURT (Sixth Chamber) 29 April 2004 * In Case C-298/00 P, Italian Republic, represented by I.M.",0,[' represent i.m.']
"Braguglia, acting as Agent, assisted by G. Aiello, avvocato dello Stato, with an address for service in Luxembourg, applicant, APPEAL against the judgment of the Court of First Instance of the European Communities (Fourth Chamber, Extended Composition) of 15 June 2000 in Joined Cases T-298/97, T-312/97, T-313/97, T-315/97, T-600/97 to T-607/97, T-1/98, T-3/98 to T-6/98 and T-23/98 Alzetta and Others v Commission [2000] ECR II-2319, seeking to have that judgment set aside, the other parties to the proceedings being: Commission of the European Communities, represented by V. Di Bucci, acting as Agent, with an address for service in Luxembourg, defendant at first instance, * Language of the ease: Italian.",0,"[' act agent', ' assist aiello', ' appeal judgment', 'judgment set ', ' represent bucci', ' act agent']"
I-4121 JUDGMENT OF 29.,0,[]
"4 — CASE C-298/00 P Impresa Edo Collorigh Edo and Others, represented by V. Cinque, avvocato, Mauro Alzetta and Others, Masotti Srl and Others, Impresa Anna Maria Baldo and Others, SUTES SpA and Others, Ditta Pietro Stagno and Others, Ditta Carlo Fabris & C. Snc, Ditta Franco D'Odorico, Ditta Fiorindo Birri, Ditta Maria Cecilia Framalicco, Autotrasporti Claudio Di Viola & C. Snc, and Impresa Amedeo Musso, applicants at first instance, I - 4122 ITALY v COMMISSION THE COURT (Sixth Chamber), composed of: V. Skouris, acting for the President of the Sixth Chamber, J.N.",0,"[' represent cinque', ' pose skouris', ' act president']"
"Cunha Rodrigues, J.-P.",0,[]
"Puissochet, R. Schintgen and F. Macken (Rapporteur), Judges, Advocate General: S. Alber, Registrar: M.-F.",0,[]
"Contet, Principal Administrator, having regard to the Report for the Hearing, after hearing oral argument from the parties at the hearing on 20 March 2003, after hearing the Opinion of the Advocate General at the sitting on 15 May 2003, gives the following Judgment 1 By application lodged at the Registry of the Court of Justice on 3 August 2000, the Italian Republic brought an appeal pursuant to Article 49 of the EC Statute of the Court of Justice against the judgment of 15 June 2000 in Joined Cases I-4123 JUDGMENT OF 29.",0,"[' have regard', ' hear argument', ' hear party', ' hear hearing', ' hear march', ' hear opinion', ' hear sitting', ' hear may', 'contet give judgment', 'administrator give judgment', ' lodge registry', ' lodge august', 'republic bring appeal', 'republic bring judgment']"
"4 - CASE C-298/00 P T-298/97, T-312/97, T-313/97, T-315/97, T-600/97 to T-607/97, T-1/98, T-3/98 to T-6/98 and T-23/98 Alzetta and Others v Commission [2000] ECR II-2319 (hereinafter 'the contested judgment'), in which the Court of First Instance partially dismissed the action for the partial annulment of Commission Decision 98/182/EC of 30 July 1997 concerning aid granted by the Friuli-Venezia Giulia Region (Italy) to road haulage companies in the Region (OJ 1998 L 66, p.",0,"['company test ', 'court dismiss action', ' grant italy']"
", hereinafter 'the contested decision').",0,['company test decision']
"Legal framework and factual background Legal framework 2 The legal framework of the dispute was set out in the contested judgment as follows: '2 The general provisions on State aid set out in Articles 92 of the EC Treaty (now, after amendment, Article 87 EC) and 93 and 94 of the EC Treaty (now Articles 88 EC and 89 EC) apply within the field of transport, subject to the special provisions of Article 77 of the EC Treaty (now Article 73 EC), which state that aids meeting the needs of coordination of transport or representing reimbursement for the discharge of certain obligations inherent in the concept of a public service are compatible with the Treaty.",0,"['framework be set judgment', ' set articles', 'provision apply field', 'which state ', 'that aid ', ' meet need', ' represent reimbursement']"
"Article 2 of Council Regulation (EEC) No 1107/70 of 4 June 1970 on the granting of aids for transport by rail, road and inland waterway (OJ, English Special Edition 1970 (II), p.",0,[]
"), as last amended by Council Regulation (EC) No 543/97 of 17 March 1997 (OJ 1997 L 84, p.",0,"[' amend ec', ' amend number']"
"), which is based on I - 4124 ITALY v COMMISSION Article 75 of the EC Treaty (now, after amendment, Article 71 EC) and Articles 77 and 94 of the Treaty, confirms that Articles 92 to 94 of the Treaty are to apply in the field concerned.",0,"['which be base number', 'which be base firm', ' to apply field']"
The regulation also lays down certain special rules on the aid in question in so far as they relate specifically to activities in that sector.,0,"['regulation lay rule', 'they relate activity']"
It thus sets out the cases in and conditions on which Member States are entitled to adopt coordination measures or impose obligations inherent in the concept of a public service which involve the granting of State aid pursuant to Article 77 of the Treaty.,0,"['it set case', 'state be entitle ', ' to adopt measure', ' impose obligation', 'which involve granting']"
