text,class,events
JUDGMENT OF 11.,0,[]
"4 — JOINED CASES C-186/02 P AND C-188/02 P JUDGMENT OF THE COURT (Second Chamber) 11 November 2004* In Joined Cases C-186/02 P and C-188/02 P, TWO APPEALS under Article 49 of the EC Statute of the Court of Justice, lodged on 15 and 16 May 2002, Ramondin SA, established in Logroño (Spain), and Ramondin Cápsulas SA, established in Laguardia (Spain), represented by J. Lazcano-Iturburu Ayestaran, abogado, appellants in Case C-186/02 P, * Language of the case: Spanish.",0,"[' lodge may', ' establish logroo', ' establish laguardia', ' represent ayestaran']"
"I - 10656 RAMONDÍN AND OTHERS v COMMISSION Territorio Histórico de Álava — Diputación Foral de Álava, represented by A. Creus Carreras, B. Uriarte Valiente and M. Bravo-Ferrer Delgado, abogados, appellant in Case C-188/02 P, the other parties to the proceedings being: Commission of the European Communities, represented by F. Santaolalla Gadea and J.L.",0,"[' represent carreras', ' represent gadea']"
"Buendia Sierra, acting as Agents, with an address for service in Luxembourg, defendant at first instance, supported by Comunidad Autónoma de La Riója, represented by J.M.",0,"[' act agent', ' support rija', ' represent j.m.']"
"Criado Gámez, abogado, intervener in the appeals, THE COURT (Second Chamber), composed of C.W.A.",0,[' pose c.w.a.']
"Timmermans, President of the Chamber, C. Gulmann (Rapporteur) and N. Colneric, Judges, I - 10657 JUDGMENT OF 11.",0,[]
"4 - JOINED CASES C-186/02 P AND C-188/02 P Advocate General; J. Kokott, Registrar: M. Mugica Azarmendi, Principal Administrator, having regard to the written procedure, and, in Case C-188/02 P, further to the hearing on 11 March 2004, after hearing the Opinion of the Advocate General at the sitting on 6 May 2004, gives the following Judgment 1 By their appeals, Ramondín SA, Ramondín Cápsulas SA and the Territorio Histórico de Álava — Diputación Foral de Álava ('the Territorio Histórico de Álava') seek to have set aside the judgment of the Court of First Instance of the European Communities of 6 March 2002 in Joined Cases T-92/00 and T-103/00 Diputación Foral de Álava and Others v Commission [2002] ECR 11-1385; 'the judgment under appeal'), whereby the Court of First Instance dismissed their applications for annulment of Commission Decision 2000/795/EC of 22 December 1999 on the State aid implemented by Spain for Ramondín SA and Ramondín Cápsulas SA (OJ 2000 L 318, p.",0,"[' have regard', ' hear opinion', ' hear sitting', ' hear may', ' give judgment', 'sa seek ', ' to have set judgment', ' to have set case', 'court dismiss application', ' implement spain', ' implement sa']"
"I - 10658 RAMONDÍN AND OTHERS v COMMISSION Legal framework 2 According to the Commission's proposed Spanish map of regions qualifying for aid (OJ 1996 C 25, p.",0,"[' accord map', ' qualify aid']"
"), the ceiling applicable to the Spanish Basque Country ('the Basque Country') is 25% net grant equivalent (nge).",0,[]
"The tax arrangements in force in the Basque Country are governed by the Economic Agreement established by Spanish Law 12/1981 of 13 May 1981, as last amended by Law 38/1997 of 4 August 1997.",0,"['arrangement be govern agreement', ' establish law', ' amend law']"
"Under the Economic Agreement, the Diputación Foral de Álava (Álava Provincial Council) may, under certain conditions, organise the tax system within its territory.",0,"['council may organise system', 'council may organise territory']"
"On that basis, it took various tax aid measures, including, in particular, a tax credit of 45% of the amount of the investment ('the tax credit of 45%') and a reduction in the basis of assessment to corporation tax.",0,"['it take measure', ' include credit']"
The tax credit of 45% 6 The Sixth Additional Provision of Norma Foral (Regional Regulation) 22/1994 of 20 December 1994 implementing the 1995 budget of the Territorio Histórico de I - 10659 JUDGMENT OF 11.,0,[' implement budget']
"4 - JOINED CASES C-186/02 P AND C-188/02 P Álava {Boletín Oficial del Territorio Histórico de Álava No 5 of 13 January 1995), provides: 'Investments in new fixed assets made between 1 January 1995 and 31 December 1995, which exceed ESP 2 500 million, in accordance with the Diputación Foral de Álava agreement, will receive a tax credit of 45% of the cost of investment determined by the Diputación Foral de Álava, to be applied to the definitive amount of tax payable.",0,"['case provide ', ' make january', 'which exceed esp', 'investment will receive credit', ' determine lava', ' to be apply amount']"
Any tax credit not used up because it exceeds the amount of tax liability may be applied in the nine years following the year during which the Diputación Foral de Álava agreement was concluded.,0,"['it exceed amount', 'number may be apply year', ' follow year', 'agreement be clude ']"
"The Diputación Foral de Álava agreement will lay down the time-limits, and any restrictions applicable in each case.",0,['agreement will lay limit']
The advantages granted under this provision will be incompatible with any other tax advantage in respect of the same investments.,0,[' grant provision']
"The Diputación Foral de Álava will also determine the length of the investment process, which may include investments made during the preparation of the project which is at the root of the investments.'",0,"['lava will determine length', 'which may include investment', ' make preparation']"
"I - 10660 RAMONDÍN AND OTHERS v COMMISSION 7 The validity of that provision was extended for the years 1996 and 1997, then the tax credit of 45% was maintained, in an amended form, for the years 1998 and 1999, by subsequent Normas Forales.",0,"['validity be extend year', 'credit be maintain form', 'credit be maintain year', 'credit be maintain forales']"
"Reduction of the basis of assessment to corporation tax 8 Article 26 of Norma Foral 24/1996 of 5 July 1996 (Boletín Oficial del Territorio Histórico de Álava No 90 of 9 August 1996), provides: '1.",0,['reduction provide 1']
"Companies starting their business activity shall be entitled to a reduction of 99%, 75%, 50% and 25% respectively in the positive basis of assessment deriving from their economic activity, before this is offset by any negative bases of assessment arising in previous periods, for the four consecutive tax periods running from the first period in which, within four years of starting their business activity, they generate a positive basis of assessment.",0,"[' start activity', 'company shall be entitle reduction', ' derive activity', 'this be offset basis', 'this be offset period', ' arise period', ' run period', ' start activity', 'they generate basis']"
"To qualify for this reduction, businesses shall fulfil the following conditions: (a) They shall start their business activity with a minimum paid-up capital of ESP 20 million; I - 10661 JUDGMENT OF 11.",0,"[' to qualify reduction', 'business shall fulfil dition', 'they shall start activity', 'they shall start capital']"
