text,class,events
"JUDGMENT OF THE COURT (First Chamber) 10 November 2016 (*) (Appeal — State aid — State aid scheme in favour of the national public broadcast organisation — Public service obligations — Set-off — Article 106(2) TFEU — Decision declaring the aid scheme compatible with the internal market — Alteration of the method of financing — Tax measures — Tax imposed on pay-television operators — Decision declaring the amended aid scheme compatible with the internal market — Taking into account of the method of financing — Existence of hypothecation between the tax and the aid scheme — Direct impact of the revenue from the tax on the amount of the aid — Coverage of the net costs of fulfilling the public service mandate — Competitive relationship between the person liable to pay the tax and the beneficiary of the aid — Distortion of national law) In Case C‑449/14 P, APPEAL under Article 56 of the Statute of the Court of Justice of the European Union, brought on 23 September 2014, DTS Distribuidora de Televisión Digital SA, established in Tres Cantos (Spain), represented by H. Brokelmann and M. Ganino, abogados, applicant, the other parties to the proceedings being: European Commission, represented by C. Urraca Caviedes, B. Stromsky and G. Valero Jordana, acting as Agents, with an address for service in Luxembourg, defendant at first instance, Telefónica de España SA, established in Madrid (Spain), Telefónica Móviles España SA, established in Madrid, represented by F. González Díaz, F. Salerno and V. Romero Algarra, abogados, Kingdom of Spain, represented by A. Sampol Pucurull, acting as Agent, Corporación de Radio y Televisión Española SA (RTVE), established in Madrid, represented by A. Martínez Sánchez and J. Rodríguez Ordóñez, abogados, interveners at first instance, THE COURT (First Chamber), composed of R. Silva de Lapuerta, President of the Chamber, E. Regan (Rapporteur), A. Arabadjiev, C.G.",0,"[' set decision', ' impose operator', ' take existence', ' take account', ' fulfil mandate', ' to pay tax', ' bring september', ' establish cantos', ' represent brokelmann', ' represent caviedes', ' act agent', ' establish madrid', ' establish madrid', ' represent daz', ' represent pucurull', ' act agent', ' establish madrid', ' represent snchez', ' pose lapuerta']"
"Fernlund, and S. Rodin, Judges, Advocate General: Y. Bot, Registrar: L. Carrasco Marco, Administrator, having regard to the written procedure and further to the hearing on 16 March 2016, after hearing the Opinion of the Advocate General at the sitting on 7 July 2016, gives the following Judgment By its appeal, DTS Distribuidora de Televisión Digital SA (‘DTS’) seeks to have set aside the judgment of the General Court of the European Union of 11 July 2014, DTS Distribuidora de Televisión Digital v Commission (T‑533/10, ‘the judgment under appeal’, EU:T:2014:629), by which the General Court dismissed its application for annulment of Commission Decision 2011/1/EU of 20 July 2010 on the State aid scheme C 38/09 (ex NN 58/09) which Spain is planning to implement for Corporación de Radio y Televisión Española (RTVE) (OJ 2011 L 1, p.",0,"[' have regard', ' hear opinion', ' hear sitting', ' hear july', 'fernlund give judgment', 'sa seek ', ' to have set judgment', 'court dismiss application', 'spain be plan ', ' to implement oj']"
) (‘the contested decision’).,0,[]
"Background to the dispute DTS is a company specialising in the management and operation, on the Spanish market, of a digital satellite pay-TV service, known as Digital +, and in the development of special-interest channels.",0,"[' specialise management', ' know digital']"
"Corporación de Radio y Televisión Española SA (‘RTVE’), is the Spanish public radio and television broadcasting organisation which has been entrusted with a public service mandate in those fields by Ley 17/2006 de la radio y la televisión de titularidad estatal (Law No 17/2006 on State-owned radio and television) of 5 June 2006 (BOE No 134 of 6 June 2006, p.",0,"['which have be entrust mandate', 'which have be entrust ley']"
"Law No 17/2006 provided for a dual funding scheme: RTVE received revenue from its commercial activities, in particular the sale of advertising space, and payments from the Spanish State as compensation for the fulfilment of its public service mandate.",0,"['number provide scheme', 'rtve receive revenue', 'rtve receive sale', 'rtve receive activity']"
"The European Commission approved that system of financing by Decisions C(2005) 1163 final of 20 April 2005 on State aid to RTVE (E 8/05) (summarised in OJ 2006 C 239, p.",0,"['commission approve system', 'commission approve decision', ' summarise oj']"
") and C(2007) 641 final of 7 March 2007 on the funding of measures to reduce staff numbers at RTVE (NN 8/07) (summarised in OJ 2007 C 109, p.",0,"[' to reduce number', ' summarise oj']"
"That funding system was altered by Ley 8/2009 de financiación de la Corporación de Radio y Televisión Española (Law No 8/2009 on the funding of RTVE) of 28 August 2009 (BOE No 210 of 31 August 2009, p.",0,['system be alter number']
That law came into force on 1 September 2009.,0,"['law come force', 'law come september']"
"First of all, Law No 8/2009 provided that, as from the end of 2009, advertising, teleshopping, sponsorship and pay-per-view services would no longer be sources of funding for RTVE.",0,"['number provide ', ' pay view']"
The only commercial revenue that would continue to be available to RTVE after that date would be the income which it derived from the provision of services to third parties and from the sale of its own productions.,0,['it derive provision']
That revenue amounted to approximately EUR 25 million.,0,['revenue amount million']
"Next, in order to offset the loss of other commercial revenue, Law No 8/2009 introduced or amended, in Article 2(1)(b) to (d) and Articles 4 to 6 thereof, a number of fiscal measures (‘the fiscal measures at issue’), including a new tax of 1.5% on the revenues of pay-television operators established in Spain (‘the tax on pay-television operators’).",0,"[' to offset loss', 'number introduce ', 'number amend ', ' include tax', ' establish spain']"
"The contribution of that tax to RTVE’s budget was limited to 20% of the total annual support for RTVE, any surplus tax revenue being paid into the general budget of the State.",0,"['tribution be limit 20', 'revenue be pay budget']"
"That law also provided, inter alia, for a new tax on the revenues of telecommunications services operators established in Spain.",0,"['law provide tax', ' establish spain']"
"Furthermore, the compensation for the fulfilment of the public service obligations provided for in Law No 17/2006 was maintained.",0,"[' provide number', 'pensation be maintain ']"
"Thus, in the event that the funding sources mentioned above should prove insufficient to cover the whole of RTVE’s costs of fulfilling those obligations, the State was required, under Article 2(2) of Law No 8/2009 and Article 33 of Law No 17/2006, to make good the shortfall, thus transforming RTVE’s dual funding scheme into an almost entirely publicly funded scheme.",0,"['source should prove insufficient', ' to company whole', ' fulfil obligation', 'state be require article', ' transform scheme', ' transform scheme']"
"Finally, Article 3(2) of Law No 8/2009 established a ceiling for RTVE’s income.",0,['article establish ceiling']
"In 2010 and 2011, its total income was limited to EUR 1 200 million per annum, which also corresponded to its maximum expenditure in each of those financial years.",0,"['income be limit million', 'which respond expenditure', 'which respond each']"
"The maximum increase in that amount was set at 1% for the three years 2012 to 2014 and, for subsequent years, the increase was to be based on the annual consumer price index.",0,"['increase be set 1', 'increase be set year', ' to be base index']"
"After receiving, on 22 June 2009, a complaint drawing attention to the bill which was to become Law No 8/2009, the Commission notified the Kingdom of Spain on 2 December 2009 that it had decided to initiate the procedure laid down in Article 108(2) TFEU in respect of the change to RTVE’s funding scheme (summarised in OJ 2010 C 8, p.",0,"[' receive plaint', ' receive june', ' draw attention', ' draw bill', ' to become number', 'number ifie kingdom', 'number ifie december', 'it have decide ', ' to initiate procedure', ' lay tfeu', ' summarise oj']"
"On 18 March 2010, the Commission commenced proceedings for failure to fulfil obligations under Article 258 TFEU, on the ground that the tax on the revenues of telecommunications services operators established in Spain was contrary to Article 12 of Directive 2002/20/EC of the European Parliament and of the Council of 7 March 2002 on the authorisation of electronic communications networks and services (OJ 2002 L 108, p.",0,"['company mence proceeding', 'company mence failure', 'company mence ground', ' to fulfil obligation', ' establish spain']"
"On 30 September 2010, in a reasoned opinion, the Commission requested the Kingdom of Spain to abolish the tax on the ground of its incompatibility with that directive.",0,"['commission request kingdom', 'commission request ground', ' to abolish tax']"
"On 20 July 2010, the Commission adopted the contested decision, in which it declared that the alteration of RTVE’s funding scheme brought about by Law No 8/2009 was compatible with the internal market under Article 106(2) TFEU.",0,"['commission adopt decision', 'it declare ', ' bring number']"
"In that context, the Commission considered, in particular, that the fiscal measures at issue were not an integral part of the new items of aid provided for by that law and that any incompatibility of those fiscal measures with Directive 2002/20 therefore did not affect the assessment of the funding scheme’s compatibility with the internal market.",0,"['company sidere ', ' provide law', 'incompatibility do affect assessment']"
"In addition, it took the view that RTVE’s amended funding scheme was consistent with Article 106(2) TFEU, since it complied with the principle of proportionality.",0,"['it take view', 'it ply principle']"
"The judgment under appeal By application lodged at the Registry of the General Court on 24 November 2010, DTS brought an action for annulment of the contested decision.",0,"[' lodge registry', ' lodge ember', 'dts bring action']"
"In support of that application, DTS put forward three pleas in law, alleging, respectively, failure to have regard to the concept of ‘aid’ within the meaning of Article 107 TFEU as regards the inseparability of the fiscal measures at issue; infringement of Article 106(2) TFEU; and infringement of Articles 49 and 63 TFEU.",0,"['dts put plea', ' allege failure', ' regard inseparability']"
"By the judgment under appeal, the General Court rejected each of the pleas on the substance and, accordingly, dismissed the action in its entirety.",0,"['court reject each', 'court dismiss action', 'court dismiss entirety']"
"Procedure before the Court and forms of order sought By its appeal, DTS, supported by Telefónica de España SA and Telefónica Móviles España SA (together, ‘the Telefónica companies’) requests the Court to: –        set aside the judgment under appeal; –        annul the contested decision or, in the alternative, refer the case back to the General Court; and –        order the Commission and the other parties to pay the costs incurred before the Court of Justice and the General Court.",0,"[' seek appeal', ' support sa', 'procedure request court', ' to set judgment', ' to set annul', ' refer case', ' order commission', ' to pay t', ' incur court']"
The Commission requests the Court to dismiss the appeal and to order DTS to pay the costs.,0,"['commission request court', ' to dismiss appeal', ' to order dts', ' to pay t']"
"The Kingdom of Spain and RTVE claim, primarily, that the appeal is inadmissible and, subsidiarily, ask the Court to reject it as unfounded.",0,"['kingdom claim ', 'kingdom ask court', ' to reject it']"
"The Telefónica companies brought a cross-appeal, claiming that the Court should set aside the judgment under appeal and order the Commission and the interveners which support it to pay the costs incurred before the Court of Justice and the General Court.",0,"['panie bring cross', 'panie bring -', 'panie bring appeal', 'court should set judgment', 'court should set appeal', 'court order commission', 'which support it', ' to pay t', ' incur court']"
"RTVE, the Kingdom of Spain and the Commission contend that the Court should dismiss that cross-appeal.",0,"['rtve tend ', 'court should dismiss cross', 'court should dismiss -', 'court should dismiss appeal']"
"The main appeal In support of its appeal, DTS, after having stated that, by its appeal, it only criticises the General Court for having held that, in the judgment under appeal, the Commission correctly held in the contested decision that it was not required to assess the compatibility with the FEU Treaty of the tax on pay-television operators, relies on three grounds of appeal.",0,"['it criticise court', 'company hold decision', 'it be require ', ' to assess patibility', ' rely ground']"
The first ground of appeal is based on infringement of Article 107(1) TFEU on account of an incorrect interpretation of the concept of aid.,0,"['ground be base infringement', 'ground be base account']"
"The second ground of appeal rests on infringement of that provision, in that the General Court did not, in the judgment under appeal, undertake a full review of the existence of aid and distorted Spanish law.",0,"['ground rest infringement', ' undertake review']"
The third ground of appeal rests on an error of law in the application of Article 106(2) TFEU.,0,['ground rest error']
"Admissibility of the appeal Arguments of the parties RTVE submits that the appeal, taken as a whole, is inadmissible since, at 40 pages, it significantly exceeds the maximum length of 25 pages authorised by the Practice directions to parties concerning cases brought before the Court (OJ 2014 L 31, p.",0,"['argument submit ', ' take whole', 'it exceed length', ' authorise direction', ' cerne case', ' bring court']"
", ‘the practice directions’), without DTS explaining the need to do so.",0,['dts explain need']
"Furthermore, RTVE and the Kingdom of Spain contend that the appeal does not precisely identify the paragraphs of the judgment under appeal which are disputed.",0,"['rtve tend ', 'appeal do identify paragraph', 'which be dispute ']"
"In their submission, the appeal thus merely repeats the arguments put forward at first instance.",0,"['appeal repeat argument', ' put instance']"
DTS submits that its appeal is admissible.,0,['dts submit ']
"Findings of the Court First of all, it should be noted that the Practice directions to parties are indicative and have no binding force.",1,['direction have force']
"As is apparent from recitals 1 to 3 of those directions, they were adopted in order to supplement and clarify the rules applicable to the conduct of proceedings before the Court, in the interest of the proper administration of justice, and are not intended to replace the relevant provisions of the Statute of the Court of Justice of the European Union and the Rules of Procedure of the Court (see, to that effect, order of the President of the Court of 30 April 2010, Ziegler v Commission, C‑113/09 P(R), not published, EU:C:2010:242, paragraph 33).",1,"['they be adopt ', ' clarify rule', ' clarify interest', 'they be intend ', ' to replace provision', ' see order', ' see euc2010242', ' see effect']"
"It is therefore clearly apparent from the wording of paragraph 20 of those practice directions, which state that ‘the appeal …, unless there are special circumstances, should not exceed 25 pages’, that that recital does not set out an absolute limitation on the number of pages to which the admissibility of such an appeal is subject, but that it merely provides a recommendation in that regard to the parties.",1,"['which state ', 'there be circumstance', ' number exceed page', 'recital do set limitation', 'it provide recommendation', 'it provide regard', 'it provide party']"
It follows that the appeal may not be rejected as inadmissible on the ground that it exceeds a certain number of pages.,1,"['it follow ', 'appeal may be reject ground', 'number may be reject ground', 'it exceed number']"
"Secondly, it should be noted that, according to the second subparagraph of Article 256(1) TFEU, the first paragraph of Article 58 of the Statute of the Court of Justice of the European Union and Article 168(1)(d) of the Rules of Procedure, an appeal must, on penalty of being deemed inadmissible, indicate precisely the contested elements of the judgment which the appellant seeks to have set aside and the legal arguments specifically advanced in support of the appeal, failing which the appeal or the ground of appeal in question will be dismissed as inadmissible (see, inter alia, judgment of 10 July 2014, Telefónica and Telefónica de España v Commission, C‑295/12 P, EU:C:2014:2062, paragraph 29 and the case-law cited).",1,"[' accord subparagraph', ' be deem inadmissible', 'appeal must indicate ', 'company test element', 'appellant seek ', ' advance support', 'appeal will be dismiss ', ' see judgment']"
"Moreover, it follows from those same provisions that an appeal is inadmissible in so far as it merely repeats the pleas in law and arguments previously submitted to the General Court, including those based on facts expressly rejected by it.",1,"['it follow provision', 'it repeat plea', ' submit court', ' include those', ' base fact', ' reject it']"
"Such an appeal amounts in reality to no more than a request for re-examination of the application submitted to the General Court, which the Court of Justice does not have jurisdiction to undertake on appeal (see judgment of 30 May 2013, Quinn Barlo and Others v Commission, C‑70/12 P, not published, EU:C:2013:351, paragraph 26 and the case-law cited).",1,"['appeal amount reality', ' submit court', 'court do have jurisdiction', ' to undertake appeal', 'appeal see judgment']"
"By contrast, provided that the appellant challenges the interpretation or application of EU law by the General Court, the points of law examined at first instance may be discussed again in the course of an appeal.",1,"['appellant challenge interpretation', ' examine instance', 'point may be discuss rse']"
"Indeed, if an appellant could not thus base his appeal on pleas in law and arguments already relied on before the General Court, an appeal would be deprived of part of its purpose (see judgment of 30 May 2013, Quinn Barlo and Others v Commission, C‑70/12 P, not published, EU:C:2013:351, paragraph 27 and the case-law cited).",1,"['number base appeal', 'number base plea', ' rely court', 'appeal would be deprive part', 'appeal see judgment']"
"In the present case, it should be noted that it is apparent from the review of the appeal that DTS has set out clearly and precisely the paragraphs of the judgment under appeal referred to in its grounds of appeal, as well as the reasons why that judgment, in its submission, is vitiated by errors of law.",1,"['dts have set paragraph', ' refer ground', 'judgment be vitiate error']"
"Moreover, contrary to what RTVE and the Kingdom of Spain submit, DTS does not merely repeat, in its appeal, the arguments made at first instance.",1,"['rtve submit ', ' repeat argument', ' repeat appeal', ' make instance']"
"It disputes, in fact, for the most part, the manner in which the General Court interpreted and applied EU law, in particular Article 107(1) TFEU, in holding, in the judgment under appeal, that the tax on pay-television operators for which it is liable is not an integral part of the aid granted to RTVE and, for the remainder, it accuses the General Court of having distorted the law and, accordingly, vitiated that judgment.",1,"['it dispute manner', 'it dispute fact', 'it dispute part', 'court interpret ', 'court apply law', 'court apply tfeu', ' hold judgment', 'it accuse court', ' having distort law', ' vitiate judgment']"
"Accordingly, the appeal must be held to be admissible.",2,['appeal must be hold ']
"It is appropriate therefore, to assess the merits thereof, by examining, first, the second ground of appeal, followed by the first and third grounds.",0,"[' to assess merit', ' examine ground', ' follow ground']"
"The second ground of appeal, alleging infringement of Article 107(1) TFEU in that the General Court failed to carry out a comprehensive review into the existence of aid and distorted Spanish law Arguments of the parties DTS and the Telefónica companies submit that the Court did not carry out a full review of the Commission’s assessments as regards the conditions laid down in paragraphs 106 to 111 of the judgment of 22 December 2008, Régie Networks (C‑333/07, EU:C:2008:764).",0,"[' allege infringement', 'court fail ', ' to carry review', 'ground submit ', 'argument submit ', 'court do carry review', ' regard dition', ' lay paragraph']"
"The General Court is alleged not to have assessed the extent to which the projected amount of the revenue impacted on the calculation of the aid, distorting in that regard, in paragraphs 65 to 70 of the judgment under appeal, the national law provisions on which that Court relied in order to reach the conclusion that the amount levied in respect of the tax on pay-television operators did not influence the amount of the aid to RTVE, while failing to take account of other relevant provisions of that law.",0,"['court be allege provision', ' to have assess extent', 'amount impact calculation', ' distort regard', ' distort paragraph', 'court rely ', ' to reach clusion', ' levy respect', 'amount do influence amount', ' to take account']"
"First, DTS claims that, contrary to the General Court’s finding in paragraph 69 of that judgment, Article 2(2) of Law No 8/2009 does not require the State, where the revenue available to RTVE is insufficient to cover the net costs of fulfilling its public service mandate, to provide resources from its general budget in order to cover those objectively determined costs.",0,"['dts claim ', ' do require state', ' to company t', ' fulfil mandate', ' to provide resource', ' to company t']"
"On the one hand, that provision would require the State to supplement the ‘budget forecasts’ for RTVE where, in implementing it, the amount of the tax revenue is below the budget forecasts.",0,"['provision would require state', ' to supplement forecast', ' implement it']"
"On the other hand, contributions from the general budget of the State are authorised only where expenditure exceeds the budget forecasts.",0,"['tribution be authorise ', 'expenditure exceed forecast']"
