text,class,events
"Reports of Cases JUDGMENT OF THE COURT (Grand Chamber) 8 March 2016 * (Appeal — State aid — Compensation payments made by the Greek Agricultural Insurance Organisation (ELGA) in 2008 and 2009 — Decision declaring aid incompatible with the internal market and ordering its recovery — Concept of ‘State aid’ — Article 107(3)(b) TFEU — Guidelines for State aid in the agricultural sector — Obligation to state reasons — Distortion of evidence) In Case C-431/14 P, APPEAL under Article 56 of the Statute of the Court of Justice of the European Union, brought on 19 September 2014, Hellenic Republic, represented by I. Chalkias and A. Vasilopoulou, acting as Agents, appellant, the other party to the proceedings being: European Commission, represented by A. Bouchagiar, R. Sauer and D. Triantafyllou, acting as Agents, defendant at first instance, THE COURT (Grand Chamber), composed of A. Tizzano, Vice-President, acting as President of the Grand Chamber, L. Bay Larsen, T. von Danwitz, A. Arabadjiev (Rapporteur), C. Toader, D. Šváby and C. Lycourgos, Presidents of Chambers, A. Rosas, E. Juhász, M. Safjan, M. Berger, A. Prechal and E. Jarašiūnas, Judges, Advocate General: E. Sharpston, Registrar: I. Illéssy, Administrator, having regard to the written procedure and further to the hearing on 6 October 2015, after hearing the Opinion of the Advocate General at the sitting on 15 October 2015, gives the following * Language of the case: Greek.",0,"[' make organisation', ' order recovery', ' bring september', ' represent chalkias', ' act agent', ' represent bouchagiar', ' act agent', ' pose tizzano', ' act president', ' hear opinion', ' hear sitting', ' hear october', 'republic give language', 'republic give greek']"
EN ECLI:EU:C:2016:145                                                                           1 JUDGMENT OF 8.,0,[]
"6 — CASE C-431/14 P GREECE v COMMISSION Judgment By its appeal, the Hellenic Republic seeks to have set aside the judgment of the General Court of the European Union of 16 July 2014 in Greece v Commission (T-52/12, EU:T:2014:677, ‘the judgment under appeal’), by which the General Court dismissed its action for annulment of Commission Decision 2012/157/EU of 7 December 2011 concerning compensation payments made by the Greek Agricultural Insurance Organisation (ELGA) in 2008 and 2009 (OJ 2012 L 78, p.",0,"['republic seek ', ' to have set judgment', 'court dismiss action', ' make organisation', ' make 2008', ' make oj']"
", ‘the decision at issue’).",0,[]
"Legal context EU law Point 4.1 of the Temporary Community Framework for State aid measures to support access to finance in the current financial and economic crisis, as set out in the Communication from the European Commission of 17 December 2008 (OJ 2009 C 16, p.",0,"[' to support access', ' to support crisis', ' set communication']"
", ‘the TCF’), states: ‘... In the light of the seriousness of the current financial crisis and its impact on the overall economy of the Member States, the Commission considers that certain categories of State aid are justified, for a limited period, to remedy those difficulties and that they may be declared compatible with the [internal] market on the basis of Article [107(3)(b) TFEU].’ Under the third subparagraph of point 4.2.2 of the TCF: ‘The Commission will consider such State aid compatible with the common market on the basis of Article [107(3)(b) TFEU], provided all the following conditions are met: ... (h) the aid scheme does not apply to undertakings active in the primary production of agricultural products ...’ Point 7 of the TCF states: ‘… In accordance with the Commission notice on the determination of the applicable rules for the assessment of unlawful State aid [OJ 2002 C 119, p.",0,"['company sider ', 'category be justify period', ' to remedy difficulty', 'they may be declare company', 'they may be declare basis', 'commission will sider patible', 'commission will sider market', 'commission will sider basis', 'commission will sider state', ' provide state', 'dition be meet apply', 'scheme do apply undertaking']"
"], the Commission applies the following in respect of non-notified aid: (a) this Communication, if the aid was granted after 17 December 2008; (b) the guidelines applicable when the aid was granted in all other cases.",0,"['commission apply following', 'commission apply guideline', 'aid be grant december', 'aid be grant case']"
…’ ECLI:EU:C:2016:145 JUDGMENT OF 8.,0,[]
"6 — CASE C-431/14 P GREECE v COMMISSION The TCF was amended by the Communication from the Commission published in the Official Journal of the European Union on 31 October 2009 (C 261, p.",0,"['tcf be amend communication', ' publish journal', ' publish october']"
", ‘the amended TCF’).",0,[]
