text,class,events
"JUDGMENT OF THE COURT (Sixth Chamber) 14 April 2016 (*) (Appeal - State aid - Spanish scheme of early depreciation of certain assets acquired through financial leasing - Decision finding no State aid - Formal investigation procedure not initiated - Insufficient and incomplete examination - Obligation to state reasons - Selectivity) In Case C-100/15 P, APPEAL under Article 56 of the Statute of the Court of Justice of the European Union, brought on 26 February 2015, Netherlands Maritime Technology Association, established in Rotterdam (Netherlands), represented by K. Struckmann, Rechtsanwalt, and G. Forwood, Barrister, appellant, the other parties to the proceedings being: European Commission, represented by L. Flynn and P. Nemeckov�, acting as Agents, defendant at first instance, supported by: Kingdom of Spain, represented by M.A.",0,"[' acquire leasing', ' bring february', ' establish rotterdam', ' represent struckmann', ' represent flynn', ' act agent', ' support kingdom', ' represent m.a.']"
"Sampol Pucurull, acting as Agent, intervener at first instance, THE COURT (Sixth Chamber), composed of A. Arabadjiev, President of the Chamber, C.G.",0,"[' act agent', ' pose arabadjiev']"
"Fernlund and E. Regan (Rapporteur), Judges, Advocate General: M. Wathelet, Registrar: A. Calot Escobar, having regard to the written procedure, having decided, after hearing the Advocate General, to proceed to judgment without an Opinion, gives the following Judgment 1 By its appeal, the Netherlands Maritime Technology Association seeks to have set aside the judgment of the General Court of the European Union of 9 December 2014 in Netherlands Maritime Technology Association v Commission (T-140/13, EU:T:2014:1029; 'the judgment under appeal'), whereby the General Court dismissed the action for the annulment of Commission Decision C(2012) 8252 final of 20 November 2012 relating to State aid SA.34736 (2012/N) - Spain - Early depreciation of certain assets acquired through a financial leasing ('the contested decision').",0,"[' have regard', ' hear general', ' to proceed judgment', ' to proceed opinion', 'fernlund give judgment', 'association seek ', ' to have set judgment', 'court dismiss action', ' relate aid', ' acquire decision']"
"Legal context 2 Council Regulation (EC) No 659/1999 of 22 March 1999 laying down detailed rules for the application of Article [108 TFEU] (OJ 1999 L 83, p.",0,[' lay rule']
"), contains an Article 4, headed 'Preliminary examination of the notification and decisions of the Commission', paragraphs (2) to (4) of which provide: '2.",0,"['company tain article', ' head examination', 'paragraph provide 2']"
"Where the Commission, after a preliminary examination, finds that the notified measure does not constitute aid, it shall record that finding by way of a decision.",0,"['commission find ', 'measure do aid', 'it shall record finding', 'it shall record way']"
"Where the Commission, after a preliminary examination, finds that no doubts are raised as to the compatibility with the [internal] market of a notified measure, in so far as it falls within the scope of Article [107(1) TFEU], it shall decide that the measure is compatible with the [internal] market ... Where the Commission, after a preliminary examination, finds that doubts are raised as to the compatibility with the [internal] market of a notified measure, it shall decide to initiate proceedings pursuant to Article [108(2) TFEU] ...' Background to the dispute and the contested decision 3 The facts which gave rise to the present proceedings are described as follows in the judgment under appeal.",0,"['commission find ', 'doubt be raise ', 'it fall scope', 'it shall decide ', 'commission find ', 'doubt be raise ', 'it shall decide background', ' to initiate proceeding', 'which give rise', 'which give proceeding', 'fact be describe judgment']"
"The complaint 4 The appellant, an association representing the interests of Dutch shipyards, lodged a complaint, together with other associations, against a Spanish tax scheme promoting the construction of vessels in Spanish shipyards ('the previous early depreciation scheme').",0,"[' represent interest', 'appellant lodge plaint', 'appellant lodge scheme', ' promote struction']"
"According to the complainants, that scheme made it possible to secure a rebate of 20% to 30% on the construction price of a vessel ('the rebate').",0,"[' accord plainant', 'scheme make ', ' to secure rebate']"
"Opening decision concerning the previous Spanish tax lease system 5 On 29 June 2011 the European Commission initiated a procedure, under Article 108(2) TFEU, against the tax rules on leasing, by adopting Decision C(2011) 4494 final (State aid SA.21233 (11/C) (ex NN/11, ex CP 137/06) - Tax regime applicable to certain finance lease agreements, also known as the Spanish Tax Lease System) (summarised in OJ 2011 C 276, p.",0,"[' cerne system', 'commission initiate procedure', 'commission initiate rule', ' adopt decision', ' know system', ' summarise oj']"
