text,label,events
"It must be held, first, that while Article 4(c) CS prohibits the granting of State aid to steel and coal undertakings, without drawing a distinction between individual aid or aid disbursed under a State aid scheme, Article 67 CS refers expressly to State aid only in respect of protective measures that the Commission may authorise, pursuant to the first indent of paragraph 2 of that article, in favour of coal or steel undertakings where they suffer competitive disadvantages because of general economic policy measures.",prem,"['it must be hold ', 'cs prohibit granting', ' draw distinction', ' disburse scheme', 'cs refer aid', 'cs refer respect', 'cs refer favour', 'commission may authorise ', 'they suffer disadvantage', 'they suffer measure']"
"Also, it is clear from consistent case-law that Articles 4 CS and 67 CS concern two distinct areas, the first abolishing and prohibiting certain actions by Member States in the field which the ECSC Treaty places under Community jurisdiction, the second intended to prevent the distortion of competition which exercise of the residual powers of the Member States inevitably entails (see Banks, paragraph 88, and the case-law cited there).",prem,"['first abolish ', 'first prohibit action', 'treaty place jurisdiction', 'second intend ', ' to prevent distortion', 'exercise entail ', ' see banks']"
"The Court deduces from this that Article 67 CS covers general measures which Member States may adopt in the context of their economic and social policy and measures taken by Member States which apply to industries other than coal and steel but which are capable of having significant repercussions on the conditions of competition in those industries (see Banks, paragraph 88).",prem,"['court deduce this', 'cs er measure', 'states may adopt text', ' take states', 'which apply industry', ' have repercussion', ' see banks']"
"The Court has also held that action taken under Article 67 CS cannot be what, in any other form whatsoever, Article 4 CS declares to be incompatible with the common market for coal and steel and abolished and prohibited (De Gezamenlijke Steenkolenmijnen in Limburg v High Authority, p. 22).",prem,"['court have hold ', ' take cs', 'cs declare ', 'cs abolish ', ' prohibit steenkolenmijnen', ' prohibit limburg']"
"The Court has held, in particular, that it is inconceivable that the authors of the ECSC Treaty decided in Article 4(c) CS that subsidies and aids granted by Member States in any form whatsoever should be abolished and prohibited and then declared in Article 67 CS that, without even having been authorised by the Commission, that aid could be allowed subject to the measures recommended by the Commission to mitigate or remedy its effects (De Gezamenlijke Steenkolenmijnen in Limburg v High Authority, p. 21).",prem,"['court have hold ', 'author decide cs', ' grant state', ' grant form', 'subsidy should be abolish ', 'subsidy prohibit ', 'author declare cs', ' having be authorise commission', 'company be allow subject', ' recommend commission', ' remedy effect']"
"The Court has also held that the first indent of Article 67(2) CS, which, by derogation from Article 4 CS, allows the granting of State aid in respect of protective measures to undertakings referred to in Article 80 CS, does not distinguish between aid specific to the coal and steel industry and aid which applies to it as the result of a general measure (Commission v France, paragraph 43).",prem,"['court have hold ', 'which allow granting', ' refer cs', 'indent do distinguish aid', 'which apply it', 'which apply result']"
"The Court accordingly held that a preferential rediscount rate for exports constitutes aid which, in the case in point, had to be authorised by the Commission under Article 67(2) CS in so far as it concerned the industry covered by the ECSC Treaty (see Commission v France, paragraph 44).",prem,"['court hold ', 'rate stitute aid', 'which have ', ' to be authorise commission', ' to be authorise cs', 'it cerne company', ' see commission']"
"Finally, State aid granted to an undertaking falling within the scope of the ECSC Treaty has identical anti-competitive effects, regardless of whether it constitutes individual aid or aid granted under a State aid scheme that is not specific to the coal and steel sector.",prem,"[' fall scope', 'aid have effect', 'company stitute aid', ' grant scheme']"
"In the light of the foregoing, it must consequently be held that Article 4(c) CS applies to State aid paid to coal and steel undertakings under a State aid scheme that is not specific to the coal and steel sector.",prem,"['it must be hold ', 'cs apply aid', ' pay undertaking', ' pay scheme']"
"Contrary to what the German Government claims, that interpretation does not undermine the effectiveness of Article 67 CS.",prem,"['government claim ', ' undermine effectiveness']"
"General policy measures are liable to have appreciable repercussions on conditions of competition in the coal or steel industry within the meaning of Article 67(1) CS, without constituting State aid.",prem,"[' to have repercussion', ' to have industry', ' to have meaning', 'company stitute aid']"
"In the present case, it is not contested that Salzgitter is an undertaking that falls within the scope of the ECSC Treaty and that the aid covered by the contested decision does not constitute protective measures falling within the scope of the first indent of Article 67(2) CS.",prem,"['it be test ', 'that fall scope', 'company do stitute measure', ' fall scope']"
"It follows that the Court of First Instance did not commit an error of law in finding that the Commission was entitled to hold that Article 4(c) CS, and not Article 67 CS, applied to the aid covered by the contested decision.",prem,"['it follow ', 'court do error', 'commission be entitle ', 'cs apply company']"
"In light of the response to the first limb of the first plea, it must be held that the second limb of that plea is unfounded, on the same grounds as those set out in relation to that first limb,",prem,"['it must be hold ', ' set relation']"
It must be held that the analysis of the Commission’s decision-making practice with regard to aid granted to undertakings that fall under the ECSC Treaty cannot affect the interpretation by the Court of First Instance of Articles 4(c) CS and 67 CS.,prem,"['it must be hold ', 'that fall treaty', 'analysis can not affect interpretation']"
Salzgitter submits that the Court of First Instance committed an error of law in finding that the plea alleging a failure to state reasons in the contested decision was unfounded and had to be dismissed.,prem,"['salzgitter submit ', 'company mitte error', ' allege failure', ' to state reason', 'plea have ']"
That is a question of law subject to review by the Court of Justice on an appeal (C‑166/95 P Commission v Daffix [1997] ECR I‑983).,prem,[]
"According to settled case-law relating to Article 253 EC, which can be applied to Article 15 CS, the statement of reasons required for an act with adverse effects must be appropriate to the measure at issue and must disclose in a clear and unequivocal fashion the reasoning followed by the institution which adopted the measure in such a way as to enable the persons concerned to ascertain the reasons for it and to enable the Court to carry out its review.",prem,"[' accord law', ' relate ec', 'which can be apply cs', ' require act', 'statement must disclose reasoning', 'statement must disclose fashion', ' follow institution', 'which adopt measure', 'which adopt way', ' to enable person', ' to ascertain reason', ' to enable court', ' to carry review']"
"It is not necessary for the reasoning to go into all the relevant facts and points of law, since the question whether the statement of reasons meets the requirements of Article 253 EC must be assessed with regard not only to its wording but also to its context and to all the legal rules governing the matter in question (see C‑501/00 Spain v Commission [2004] ECR I‑6717, paragraph 73, and the case-law cited).",prem,"['reasoning to go fact', 'statement meet requirement', 'question must be assess regard', ' govern matter', ' see c501/00', ' see spain']"
"In paragraph 184 of the judgment under appeal, the Court of First Instance held that its review of Salzgitter’s first three pleas showed sufficiently that the obligation to state reasons was complied with in the contested decision.",prem,"['court hold ', 'review show ', 'obligation be ply decision']"
The Commission’s analysis justifying the application of Article 4(c) CS to the aid at issue is set out clearly and unambiguously in paragraph 66 of the contested decision.,prem,"[' justify application', 'analysis be set paragraph']"
"In paragraphs 67 to 76 and 126 to 133 of that decision, the Commission provides, inter alia, a detailed account of the specific rules laid down by the Steel Aid Codes in force since 1986.",prem,"['commission provide account', ' lay codes', ' lay force']"
"Consequently, the Court of First Instance did not commit an error of law in finding that the contested decision complied with the obligation to state reasons.",prem,"['court do error', 'company ply obligation']"
"In the present case, it is apparent from the documents before the Court, and, more specifically, the answers submitted in response to the written questions formulated by the Court of First Instance in its letter of 28 July 2003, that the Commission had the opportunity to describe the development of the rules applying to aid paid to steel undertakings under a general aid scheme in the light of the successive adoption of the first three Steel Aid Codes and to express a view on the legal effect under the ECSC Treaty of an authorising decision adopted pursuant to Article 88 EC.",prem,"[' submit response', ' formulate court', ' formulate letter', 'commission have opportunity', ' to describe development', ' to describe light', ' apply aid', ' pay scheme', ' to express view']"
"In this context, the Commission also stated that Article 6 of the Third Steel Aid Code laid down an obligation to notify aid paid to Salzgitter under the ZRFG.",prem,"['commission state ', 'article lay obligation', ' to number aid', ' pay zrfg']"
"In those circumstances, the Commission’s claim that the Court of First Instance did not give it an opportunity to discuss this question must be dismissed.",prem,"['court do give opportunity', ' to discuss question', 'claim must be dismiss ']"
"As a preliminary point, it must be recalled – as held earlier in paragraph 39 of the present judgment – that the Court of First Instance did not commit an error of law in finding that the aid covered by the contested decision fell within the scope of the prohibition laid down in Article 4(c) CS.",prem,"['it must be recall ', ' hold paragraph', 'court do number mit', 'court do number error', ' ere decision', 'company fall scope', ' lay cs']"
"Consequently, the Federal Republic of Germany cannot rely on an implicit authorisation of the aid allegedly granted by the Commission on the basis of Article 67 CS.",prem,"['republic can not rely authorisation', ' grant commission']"
