text,label,events
"As regards the first part of the first ground of appeal, it should be pointed out that Ellinikos Chrysos does not dispute the definition of a ‘near-production’ mine as used by the Commission and noted by the General Court, in paragraph 96 of the judgment under appeal, according to which a mine is in a ‘near-production’ stage when it is or has been operational or has been the subject of a feasibility study.",prem,"[' regard part', 'it should be point ', 'chrysos do dispute definition', ' use commission', ' e court']"
"Since the Stratoni and Olympiada mines had been operational, but their activities had been suspended for non-economic reasons, and the Skouries mine had been the subject of a feasibility study, it cannot be claimed that the General Court erred in law by confirming that the assessment of the advantage granted to Ellinikos Chrysos by the transfer of the mines at issue concerned mines in a ‘near-production’ stage.",prem,"['activity have be suspend reason', 'it can be not claim ', 'court err law', 'company firm ', ' grant transfer']"
"In that regard, Ellinikos Chrysos, in criticising the General Court for having confirmed that the Stratoni mine was operational at the time of its transfer, misreads the judgment under appeal.",prem,"[' criticise court', 'chrysos misread judgment', 'chrysos misread appeal']"
"In fact, the General Court confirmed, within the limits of its powers, that the assessment of the value of that mine was based on the fact that it had been operational and that its activities had been suspended for reasons which are not of such a nature as to affect its intrinsic economic value.",prem,"['company firm limit', 'assessment be base fact', 'activity have be suspend reason', ' to affect value']"
"Similarly, the appellant’s argument based on the absence of infrastructure and mining permits as regards the Skouries mine cannot be accepted.",prem,"[' base absence', ' regard mine', 'argument can be not accept ']"
"Such a state of affairs is not inconsistent with the recognition of a positive value for that mine, having regard, not only, to the definition, adopted by the Commission, of a mine in a ‘near-production’ stage, but also to the evaluation method used, as described in paragraph 100 of the judgment under appeal, which is not disputed by Ellinikos Chrysos.",prem,"[' have regard', ' adopt commission', ' describe paragraph', ' dispute chrysos']"
"As regards the second part of the first ground of appeal, the appellant criticises the General Court, first, for not having replied specifically to the argument that the usefulness of the expert report in assessing the value of the mines at issue was called into question because of the purpose of the report.",prem,"[' regard part', 'appellant criticise court', 'appellant criticise number', ' having reply argument', ' assess value', 'usefulness be call question', 'usefulness be call purpose']"
"In that regard, it must be pointed out, first, that, in the context of the appeal, the purpose of review by the Court of Justice is, inter alia, to consider whether the General Court addressed, to the requisite legal standard, all the arguments raised by the appellant and, secondly, that the plea alleging that the General Court failed to respond to arguments relied on at first instance amounts essentially to pleading a breach of the obligation to state reasons which derives from Article 36 of the Statute of the Court of Justice, applicable to the General Court by virtue of the first paragraph of Article 53 of that Statute, and from Article 117 of the Rules of Procedure of the General Court (order of 13 December 2012, Alliance One International v Commission, C‑593/11 P, not published, EU:C:2012:804, paragraph 27).",prem,"['it must be point ', 'court address argument', 'court address standard', ' raise appellant', 'court fail ', ' to respond argument', ' rely instance', 'plea amount ', ' plead breach', ' to state reason', 'which derive article']"
"In addition, the obligation to state reasons does not require the General Court to provide an account which follows exhaustively and one-by-one all the arguments put forward by the parties to the case, the General Court’s reasoning may therefore be implicit on condition that it enables the persons concerned to know why it has not upheld their arguments and provides the Court of Justice with sufficient material for it to exercise its power of review (order of 13 December 2012, Alliance One International v Commission, C‑593/11 P, not published, EU:C:2012:804, paragraph 28).",prem,"['obligation do require court', ' to provide account', 'which follow ', ' put party', 'it enable ', 'person to know ', 'it have uphold argument', 'it provide court', 'it provide material', 'it to exercise order']"
It is apparent from paragraph 65 of the judgment under appeal that Ellinikos Chrysos relied on four arguments for its head of claim that the expert report was an unsuitable basis for the assessment of the value of the Cassandra mines.,prem,['chrysos rely argument']
