text,label,events
"In the first place, it should be recalled that by the Treaty of Lisbon a third limb was added to the fourth paragraph of Article 263 TFEU, relaxing the conditions of admissibility of actions for annulment brought by natural and legal persons.",prem,"['it should be recall ', 'limb be add paragraph', ' relax dition', ' bring person']"
"That limb, without subjecting the admissibility of actions for annulment brought by natural and legal persons to the condition of individual concern, allows such actions to be brought against ‘regulatory acts’ which do not entail implementing measures and are of direct concern to the applicant (see, to that effect, judgment of 3 October 2013, Inuit Tapiriit Kanatami and Others v Parliament and Council, C‑583/11 P, EU:C:2013:625, paragraph 57).",prem,"[' subject admissibility', ' subject dition', ' bring person', 'limb allow ', 'action to be bring act', 'which do entail ', ' implement measure', ' see judgment', ' see effect']"
"As regards the concept of ‘regulatory acts’, the Court has held that its scope is more restricted than that of the concept of ‘acts’ used in the first and second limbs of the fourth paragraph of Article 263 TFEU and refers to acts of acts of general application other than legislative acts (see, to that effect, judgment of 3 October 2013, Inuit Tapiriit Kanatami and Others v Parliament and Council, C‑583/11 P, EU:C:2013:625, paragraphs 58 to 61).",prem,"[' regard cept', 'court have hold ', ' use limb', 'court refer judgment', 'court refer act', ' see effect']"
"As the Advocate General observes in point 26 of his Opinion, the interpretation supported by the Commission, namely that there are non-legislative acts of general application, such as the decision at issue, that are not covered by the concept of ‘regulatory act’ within the meaning of the third limb of the fourth paragraph of Article 263 TFEU, cannot be accepted.",prem,"['general observe point', ' support commission', 'there be act', 'interpretation can be not accept ']"
"There is no basis for that interpretation in the wording, origin or purpose of that provision.",prem,"['there be basis', 'there be wording']"
"As regards, first, the wording of the provision, it refers to ‘regulatory acts’ generally and contains no indication that that reference is only to certain kinds or subcategories of those acts.",prem,"[' regard wording', 'it refer act']"
"As regards, next, the origin of the provision, it appears from the legislative history of Article III‑365(4) of the draft Treaty establishing a Constitution for Europe, the content of which was repeated in the same words in the fourth paragraph of Article 263 TFEU, that the addition of the third limb to that provision was intended to broaden the conditions of admissibility of actions for annulment with respect to natural and legal persons, and the only acts of general application for which a restrictive approach was to be maintained were legislative acts (see, in particular, Secretariat of the European Convention, Final report of the discussion circle on the Court of Justice, 25 March 2003 (CONV 636/03, point 22), and Cover note from the Praesidium to the Convention, 12 May 2003 (CONV 734/03, p. 20)).",prem,"[' regard origin', 'it appear history', ' establish constitution', 'tent be repeat word', 'addition be intend ', ' to broaden dition', ' see secretariat']"
"As regards, finally, the purpose of the third limb of the fourth paragraph of Article 263 TFEU, as may be seen from paragraphs 22, 23 and 26 above, its objective is to relax the conditions of admissibility of actions for annulment brought by natural and legal persons against all acts of general application, with the exception of those of a legislative nature.",prem,"[' regard purpose', ' may be see paragraph', ' to relax dition', ' to relax act', ' bring person']"
To remove certain kinds or subcategories of non-legislative acts of general application from the scope of that provision would run counter to that objective.,prem,"[' to remove kind', ' to remove scope', 'remove would run nter', 'remove would run objective']"
"Consequently, it must be considered that the concept of ‘regulatory act’ within the meaning of the third limb of the fourth paragraph of Article 263 TFEU extends to all non-legislative acts of general application.",prem,"['it must be sidere ', 'cept extend act']"
"Since the decision at issue is not a legislative act, the General Court did not err in law by confining itself, for the purpose of examining the regulatory nature of the three parts of that decision, to assessing whether those parts are of general application.",prem,"['court do number', 'court do err', 'court do law', 'court do purpose', 'company fine itself', ' examine nature']"
"In the second place, it should be recalled that, according to settled case-law of the Court, an act is of general application if it applies to objectively determined situations and produces legal effects with respect to categories of persons envisaged in a general and abstract manner (judgments of 11 July 1968, Zuckerfabrik Watenstedt v Council, 6/68, EU:C:1968:43, p. 415; of 15 January 2002, Libéros v Commission, C‑171/00 P, EU:C:2002:17, paragraph 28 and the case-law cited; and of 17 March 2011, AJD Tuna, C‑221/09, EU:C:2011:153, paragraph 51 and the case-law cited).",prem,"['it should be recall ', ' accord law', 'it apply situation', 'it produce effect', ' envisage manner', ' envisage judgment']"
"Article 1(d) of Regulation No 659/1999 defines ‘aid scheme’ as ‘any act on the basis of which, without further implementing measures being required, individual aid awards may be made to undertakings defined within the act in a general and abstract manner and any act on the basis of which aid which is not linked to a specific project may be awarded to one or several undertakings for an indefinite period of time and/or for an indefinite amount’.",prem,"['article define scheme', 'article define act', 'award may be make ', ' define act', ' define manner', 'which be link project', ' may be award period']"
"As regards the second limb of the fourth paragraph of Article 263 TFEU, the Court has repeatedly held in the field of State aid that decisions of the Commission authorising or prohibiting a national scheme are of general application.",prem,"[' regard limb', 'court have hold field', 'commission authorise ', 'commission prohibit scheme']"
